+ Properties of TeX editors 1,[empty],Editing style<ref name="editStyle" group=Note>"Source" means you see and edit the TeX source files. "WYSIWYM" = What You See Is What You Mean  i.e. you see and edit formatted text. WYSIWYG means that see the output file automatically updated during the edit. Note that some PDF viewers (e.g. evince) automatically reload the PDF document when it is updated on the disk. So  any "source" TeX editor can be turned into partial WYSIWYG editor by opening such a reader in an adjacent window.</ref>,Native operating systems,Latest stable version,Costs,License,Configurable,Integrated viewer,[empty]
AUCTeX,Source,Linux  macOS  Windows,(2017-12-10) 12.1,[empty],[empty],[empty],[empty],AUCTeX,[added]
Authorea,Source / partial-WYSIWYG,Online,[empty],[empty],[empty],[empty],[empty],Authorea,[added]
Auto-Latex Equations for Google Docs,Source<ref group="Note">Not a full TeX editor. Only limited to math expressions only.</ref>,Online,(2016-01-06) 8.04,[empty],Unclear,[empty],[empty],Auto-Latex Equations for Google Docs,[added]
CoCalc,Source,Online,[empty],[empty],[empty],[empty],[empty],CoCalc,[added]
GNOME LaTeX,Source,Linux,(2019-03-10) 3.32,[empty],[empty],[empty],[empty],GNOME LaTeX,[added]
Gummi,Source,Linux,(2016-01-27) 0.6.6,[empty],[empty],[empty],(Live update),Gummi,[added]
Kile,Source,Linux (macOS  Windows)<ref group=Note>Support for non-linux systems considered experimental.</ref>,(2012-09-23) 2.1.3,[empty],[empty],[empty],(Quick preview),Kile,[added]
LEd,Source,Windows,(2009-10-09) 0.53,[empty],[empty],?,(dvi),LEd,[added]
LyX,WYSIWYM,Linux  macOS  Windows,(2019-06-25) 2.3.3,[empty],[empty],[empty],[empty],LyX,[added]
MeWa,Source,Windows,(2007-06-06) 1.4.0,[empty],[empty],[empty],[empty],MeWa,[added]
Notepad++,Source,Windows,(2018-06-30) 7.5.7,[empty],[empty],[empty],, but can be integrated <ref group=Note>Notepad++ can execute Tex viewers</ref>,Notepad++,[added]
Scientific WorkPlace,WYSIWYM,Windows,(2016-02-23) 6.0.12,[empty],[empty],[empty],[empty],Scientific WorkPlace,[added]
ShareLaTeX<ref group="Note">Acquired by Overleaf and launched as Overleaf v2.</ref>,Source,Online,[empty],[empty],[empty],[empty],[empty],ShareLaTeX,[added]
TexLab,Source-WYSIWYG,Windows,(2019-04-30) 7.8,[empty],[empty],[empty],[empty],TexLab,[added]
TeXmacs,WYSIWYG,Linux  macOS  Windows,(2017-12-21) 1.99.6,[empty],[empty],[empty],[empty],TeXmacs,[added]
Texmaker,Source,Linux  macOS  Windows,(2018-11-01) 5.0.3,[empty],[empty],[empty],[empty],Texmaker,[added]
TeXnicCenter,Source,Windows,[empty],[empty],[empty],[empty],[empty],TeXnicCenter,[added]
TeXShop,Source,macOS,(2019-04-05) 4.27,[empty],[empty],[empty],[empty],TeXShop,[added]
TeXstudio,Source,Linux  Windows  macOS,(2019-05-19) 2.12.16,[empty],[empty],[empty],(pdf  selection with dvi2png),TeXstudio,[added]
TeXworks,Source,Linux  macOS  Windows,(2019-03) 0.6.3,[empty],[empty],[empty],(pdf),TeXworks,[added]
Verbosus,Source,Online  Android  iOS,(2016-05-06) 4.1.3,[empty],[empty],[empty],(pdf),Verbosus,[added]
WinEdt,Source,Windows,(2017-04-13) 10.2,[empty],[empty],[empty],[empty],WinEdt,[added]
WinShell,Source,Windows,(2013-02-10) 3.3.2.6,[empty],[empty],[empty],[empty],WinShell,[added]
[empty],Editing Style,Native Operating Systems,Latest stable version,Costs,License,Configurable,Integrated viewer,[empty],[added]
