Calculator,CPU,RAM,Display Size,Graph Size,Physical Size (inches),Programming Languages,Link Ports,Year Released,Predecessors,Successors,Initial MSRP (nominal US$)[1],Use on College Board Standardized Tests[2],Use on ACT Standardized Tests[3]
TI73  TI73 Explorer,Zilog Z80 @ 6 MHz,25 KB of RAM  512 KB of Flash ROM,96×64 pixels 16×8 characters,96x64 pixels,73 × 35 × 10[4],TIBASIC 83  Assembly (via Mallard)  Flash Apps,I/O Port,1998/2003,TI80,None,95 (TI73),Allowed,Allowed
TI80,980 kHz Proprietary,7 KB of RAM,64×48 pixels 16×8 characters,64x48 pixels,64 × 30 × 09[5],TIBASIC 83,None,1995,None,TI73  TI73 Explorer,Unknown,Allowed,Allowed
TI81,Zilog Z80 @ 2 MHz,24 KB of RAM,96×64 pixels 16×8 characters,96x64 pixels,675 x 3125 x 20,TIBASIC 83  Machine code (using an exploit and only on ROM 18K),None,1990,None,TI82,110,Allowed,Allowed
TI82,Zilog Z80 @ 6 MHz,28 KB of RAM,96×64 pixels 16×8 characters,96x64 pixels,69 × 34 × 10[6],TIBASIC 83  Assembly (using exploits),I/O Port,1993,TI81,TI83,125,Allowed,Allowed
TI83,Zilog Z80 @ 6 MHz,32 KB of RAM,96×64 pixels 16×8 characters,96x64 pixels,73 × 35 × 10[7],TIBASIC 83  Assembly (builtin),I/O Port,1996,TI82,TI83 Plus,125,Allowed,Allowed
TI83 Plus,Zilog Z80 @ 6 MHz,32 KB of RAM (24 KB user accessible)  512 KB of Flash ROM (160 KB user accessible),96×64 pixels 16×8 characters,96x64 pixels,73 × 35 × 10[8],TIBASIC 83  Assembly (builtin)  Flash Apps,I/O Port,1999,TI83,TI83 Plus Silver Edition  TI84 Plus,10499,Allowed,Allowed
TI83 Plus Silver Edition,Zilog Z80 @ 6 MHz/15 MHz (Dual Speed),128 KB of RAM (24 KB user accessible)  2 MB of Flash ROM (15 MB user accessible),96×64 pixels 16×8 characters,96x64 pixels,73 × 35 × 10[9],TIBASIC 83  Assembly (builtin)  Flash Apps,I/O Port,2001,TI83 Plus,TI84 Plus Silver Edition,12995,Allowed,Allowed
TI83 Premium CE  TI83 Premium CE Edition Python,Zilog eZ80 @ 48 MHz,256 KB of RAM (150 KB user accessible)  4 MB of Flash ROM (3 MB user accessible),320×240 pixels 26×10 characters (large font),264x164 pixels,76 × 34 × 075,TIBASIC  Assembly (builtin)  TIPython (separate module needed on TI83 Premium CE  builtin on TI83 Premium CE Edition Python),MiniUSB Port,2015/2019,TI82 Plus (France),None,Euro|129,Allowed,Allowed
TI84 Plus,Zilog Z80 @ 15 MHz,128/48 KB of RAM (24 KB user accessible)  1 MB of Flash ROM (480 KB user accessible),96×64 pixels 16×8 characters,96x64 pixels,75 × 33 × 09,TIBASIC 83  Assembly (builtin)  Flash Apps,I/O Port  MiniUSB Port,2004,TI83 Plus,TI84 Plus Silver Edition  TINspire,10999,Allowed,Allowed
TI84 Plus Silver Edition,Zilog Z80 @ 15 MHz,128/48 KB of RAM (24 KB user accessible)  2 MB of Flash ROM (15 MB user accessible),96×64 pixels 16×8 characters,96x64 pixels,75 × 33 × 09,TIBASIC 83  Assembly (builtin)  Flash Apps,I/O Port  MiniUSB Port,2004,TI83 Plus Silver Edition  TI84 Plus,TINspire  TI84 Plus C Silver Edition,12999,Allowed,Allowed
TI84 Plus C Silver Edition,Zilog Z80 @ 15 MHz,128 KB of RAM (21 KB user accessible)  4 MB of Flash ROM (35 MB user accessible),320×240 pixels 26×10 characters (large font),264x164 pixels,75 × 33 × 09,TIBASIC 83  Assembly (builtin)  Flash Apps,I/O Port  MiniUSB Port,2013,TI84 Plus Silver Edition,TI84 Plus CE,150,Allowed,Allowed
TI84 Plus CE,Zilog eZ80 @ 48 MHz,256 KB of RAM (154 KB user accessible)  4 MB of Flash ROM (3 MB user accessible),320×240 pixels 26×10 characters (large font),264x164 pixels,76 × 34 × 075,TIBASIC  Assembly (builtin),MiniUSB Port,2015,TI84 Plus C Silver Edition,None,150,Allowed,Allowed
TI85,Zilog Z80 @ 6 MHz,28 KB of RAM,128×64 pixels 21×8 characters,128x64 pixels,6875 x 331 x 0938,TIBASIC 83  Assembly (using exploits),I/O Port,1992,None,TI86,130,Allowed,Allowed
TI86,Zilog Z80 @ 6 MHz,128 KiB of RAM,128×64 pixels 21×8 characters,128x64 pixels,73 × 35 × 10[10],TIBASIC 83  Assembly (builtin),I/O Port,1997,TI85,None,150,Allowed,Allowed
TI89,Motorola 68000 @ 10 MHz/12 MHz (nominal),256 KiB of RAM (188 KB user accessible)  2 MiB of Flash ROM,160×100 pixels,160x100 pixels,73 × 35 × 10[11],TIBASIC 89  Assembly (builtin)  Flash Apps,I/O Port,1998,TI92  TI92 II,TI89 Titanium,15999,Allowed,Not allowed due to computer algebra system functionality
TI89 Titanium,Motorola 68000 @ �16 MHz,256 KiB of RAM (188 KB user accessible)  27 MB of Flash ROM,160×100 pixels,160x100 pixels,75 × 33 × 09,TIBASIC 89  Assembly (builtin)  Flash Apps,I/O Port  MiniUSB Port,2004,TI89,TINspire CAS,14999,Allowed,Not allowed due to computer algebra system functionality
