Name,License,Cost,OS X,Unixlike,Windows,Audio,Images,Video,Transcoding,Web Interface,DLNA support,Multilingual[1],Implementation,Subtitles[2],Still Supported,Misc
360 Media Server,Free|GPL,Free,No,Yes,Yes,Yes,No,No,Yes,Yes,unknown,unknown,Java,unknown,No,[empty]
ALLMediaServer,Free|GPL,Trialware,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Delphi/Python,Yes,Yes,[empty]
ArkMS,Nonfree|Prop,nonfree,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,unknown,C,Yes,Yes,[empty]
aVia Media Player,Nonfree|Prop,Free,No,No,No,Yes,Yes,Yes,Yes,No,Yes,unknown,Java,unknown,Yes,[empty]
BRisa,Free|MIT,Free,Partial[3],Partial[3],No,Yes,Yes,Yes,Yes[4],Yes,unknown,unknown,Python,unknown,unknown,[empty]
Coherence,Free|MIT,Free,Partial[3],Partial[3],Partial[3],Yes,Yes,Yes,Yes[5],Yes[4],Yes,unknown,Python,unknown,No,[empty]
DivX,Nonfree|Prop,Free,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,C,unknown,Yes,[empty]
Elgato Eyeconnect,Nonfree|Prop,nonfree,Yes,No,No,Yes,Yes,Yes,No,No,unknown,Yes,unknown,unknown,No,[empty]
Foobar2000[6],Nonfree|Prop,Free,No,No,Yes,Yes,No,No,Yes,No,unknown,unknown,C,unknown,Yes,[empty]
FUPPES,Free|GPL,Free,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,unknown,C,unknown,No,[empty]
GeeXboX uShare,Free|GPL,Free,No,Yes[7],No,Yes,Yes,Yes,No,Yes,Yes,unknown,C,unknown,No,[empty]
Gmediaserver,Free|GPL,Free,No,Yes,No,Yes,No,Yes,No,No,unknown,unknown,C,unknown,No,[empty]
Home Media Center[8],Free|GPLv2,Free,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NET 4,Yes,Yes,[empty]
iSedora Media Server,Nonfree|Prop,nonfree,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,unknown,Objective C / C / JavaScript,unknown,Yes,[empty]
Jamcast,Nonfree|Prop,free,No,No,Yes,Yes,Yes,No,Yes,No,Yes,unknown,C / C# / Java,unknown,Yes,[empty]
