Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
AudioCodes MobilityPLUS,Windows  Android  iOS,[empty],[empty],SIP  RTP  XMPP  STUN  ICE,G.722 wideband  G.711a  G.711u  iLBC  G.729a  SILK  GSM  VP8  H.264  Opus,[empty],[empty],Voice  video  IM  Group chat  content sharing  SMS and MMS over IP services  native and social network contacts integration  incoming call/IM push notifications.,[empty]
Avaya Application Server 5300 Soft Client,Windows,[empty],[empty],SIP  RTP,[empty],[empty],[empty],[empty],2.0;
Blink,Linux  macOS  Windows,[empty],macOS version proprietary on App Store  free version limited to sponsored SIP provider; Windows version proprietary; Linux version open source,ICE  SIP  MSRP  RFB (VNC)  XCAP,Opus  speex  G.722  GSM  iLBC  PCMU  PCMA,</ref>}},No limit,IM  file transfer  desktop sharing  multi-party conference  wideband,Blink Qt
CSipSimple,Android,[empty],[empty],SIP  ICE  STUN  TURN,Opus  AMR  G.711 (u-law/a-law)  speex  G.722  GSM  iLBC  G.729 (need to buy a licensed plugin)  iSAC  SILK (narrow-band/wide-band/ultra wide-band),[empty],[empty],SIP SIMPLE messaging  Support for IPv6  Integration with Android operating system with filters and rewriting rules,1.0.2;
Cisco IP Communicator<ref></ref>,Windows,[empty],(for Cisco SMB Partners only),SCCP (Skinny)  SIP  TFTP  HTTP (for XML Services),G.722 wideband  G.711a  G.711u  iLBC  iSAC  G.729a  G.729ab,[empty],Unlimited (with bridge)  2 otherwise<ref></ref>,Call Recording  Silent Monitoring  Multiple lines and directory numbers  Configurable speed dial  Calling name and number display  Call Waiting  Call Forward  Call Transfer  Three-Way Calling (conference)  Call Park  Call Pickup  Redial  Hold  Barge  Callback  Extension Mobility  Message waiting indicator  iDivert  Meet Me conferencing  Group Pickup  Do Not Disturb  XML Services,8.6.6;
CounterPath Corporation Bria,Windows  macOS  iOS  Android,[empty],[empty],SIP  RTP  XMPP  STUN  ICE,G.722 wideband  G.711a  G.711u  iLBC  G.729a  SILK  GSM  VP8  H.264  Opus,[empty],[empty],Voice and video calling  SIP and XMPP messaging support  group chat  file  image and document sharing  contact integration  incoming call/IM push notifications,5.3.4
Discord,macOS  Android  iOS  Windows  Linux,[empty],, Premium "Nitro" Subscription for Additional Features.,RTP  UDP  WS  HTTPS,Opus,[empty],5.000 soft limit<ref></ref>,IM  file sharing  in-game overlay,02.01.2018;
Ekiga,Linux  Windows  OpenSolaris,[empty],[empty],SIP  H.323  STUN  Zeroconf  XMPP  RTP,H.263  H.264/MPEG-4 AVC  Theora  iLBC  Speex  SILK  GSM  ...,[empty],[empty],Video  IM  LDAP  Call Forwarding  Call Transfer  Auto-answering  PC to phone  phone to PC  Multiple accounts  USP support  Message waiting indicator  SIMPLE-based presence etc.,[empty]
Empathy,Linux,[empty],[empty],SIP  XMPP (Jingle)  ICE (STUN-TURN)  Zeroconf,[empty],[empty],[empty],IM  multi-user A/V <ref></ref> collaborative applications,[empty]
Eyeball Chat,Windows,[empty],[empty],SIP  STUN  ICE  XMPP,[empty],[empty],5<ref>Eyeball Chat 3.2 Features . EyeballlChat.com.</ref>,IM  Conferencing  Voice  Video and SIMPLE based presence,Windows 3.2;
eyeBeam,Windows,[empty],[empty],SIP-SIMPLE,[empty],[empty],6 party audio; 3 party video,Voice and Video calling; IM; Import Microsoft Outlook Contacts; USB Support; Call Recording and Conferencing,1.5.20.1;
FaceTime,iOS  macOS,[empty],[empty],SIP  IETF  Signaling protocol for VoIP  STUN  TURN and ICE| IETF  technologies for traversing firewalls and NAT,H.264 Video  AAC-ELD Audio  H.263 and VP8,RTP  SRTP IETF|standards for delivering real-time and encrypted media streams for VoIP.,20,Video  voice  conferencing  with additional tools available as "Services".,[empty]
Google+ Hangouts,Linux  Windows  macOS  Android  iOS,(using libjingle),[empty],XMPP,H.264/SVC  H.264/AVC  H.263 and VP8,[empty],10,Video  chat  screen sharing  with additional tools available as "Hangout Apps".,{{Latest stable software release/Google+ Hangouts}}
IBM Sametime,Linux  macOS  Windows  mobile,[empty],[empty],SIP-SIMPLE  T.120,H.323,[empty],[empty],IM  File transfer  Voice  Presence  Server stored contact list  HTTP tunneling  plugins  embedable in Lotus Notes<ref>"Telephony with Lotus Sametime software". IBM.com. Retrieved 2010-02-16</ref>,8.5.2;
iCall,Linux  macOS  Windows  iOS  Android,[empty],[empty],SIP  AIM  ICQ  XMPP,Speex  CELT  WebM,[empty],No limit,Video  file transfer  PC to phone  phone to PC  IM (MSN  AIM  ICQ  Yahoo!  XMPP  Google Talk)  Voicemail,7.1.522
Jami by Savoir-faire Linux,Android  FreeBSD  iOS  iPhone  Linux  Microsoft Windows  OS X<ref></ref>,[empty],[empty],SIP  RTP  STUN per account  SRV  DHT  P2P,Audio: Opus  Speex  G.722  G.711  GSM  VP8  G.729  iLBC. Video: H.264  H.263  VP8  MPEG-4,[empty],No limit,Blockchain ID-management  Gnome-KDE client  address book  multiple accounts  unlimited call number  call transfer  call hold-unhold  call recording  multi-way conferencing,[empty]
Jitsi,Linux  macOS  Windows (all java supported). Experimental Android builds are also available.<ref></ref>,[empty],[empty],SIP-SIMPLE  XMPP-Jingle STUN ICE  TURN,SILK  G.722  Speex  Opus  G.711 (PCMU/PCMA)  iLBC  GSM  G.729  H.264  H.263  VP8,[empty],[empty],Text messaging  audio-video telephony  IPv6 (often broken <ref>Interview with Emil Ivov  Deploy360 blog</ref> P2P not supported<ref></ref>)  call recording  64-bit,[empty]
KPhone,Linux (KDE),[empty],[empty],SIP  STUN  NAPTR-SRV,[empty],[empty],[empty],Video  voice  IM  external Sessions  IPv6 support for UDP,1.2 (November 2008)
Librestream Onsight Connect,Windows  Android  iOS,[empty],[empty],SIP  RTP  STUN,G.711  H.264  MPEG  and others,[empty],[empty],Voice  video  conferencing  image sharing  incoming call/IM push notifications.,[empty]
Linphone,Linux  Windows  macOS  Android  iPhone  BlackBerry,[empty],[empty],SIP,Speex  Opus  G711  GSM  G.722  VP8 (WebM)  H263  MPEG4  Theora and H264 (plugin),[empty],[empty],Video  IM  STUN  IPv6 (disables IPv4 support when enabled  P2P supported only by version 3.5.1-2),3.11.1;
Messages,macOS,[empty],, only macOS and iOS,SIP AIM ICQ XMPP,H263  H264,[empty],[empty],Integrated  PBX independent,7.0;
MicroSIP,Windows,[empty],[empty],SIP  STUN  ICE  SIMPLE,Speex  iLBC  GSM  G.711  G.722  G.729  SILK  Linear PCM,[empty],[empty],Video  voice  IM and Presence,3.19.15
Mirial Softphone (Mirial s.u.r.l.),Windows 2000-XP-2003-Vista-7 (including 64-bit versions)  macOS (x86),[empty],not free,SIP  RTSP,H.323,[empty],[empty],H.264 Full-HD 1080p video rx/tx  Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence  G.722.1/C wideband audio  Call recording/export  DV/HDMI/Component capture  Presentation (H.239  RFC-4796)  Encryption  Far End Camera Control  GPU accel (D3D and OpenGL),7.0.24;   discontinued
Mumble,Linux  macOS  iOS  Windows  Android,[empty],[empty],ICE,CELT  Speex  Opus,[empty],No max (limited only by server bandwidth and memory),Chat with (limited) embedded HTML  Automatic Gain Control  very low latency  Access Control Lists for user management  Customizable In-Game Overlay for OpenGL and DirectX  Directional Audio  Plugin Support  Nested Channels  Echo cancellation for headset free use  Global Public Server List  Logitech G15 support  Push-To-Talk and Voice-Activation,1.2.19;
Nymgo,Windows  Android  iOS,[empty],[empty],SIP  RTP and RTCP,[empty],[empty],No,Address Book integration  Call recording/export  Mute  On Hold  Caller ID definition,4.2.9;
oovoo,macOS  iOS  Windows  Android,[empty],[empty],SIP  RTP and RTCP,[empty],[empty],12,Address Book integration  Call recording/export  Mute  On Hold  Caller ID definition,4.2.9;
Phoner,Windows,[empty],[empty],SIP  TAPI  CAPI,G.711a  G.711u  G.722  G.726  G.729  GSM  iLBC  speex  Opus,[empty],8,Conferencing  call redirection  call recording,[empty]
PhonerLite,Windows,[empty],[empty],SIP,G.711a  G.711u  G.722  G.726  G.729  GSM  iLBC  speex  Opus,[empty],8,Conferencing  call redirection  call recording,[empty]
QuteCom,Linux  macOS  Windows XP-2000,[empty],[empty],SIP,G.711  G.729  iLBC  AMR-NB  G.722  Speex  AMR-WB (G.722.2)  H.263  H.263+  H.264  Dirac<ref></ref>,[empty],[empty],Video  IM (MSN  AIM  ICQ  Yahoo!  XMPP  Google Talk)  voicemail  wengo to phone  conferencing.,[empty]
Roger Wilco GameSpy,Windows,[empty],[empty],Proprietary,[empty],[empty],[empty],[empty],[empty]
Signal,Linux  macOS  Windows  Android  iPhone,{{open source  The clients are published under the GPLv3 license  while the server code is published under the AGPLv3 license}},[empty],<to be completed>,<to be completed>,<to be completed>,<to be completed>,Signal also allows users to send text messages  files  voice notes  pictures  GIFs  and video messages over a Wi-Fi or data connection to other Signal users on iOS  Android and a desktop app. The app also supports group messaging  read receipts and typing indicators  both of which can be disabled.,[empty]
Skype,Linux(with limited functionality) <ref>http://opensourceforu.com/2017/06/microsoft-retire-skype-linux-app-july-1/</ref> macOS  Windows 2000-XP-Vista-7-Mobile (unsupported)  BREW  Windows Phone   Android  iPhone  PSP,[empty],[empty],Proprietary P2P protocol,SILK,[empty],25 starting with version 3.6.0.216. 10 with 2.x,Conferencing  video  file transfer  voicemail  Skype to phone  phone to Skype  additional P2P extensions (games  whiteboard  etc...); depending on platform.,[empty]
TeamSpeak,Linux  Windows  macOS  FreeBSD  Android  iOS,[empty],[empty],[empty],CELT  Speex  Opus<ref></ref>,[empty],32 unlicensed  512 with non-profit license  2000,Simultaneous server conferencing with tabs  3D sound effects  scalable permissions system  firewall friendly file transfers  in-game overlay for DirectX & OpenGL games  global public server list  plugin system,3.3
TeamTalk,Linux  Windows  macOS  Android  iOS  Raspbian,[empty],[empty],[empty],Opus  Speex  WebM,[empty],1000,Video  file sharing  desktop sharing  stream media files (MP3  AVI),5.3.3;
TeamViewer,Linux  Windows  macOS  iOS  Android<ref></ref>,[empty],(personal use only),[empty],[empty],[empty],[empty],[empty],[empty]
Telephone,macOS 10.10.2,[empty],[empty],SIP  STUN  ICE,[empty],[empty],[empty],Address Book integration,1.1.4;
Toktumi Unlimited  Line2 Pro,Windows XP-Vista-7  macOS  iOS  Android,[empty],[empty],Proprietary with SIP core,[empty],[empty],20,Conferencing  voicemail  caller ID  call-waiting  address book integration; auto-attendant  call-forwarding,Windows; ; macOS;
Tox,Linux  macOS  Windows  Android  FreeBSD,[empty],[empty],Tox  VP8,Opus ,[empty],[empty],Voice  video  instant messaging  file transfers,[empty]
Tru App,Windows 2000-XP-Vista-7  macOS  Linux<br />iOS  Android  Symbian  BlackBerry OS ,[empty],[empty],SIP  XMPP,[empty],[empty],[empty],Chat  file transfer  voicemail  inbound numbers  integration with GTalk  Microsoft Live  Skype,[empty]
Tuenti,Android  iPhone  Windows Phone,[empty],[empty],WebRTC  SIP  XMPP,iLBC  Opus,Yes,?,Voice  video  Instant messaging  group chat  photo and video sharing  SMS and MMS  native and social network contacts integration  incoming call/IM push notifications.,[empty]
Twinkle,Linux,[empty],[empty],SIP,G.711 A-law Î¼-law  G.726  GSM  iLBC  Speex narrow wide ultrawide,[empty],3,Conferencing  chat  file transfer  Firefox integration  call redirection  voicemail  support of VoIP-to-Phone services,[empty]
Ventrilo,macOS  Windows  iOS  Android,[empty],[empty],[empty],[empty],[empty],8,Conferencing  chat  text-to-speech,3.0.8
Viber,Linux </ref><ref>Viber Unveils Desktop App</ref>}} macOS  Windows  Android  Bada  BlackBerry OS  iOS  Series 40  Symbian  Windows Phone,[empty],[empty],[empty],[empty],<ref name="Lunden-19-April-2016"/>,[empty],Varies by platform: Text  picture and video messaging on all  voice calling only on iPhone  Android and Microsoft's Windows Phone,[empty]
Vonage,Linux  macOS  Windows  Android  iOS,Proprietary,not free,SIP  STUN  ICE  TURN,Audio: Opus  G.711 Video: VP8,SRTP,50,VoIP   video  instant messaging  presence (SIP SIMPLE)  PSTN (inbound and outbound)  call waiting  call hold  call forwarding  voicemail  message-waiting indication  3-way conferencing  contacts integration  receptionist console  video  group chat  content sharing  SMS over IP services  native and social network contacts integration  incoming call/IM push notifications  fax  file sharing  screen sharing (desktop only)  number programmability.,[added]
Wire,Linux  Windows  macOS  iOS  Android  Web,[empty],not free,[empty],{{Opus (audio)  VP8 (video)}},[empty],10<ref></ref>,End-to-end encryption by default for everything  instant messaging  video call  video group call  file sharing  GIF sharing  push to talk  edit message  delete message (on both side)  timed messages  doodling  identity verification  screen sharing (desktop only),[empty]
X-Lite,macOS  Windows,[empty],[empty],SIP  STUN  ICE  TURN,H.263  H.263+  G.711  iLBC  Speex,[empty],3,VoIP over WiFi  3G  4G  video  instant messaging  presence (SIP SIMPLE)  call waiting  call hold  call forwarding  voice mail  message waiting indication  3 way conferencing  contacts integration  background noise reduction (BNR)  automatic gain control (AGC),5.3.3
Yahoo! Messenger,Classic Mac OS (8  9)  macOS  Windows  (Linux  FreeBSD version VoIP incapable),[empty],[empty],SIP (using TLS) and RTP (media),[empty],[empty],[empty],Video  file transfer  PC to phone  phone to PC,Windows: 11.5.0.228; <br /> Mac: 3.0.1; <br /> Linux: 1.0.6; <br /> SunOS 5.7: 0.99.17-1; <br /> Solaris 8: 1.0.4; <br /> FreeBSD 4-5: 1.0.4; <br /> iOS: 2.2.6;
