Program,Operating systems,License,Open source,Protocols,Codecs,Encryption,Other abilities,Latest release
Acrobits Softphone,Android v22  iOS v70,proprietary,No,SIP,G711  G722  iLBC  GSM  G729,Yes|TLS  SRTP  ZRTP,VOIP over WiFi or 3G iOS only push notifications  video  number rewriting  address book matching  sms for betamax providers and pennytel,Acrobits Softphone 320 (Android)  52 (iOS)
CounterPath Corporation Bria,Android v44  iOS v10,proprietary,No,SIP,G722 wideband  G711a  G711u  iLBC  G729a  SILK  GSM  VP8  H264  Opus,Yes|TLS  SRTP  ZRTP,Voice and video calling  SIP and XMPP messaging support  group chat  file  image and document sharing  contact integration  incoming call/IM push notifications,534 Start date and age| 2018|07|23 
CSipSimple,Android,free|GPL,yes,SIP,Opus  AMRWB  G722  iSAC  iLBC  Speex  Silk  Codec2  G726  G711 (PCMA & PCMU)  AMR  GSM,yes|SRTP  SIP over TLS 10 and ZRTP,dunno,10202
Google Duo,iOS  Android,proprietary  freeware,No,WebRTC,dunno,dunno,Onetoone voice and video calling,Latest stable software release/Google Duo
iCall Mobile,iOS v43,proprietary  freeware,No,SIP AIM ICQ XMPP  Facebook  Yahoo! Messenger  Windows Live,Speex  CELT  WebM,Yes|TLS  ZRTP,VoIP over WiFi or 3G  SMS  voicemail,201; Start date and age|2012|04
Jajah Mobile Web,Symbian  Windows Mobile (version unknown),Proprietary,No,dunno,dunno,dunno,web based service  Call back no download[22],dunno
JusTex by Juphoon,Android  iOS v51,proprietary,No,SIP,PCMA  PCMU  G722  iLBC  iSAC  Opus  H264  VP8  H263,Yes|TLS  TCP  UDP  SRTP,JusTex Softphone over WiFi or 3G  HD voice and video call  Multiparty call  conference,301 (iOS); Start date and age|2014|07|13; 30 (Android); Start date and age|2014|07|09
Line,Android  iOS,proprietary,No,dunno,dunno,dunno,dunno,[empty]
Line2,Android  iOS,proprietary  freeware,No,Proprietary with SIP core,dunno,dunno,Trimode calling (cellular  3G/4G data  WiFi)  SMS over IP  visual voicemail  20person conference calls  autoattendant  callforwarding,104 Android  321 iOS
Media5fone,iOS  Android,proprietary,No,SIP,PCMA  PCMU  G722*  iLBC  iSAC*  G729*,TLS*  SRTP*,WiFi and 3G/4G data  second call*  conference calls*  HD Voice  Bluetooth* (* Additional fees),dunno
Signal by Signal Messenger,iOS  Android,free|GPLv3,Yes,WebRTC[23],Opus[23],Yes|TLS  Signal Protocol[23],Endtoend encryption by default for everything CallKit and location privacy [24] onetoone and group messaging  video calling [24] image/video sharing  timed messages  identity verification  screenshot blocking Android only SMS/MMS messaging  doodling [25] GIF sharing[26],Latest stable software release/Signal
Sipdroid,Android,free|GPL,Yes,SIP,dunno,dunno,Uses WiFi  3G or EDGE,27
Tango by TangoME Inc,iOS  Android  Microsoft Windows  macOS  Windows Phone,proprietary  freeware,dunno,dunno,dunno,dunno,VoIP  WiFi out & in  SMS over IP  callthrough & callback  instant messaging  videoconferencing,dunno
Truphone,NokiaSymbian  iOS  Android  BlackBerry,proprietary  freeware,No,SIP,dunno,dunno,VoIP  WiFi out & in  SMS over IP  callthrough & callback  connection management  provisioning,Symbian 40  iOS 1111
Vopium,Symbian  Java ME  Android  BlackBerry RIM  iOS  Windows Mobile 2003 SE and higher,proprietary  freeware,No,SIP  MSN  Skype  Yahoo  AOL  ICQ  Google Talk  Facebook & Twitter,GSM,dunno,WiFi VoIP  GSM callthrough  SMS over IP  least cost routing  synchronisingbackup mobile contacts and calendar,20
WhatsApp,Android  BlackBerry  iOS  Symbian  Windows Phone,proprietary  freeware,No,dunno,dunno,yes|ECDH  SRTP[27],VoIP and instant messaging over WiFi or a data connection,Latest stable software release/WhatsApp
Windows Mobile 6,Windows Mobile 6 Professional/Standard,proprietary|Proprietary,No,SIP to publicly and nonpublicly routable servers,dunno,dunno,WiFi Mobile VoIP,61
XPRO for Pocket PC,Windows Mobile 2003 (earlier versions support Windows PocketPC 2002),proprietary|Proprietary  discontinued in April 2007[28],No,SIP,dunno,dunno,Supported devices AudioVox Maestro  Compaq/HP iPAQ 365x  37xx  385x  395x  hx4700  Dell Axim X51  X51v  Toshiba e550  e570 iPAQ 545x and Toshiba e7xx are not supported[29],22
Yuilop,Android  iOS   Windows Phone  BlackBerry OS,proprietary  freeware,No,XMPP  RTP,iLBC,Yes|TLS,VoIP over 3G4GLTE and Wifi  SMS  group chat  photo sharing  Location sharing  virtual phone numbers,Latest stable software release/Yuilop
Linkus,Android V44  iOS  v100,proprietary  freeware,No,SIP,iLBC,Yes|TLS SRTP,HD VoIP Call  Instant Messaging  Conferencing  SRTP Secure Media  Presence information,iOS 279  Android 2712
