Program,Operating systems,License,Protocols  based on  compatible with,Encryption,Other abilities,Key and target markets,Latest release
3CX Phone System,Windows  Linux,proprietary,SIP,yes|TLS  SRTP,Voice and video IP telephony and conferencing  voice mail and instant messaging,< 50000 users,162 ; Start date and age|2019|07|05
AS5300,Linux  Windows Server 2003,proprietary,SIP  UNIStim  MLPP,yes|SSL  TLS  SRTP  SDESC,Voice and Video IP telephony  Voice and Video conferencing  voice mail and instant messaging,1000  25000 users,10; Start date and age|2008|01
AskoziaPBX,no additional OS required (Linux based),free|GPL  Open core,SIP  H323  IAX  SCCP,no,ISDN  analog  Voicemail  Conferencing  MOH  ACD  IVR  Call forwarding  Call recording,SMEs up to 50 users,222; Start date and age|2012|12
Asterisk PBX,Linux  BSD  macOS  Solaris,free|GPL  optional Proprietary[30],SIP  H323  IAX  MGCP  VOFR  XMPP  Google Talk  TDM,yes|TLS  SRTP,VoIP Gateway  voicemail  basic accounting (can be expanded by interface with ODBCcompliant database)  billing  conferencing  hotdesking  IVR trees with conditional logic  call queuing  automated call distribution,Enthusiasts  developers  enterprise users (capacity dependent on server design  scalable across multiple servers),Latest stable software release/Asterisk
Brekeke SIP Server,Linux  Windows,proprietary,SIP,yes|TLS  SRTP,SIP Registrar  SIP Proxy,SIP Service Providers  VoIP service providers  Healthcare  Security,3913; Start date and age|2018|12|21
Brekeke PBX,Linux  Windows,proprietary,SIP,yes|TLS  SRTP,Voice and Video IP telephony  Voice and Video conferencing  and voice mail,Hosted service providers  Midlarge enterprise,3914; Start date and age|2018|12|27
CallMax Softswitch,Linux,proprietary,SIP  H323,yes|SSL  TLS  HTTPS,Integrated billing  IP PBX Platform  Calling card platform  Callshop module  Customer Web Portal  Retail SMS Platform,SIP Service Providers  Residential & Business VoIP providers  Corporate Clients  Other Class 5 softswitch users,36; Start date and age|2015|10
CommuniGate Pro,Linux  BSD  macOS  Windows  Solaris  HPUX  AIX,proprietary,SIP  XIMSS Protocol  XMPP  WebRTC,yes|SSL  TLS  SRTP,SIP Registrar/Proxy  Authentication  Diameter  RADIUS  ENUM  many others,Carriers  enterprises  MNOs  ISPs  SaaS providers,6111; Start date and age|2016|06
DialGate Softswitch PBX,Linux  Windows,proprietary,SIP,yes|TLS  SRTP,Billing server  realtime account and line monitoring  webbased user interface,Softswitch users  service providers,43; Start date and age|2014|06
DialOffice IPPBX,Linux  Windows,proprietary,SIP,yes|TLS  SRTP,Unified Communications  Conferencing  remote worker support and voice mail,Small businesses  Midlarge enterprises,41; Start date and age|2013|12
Elastix,Linux,free|GPL,SIP  IAX  H323  XMPP,yes|TLS  SRTP,Unified communication server that also supports chat  mail and fax,Capacity dependent on server design  scalable across multiple servers,250 (stable)  300 (stable)  400 (stable); Start date and age|2016|02|10
