[empty],Client (library),Server (library),Version compared,Protocol (spec) version support,Protocol test report,License,Implementation language  environment,API language  environment,Selfhosted server,Text message support,Binary message support,API messagebased,API framebased,API streaming inputoutput,Flowcontrol framework,Automatic pongs for pings,Automatic heartbeat pings,Manual pingspongs,Frame size limit
Google Chrome 15[1],yes,no,1508748 nowrap|12 Sep 2011,8 (10),[empty],partial|Complex,C  WebKit,JavaScript  HTML5,no,yes,yes,yes,no,no  No,no,yes,no,no, 16 MB (memorylimited?)
Google Chrome 16[1],yes,no,160912 nowrap|13 Dec 2011,13 (17/RFC 6455),[empty],partial|Complex,C  WebKit,JavaScript  HTML5,no,yes,yes,yes,no,no  No,no,yes,no,no, 16 MB (memorylimited?)
Mozilla Firefox 7[2],yes,no,7 beta nowrap|12 Sep 2011,8 (10),[empty],free|MPL  GPL  LGPL,C  Necko,JavaScript  HTML5,no,yes,no,yes,no,no  No,no,yes,no,no,< 16 MB
Mozilla Firefox 11[2],yes,no,110 nowrap|13 Mar 2012,13 (17/RFC 6455),[empty],free|MPL  GPL  LGPL,C  Necko,JavaScript  HTML5,no,yes,yes,yes,no,no  No,no,yes,no,no,< 2 GB (memorylimited?)
Achex WS[3],yes,yes,217 nowrap|17 June 2014,RFC 6455,[empty],free|Commercial,C,C  JavaScript,yes,yes,yes,yes,yes,yes,yes,no,no,yes,216
Kaazing WebSocket Gateway[4],yes,yes,50 Dec 2014,RFC 6455,[empty],partial|APL2 (Community Edition)  commercial (Enterprise Edition),Java  JMS,JavaScript  Flash/Flex  Silverlight  ObjectiveC & iOS  Java  Java & Android  NET  Xamarin,yes,yes,yes,yes,no,yes,yes,yes,yes,no,memorylimited  configurable
Lightstreamer[5],yes,yes,703 nowrap|7 Jan 2019,RFC 6455,[empty],partial|Commercial  freeware,Java,JavaScript  Flash/Flex  Silverlight  iOS  macOS  tvOS  watchOS  Java  J2ME  Android  NET Standard/NET PCL/Unity,yes,yes,no,yes,no,no,yes,yes,yes,no,Data driven  configurable
MigratoryData[6],yes,yes,5015 nowrap|13 Oct 2015,RFC 6455,[empty],nonfree|Commercial,Java,JavaScript  iOS  Android  Java  C  NET  PHP  Nodejs  Python  Ruby,yes,yes,no,yes,no,no  No,yes,yes,yes,no,263  configurable
noPoll[7],yes,yes,032 nowrap|28 aug 2015,RFC 6455,[empty],free|LGPL 21,ANSI C,ANSI C,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,memorylimited  configurable
POCO C Libraries[8],yes,yes,146 nowrap|23 Sep 2014,RFC 6455,[empty],free|Boost,C  POCO C Libraries,C,yes,yes,yes,no,yes,yes,no,no,no,yes,memorylimited  configurable
PowerWebSockets[9],yes,yes,151765188 nowrap|26 Jun 2015,RFC 6455,Test report[10],nonfree|Commercial,NET,NET Framework  NET Compact Framework  Xamarin iOS  XamarinAndroid  Windows Phone  Silverlight  Mono,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,memorylimited  configurable
Push Technology Diffusion[11],yes,yes,461,RFC 6455,[empty],nonfree|Commercial,Java,JavaScript  Flash/Flex  Silverlight  ObjectiveC & iOS  Java  Java & Android  NET  Java J2ME & BlackBerry  C/C  Nodejs,yes,yes,yes,yes,no,yes,yes,yes[12],yes[12],no,memorylimited  configurable
QtWebSockets[13],yes,yes,10 nowrap|12 Nov 2013,RFC 6455,[empty],free|LGPL,C  Qt,Qt,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,memorylimited  configurable
RingSocket[14],no,yes,10 nowrap|13 Sep 2019,RFC 6455,[empty],free|MIT,C,C,yes,yes,yes,yes,no,no,yes,yes,no,no,unlimited/configurable
Resin[15],no,yes,4026 nowrap|29 Feb 2012,RFC 6455,[empty],partial|GPL  commercial,Java  C,Java,[empty],yes,yes,yes,no,yes,no,yes,no,no,memorylimited  configurable
WebSocketListener[16],no,yes,213 nowrap|24 Nov 2014,RFC 6455,[empty],free|MIT,NET  Mono,NET  Mono,yes,yes,yes,yes,no,yes,yes,yes,yes,no,Configurable
Wt[17],no,yes,320 nowrap|30 Nov 2011,07813 (17),[? Report],partial|GPL  commercial,C  Boost Asio,C,[empty],yes,yes,no,no,no,yes,yes,yes,no,memorylimited  configurable
XSocketsNET[18],yes,yes,5*,RFC 6455,[empty],nonfree|Commercial,NET,Serverlanguages Windows (NET)  UnixLinux (Mono) Clientlanguages JavaScript  NET  Mono,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,memorylimited  configurable
RIWA Gateway[19],yes,yes,201,RFC 6455,[empty],nonfree|Commercial,Java,Java  Android  iOS  JavaScript,yes,yes,yes,yes,no,yes,no,yes,no,no,memorylimited  configurable
WebSockets[20],no,yes,v0140 nowrap|28 Mar 2017,RFC 6455,Testsuite report">WebSockets Autobahn|Testsuite report,free|Apache License 20,C  epoll  Libuv  Boost Asio,C  JavaScript  Nodejs,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,memorylimited  configurable
BoostBeast[21],yes,yes,94 nowrap|30 July 2017,RFC 6455,Testsuite report">BeastWebSocket Autobahn|Testsuite report,free|Boost,C  Boost Asio,C,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,unlimited (packets streamed to user code)  permessagedeflate also unlimited (chunked)
libwebsockets[22],yes,yes,24 nowrap|16 Oct 2017,RFC 6455  RFC 7692,Testsuite report">libwebsocketsorg lws Autobahn|Testsuite report,free|LGPL2  SLE,C  libuv  libev  libevent  poll  external poll loop integration  OpenSSL  mbedTLS,C  HTML5  JavaScript,yes,yes,yes,yes,yes,yes  yes,yes,yes,yes,yes,unlimited (packets streamed to user code)  permessagedeflate also unlimited (chunked)
websocket[23],yes,yes,070 nowrap|22 Feb  2016,RFC 6455,[empty],free|BSD,C11,C11,?,?,?,?,?,?,?,?,?,?,?
facilio[24],yes,yes,071 nowrap|18 May 2019,RFC 6455,[empty],free|MIT,C,C,yes,yes,yes,yes,yes,yes  yes,yes,yes,yes,yes,configurable client to server limits unlimited (chunked) server to client
oatppwebsocket[25],yes,yes,0198 nowrap|21 August 2019,RFC 6455,[empty],free|Apache License 20,C11  Oat,C11  Oat,yes,yes,yes,yes,yes,yes,yes,no,no,yes,unlimited (packets streamed to user code)
