Tank,Country,Year introduced,Production total,Crew,Armament number of rounds,Armour thickness (front/side/top),Weight (tonnes),Engine,power/weight ratio,Speed (km/h),Range
Mark I Male,UK,1916,75,8,2×6 pounder (57 mm/L40) [324]  3×MG [6272],12/10/6 mm,284 t,Petrol 105 hp (78 kW),37 hp/t,45 km/h,37 km
Female,75,5×MG [30080],274 t,[added],[added],[added],[added],[added],[added],[added],[added]
Mark IV Male,UK,1917,420,8,2×57 mm/L23 [332]  3×MG [6272],14/12/8 mm,285 t,125 hp (93 kW),[empty],56 km/h,56 km
Female,595,5×MG [10000],27 t,[added],[added],[added],[added],[added],[added],[added],[added]
Mark V Male,UK,1918,200,8,2×57 mm/L23 [207]  4×MG [5800],14/14/8 mm,295 t,150 hp (112 kW),51 hp/t,75 km/h,72 km
Female,200,6×303 MG [14100],285 t,[added],[added],[added],[added],[added],[added],[added],[added]
Mark V* Male,UK,1918,200,824 infantry,2×57 mm/L23 [221]  8×MG [8400],14/12/6 mm,33 t,4 km/h,63 km,[added],[added]
Female,432,10×MG [16800],32 t,[added],[added],[added],[added],[added],[added],[added],[added]
Medium Mark A Whippet,UK,1918,200,34,4×303 MG [5400],14/14/5 mm,14 t,Petrol 2×45 hp (34 kW),64 hp/t,13 km/h,64 km
Schneider CA1,France,1917,400,6,75 mm/L13 [94��96]  2× 792 mm MG [3840],115/115/55 mm,135 t,60 hp (45 kW),[empty],8 km/h,48 km
1917,24/17/55 mm,146 t,75 km,[added],[added],[added],[added],[added],[added],[added],[added]
SaintChamond,France,1917,165,8,75 mm/? [106��108]  4× 792 mm MG [7488],115/85/55 mm,22 t,90 hp (67 kW),41 hp/t,12 km/h,60 km
SaintChamond,1917,235,75 mm/L36 [106��108]  4× 792 mm MG [7488],195/17/55 mm,24 t,[added],[added],[added],[added],[added],[added]
Renault FT mitrailleuse,France,1918,3694[1],2,792 mm MG [4800],16/8/6 mm,65 t,35 hp (26 kW),107 hp/t,8 km/h,35 km
Renault FT canon,1918,37 mm/L20 [240],67 t,[added],[added],[added],[added],[added],[added],[added],[added]
A7V [2],Germany,1918,20,18,57 mm/L26 [180]  6×MG [10000��15000],30/20/10 mm,32 t,2×100 hp (75 kW),625 hp/t,12 km/h,35 km
