Name,Latest release,Active,Software license,Type,Windows,macOS,Linux,Textual editor?,Tree view editor?,Graphical editor?,WYSIWYG editor?,XML Schema editor?,Syntax highlighting,Tag folding,Autocomplete using schema,XPath search,XML diff/merge,Payment model,Full-featured free trial period
Adobe FrameMaker,2015,[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Altova XMLSpy,2018,[empty],[empty],Standalone<br />Eclipse Plugin  Visual Studio Plugin,[empty],<ref name=po>Plugin version</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],30 days
CAM Editor,2015 (3.2.2),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
emacs/<br />nxml-mode,current,[empty],[empty],Emacs mode,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MadCap Flare,2019,[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perpetual and Subscription,[empty]
Liquid XML Studio,2018 (16.1.19),[empty],[empty],Standalone + Visual Studio Plugin,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Oxygen XML Editor,2019 (21.0),[empty],[empty],Standalone + Eclipse Plugin<ref>Older Eclipse plugin versions work in current (Indigo) Eclipse.</ref>Web-App,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],30 days
Quark Author Web Edition on Quark Publishing Platform,2014 (10.5),[empty],[empty],Web-App,[empty],[empty],[empty],[empty],Sections Only,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Stylus Studio,2014 (X15 R2),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xeditor,2.0,[empty],[empty],Web-app,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xerlin,2005 (1.3),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XMetaL,2018 (13.0),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XML Notepad,2017 (2.7.1),[empty],[empty],Standalone,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
