RFC,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,MongooseIM,Openfire,Prosody,Sun Java System Instant Messaging Server,Tigase
RFC 3920,XMPP Core,[empty],<ref name="ejabberd-features"></ref>,[empty],<ref name="jabberd14-features"></ref>,<ref name="jabberd2-featers"></ref>,[empty],<ref name="Features and supported standards"></ref>,<ref name="openfire-features"></ref>,[empty],[empty],<ref name="tigase-features"></ref>
RFC 3921,XMPP IM,[empty],<ref name="ejabberd-features" />,[empty],<ref name="jabberd14-features" />,<ref name="jabberd2-featers" />,[empty],<ref name="Features and supported standards" />,<ref name="openfire-features" />,[empty],[empty],<ref name="tigase-features" />
RFC 3922,XMPP CPIM,<ref name="xsf-rfc"></ref>,[empty],[empty],[empty],[empty],[empty],<ref name="Features and supported standards" />,[empty],[empty],[empty],[empty]
RFC 3923,XMPP E2E,<ref name="xsf-rfc"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RFC 4854,XMPP URN,<ref name="xsf-rfc"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RFC 4979,XMPP ENUM,<ref name="xsf-rfc"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RFC 5122,XMPP URI,<ref name="xsf-rfc"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RFC 6120,XMPP Core,<ref name="xsf-rfc"/>,<ref name="ejabberd-protocols"/>,[empty],[empty],[empty],[empty],<ref name="Features and supported standards" />,/Partial <ref name="OF-630"></ref>,[empty],[empty],<ref name="tigase-features" />
RFC 6121,XMPP IM,<ref name="xsf-rfc"/>,<ref name="ejabberd-protocols"/>,[empty],[empty],[empty],[empty],<ref name="Features and supported standards" />,/Partial <ref name="OF-628"></ref>,[empty],[empty],<ref name="tigase-features"/>
RFC 6122,XMPP AF,[empty],<ref name="ejabberd-protocols"/>,[empty],[empty],[empty],[empty],<ref name="Features and supported standards" />,<ref name="Openfire-Protocol-Support"></ref>,[empty],[empty],<ref name="tigase-features" />
RFC 7395,XMPP WebSockets,Proposed,<ref name="docs-ejabberd-xmpp"></ref>,<ref name="apple-developers-help-messaging"></ref>,[empty],[empty],<ref name="redacted  github-repository"></ref>,<ref name="Features and supported standards" />,/Plugin<ref name="openfire-blog-websockets"></ref>,<ref name="Prosody-modules"></ref>,[empty],<ref name="tigase-features" />
RFC 7622,XMPP AF,<ref name="xsf-rfc"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XEP,Description,Status,ejabberd,iChat Server,jabberd14,jabberd2,Metronome,Isode M-Link,MongooseIM,Openfire,Prosody,Tigase
0004,Data forms,[empty],<ref name="ejabberd-protocols" />,[empty],[empty],<ref name="jabberd2-features" />,<ref name="metronome-features">Server-side Extensions Supported in Metronome. Retrieved on 2018-03-06.</ref>,<ref name="M-Link-features"></ref>,[empty],<ref name="openfire-features" />,<ref name="prosody-thorough">XMPP Extensions (XEPs) supported in Prosody. Prosody.im (2013-05-29). Retrieved on 2013-07-17.</ref>,<ref name="tigase-features" /><ref>Exists as API on the server side</ref>
0009,Jabber RPC,[empty],<ref name="ejabberd-protocols" />,[empty],[empty],<ref name="jabberd2-features" />,[empty],[empty],[empty],[empty],<ref name="prosody-thorough" />,[empty]
0012,Last Activity,[empty],<ref name="ejabberd-protocols">Protocols Implementation | ejabberd Community Site. Ejabberd.im (2010-08-03). Retrieved on 2013-07-17.</ref>,[empty],<ref name="jabberd14-features" />,<ref name="jabberd2-features">https://github.com/jabberd2/jabberd2/blob/master/README.protocol. Jabber2 README.protocol. Retrieved on 2014-02-27.</ref>,<ref name="metronome-features" />,<ref name="M-Link-features" />,[empty],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0013,Flexible offline message retrieval,[empty],<ref name="ejabberd-protocols" />,[empty],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[empty],[empty],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0016,Privacy Lists,[empty],<ref name="ejabberd-protocols" />,[empty],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,<ref name="metronome-features" />,[empty],[empty],[empty],<ref name="prosody-thorough"/>,<ref name="tigase-features" />
0018,Invisible Presence,[empty],<ref name="ejabberd-protocols" />,[empty],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,[empty],[empty],[empty],[empty],[empty],<ref name="tigase-features" />
0020,Feature negotiation,[empty],<ref name="process-one"></ref>,[empty],[empty],<ref name="jabberd2-features" />,[empty],[empty],[empty],<ref name="openfire-features" />,<ref name="prosody-thorough" />,<ref name="tigase-features" />
0022,Message Events,[empty],<ref name="ejabberd-protocols" />,[empty],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,[empty],[empty],[empty],[empty],<ref name="prosody-thorough" />,<ref name="tigase-features" />
0023,Message Expiration,[empty],<ref name="ejabberd-protocols" />,[empty],<ref name="jabberd14-features" />,<ref name="jabberd2-features" />,[empty],[empty],[empty],[empty],[empty],[empty]
