Platform,Primary Domain,Supporting Organization,License,Programming Language,Operating System,User Support,FIPA Compliant,GIS Capabilities,3D Capabilities,Last Update
Altreva Adaptive Modeler,Building agentbased market simulation models for price forecasting of realworld stocks and other securities,Altreva; Utrecht  Netherlands,Proprietary; free evaluation version available for research and experimentation (some limitations but no expiration),No programming skills required An adaptive form of genetic programming is used to create trading rules User can select functions to be used in the genetic programming engine,Windows 2000  NT 40  XP  Vista  7  8 or any other platform that supports Microsoft Net 20 or higher,FAQ  documentation  tutorial  examples  forum  email support,unk,unk,yes Up to 3 agent properties can be visualized in realtime using 2D graphics and color,unk
AgentSheets,Teaching simulation to grades K€“12 in social studies  mathematics  sciences  and social sciences,AgentSheets  Inc; Boulder  Colorada  USA,Proprietary,Visual AgenTalk; can be exported to Java;,Windows; Mac OS X; should run on any Java Virtual Machine,Manuals; tutorial movies; FAQ; recommended readings on programming and simulation; personal contact with developers; elementary school training; teacher guides,unk,unk,unk,unk
AnyLogic,Agentbased general purpose; also supports discrete event and system dynamics simulations,AnyLogic; St Petersburg  Russia,Proprietary; Free Personal Learning Edition available,Java,AnyLogic models can be exported as standalone Java applications (professional version only) or applets and run on any Javaenabled platform or in any Javaenabled browser with the following version of JRE (Java Runtime Environment) JRE 180 or later; Java plugin (needed to run models in a Browser) is optionally installed with the JRE; Windows 8  7  Vista  x8632; Mac OS X 1073 (Lion) or later  Universal; SuSE Open Linux 102 or later  x8632; Ubuntu Linux 1004  x8632,Demos; training; online community; ask a question; online help; tutorials; consulting services,no,yes supports both tile maps from free online providers and shapefilebased maps,yes,dts|20180615[1]
Cougaar,Multiagent systems; highly distributed  scalable  reliable  survivable applications; Domain independent; large scale distributed  complex  data intensive (can be configured for smallscaled embedded applications),Cougaar Software Inc; Vienna  Virginia  USA],Cougaar Open Source License (COSL) is a modified version of the OSI approved BSD License,Java,Windows 98; Windows NT; Windows XP; Linux; Mac OS X; and Java14capable PDAs,FAQ; tutorials; slide shows; documentation; selected references; email support; public forums; mailing lists,No,yes Integrated with OpenMap,No,unk
Framsticks,2D/3D simulations of (evolving) multiagent systems and artificial life,Poznan University of Technology  Poznan  Poland,Depends on module GPL/LGPL/Propertiary,FramScript (similar to JavaScript),Windows; Linux; *nix; Mac OS X,Email developer; tutorials; manual; FAQ; forums; API; documentation; selected publications; examples,unk,Yes,Yes,unk
Gama Platform,GAMA is a modeling and simulation development environment for building spatially explicit agentbased simulations,IRD/SU international research unit UMMISCO  France,GPL v30,GAML (GAma Modeling Language),Windows; Linux; *nix; Mac OS X,Email developer; tutorials; manual; FAQ; forums; API; documentation; selected publications; examples,Yes,Yes,Yes,dts|20190731[2]
JADE,Distributed applications composed of autonomous entities,Telecom Italia; Torino & Parma  Italy,LGPL version 2,Java,Any Java Platform,FAQ; mailing list; defect list; tutorials; API; documentation,yes,unk,unk,unk
MASON,General purpose; social complexity  physical modeling  abstract modeling  AI/machine learning,George Mason University  Fairfax  Virginia  USA,Academic Free License (open source),Java,Any Java Platform (13 or higher),Mailing list; documentation; Tutorials; third party extensions; reference papers; API,unk,Yes,Yes,unk
NetLogo,Social and natural sciences; Help beginning users get started authoring models,Northwestern University  Evanston  Illinois  USA,GPL,NetLogo,Any Java Virtual Machine  version 6 or later,Documentation; FAQ; selected references; tutorials; third party extensions; defect list; mailing lists,unk,Yes,Yes,Version 60 (Nov 2016)
Repast,Social sciences,Argonne National Laboratory  University of Chicago; Lemont  Illinois  USA,BSD,Java (RepastS  RepastJ); Python (RepastPy); Visual Basic  Net  C  J#  C# (Repastnet),Java version 14  although a 13 version for Mac OS X is available To run the demonstration simulations  you'll need a Java Runtime Environment (RepastS  RepastJ); platform independent (RepastPy); Windows (Repastnet),Documentation; mailing list; defect list; reference papers; external tools; tutorials; FAQ; examples,unk,Yes,Yes,unk
