Company,Software,Ondemand scan,Onaccess scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email Security,AntiSpam,Web protection,LiveUpdate,Support,License,Price,First release,Country of origin,Notes
Avast,Avast Mac Security,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Free,2012,Czech Republic,[empty]
Avira Operations,Avira Free Mac Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Proprietary,Free,2011,Germany,[empty]
Bitdefender,Bitdefender Antivirus for Mac,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,Romania,[empty]
Cisco,Clam AntiVirus,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,GPLlic,Free,2000,United States,[empty]
Comodo Group,Comodo Mac Security,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Proprietary,Free,2012,United States,[empty]
Dr Web,Dr Web Antivirus for Mac OS X,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,some|Trialware,2012,Russia,[empty]
ESET,ESET Cyber Security,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,Slovakia,[empty]
ESET,ESET Cyber Security Pro,Yes,Yes,Yes,Yes,Yes[9],No,No,Yes,No,Yes,Yes,Yes,Proprietary,Nonfree,2013,Slovakia,[empty]
FSecure,FSecure AntiVirus for Mac,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2008,Finland,Thirdparty antivirus engine (Bitdefender  FPROT)
Intego,VirusBarrier,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Proprietary,Nonfree,1997,United States,[empty]
Intego,Mac Internet Security,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2000,United States,[empty]
Kaspersky Lab,Kaspersky Internet Security,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Proprietary,Nonfree,2010,Russia,Banned by USG
Quick Heal,Quick Heal Total Security for Mac,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,1995,India,GoDeepAI engine
Malwarebytes,Malwarebytes for Mac,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Free,2006,United States,4 vulnerabilities found by Project Zero in 2016
Panda Security,Panda Antivirus for Mac,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2008,Spain,[empty]
Sophos,Sophos AntiVirus for Mac,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Proprietary,Free,2010,United Kingdom,[empty]
Symantec,Symantec Endpoint Protection,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2012,United States,[empty]
Symantec,Norton Security Standard for Mac,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2012,United States,[empty]
Trend Micro,Titanium Internet Security for Mac,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2011,Japan,[empty]
Webroot,SecureAnywhere AntiVirus,Yes,Yes,No,No,No,No,No,No,No,Yes (only in Apple Safari),Yes,Yes,Proprietary,some|Trialware,2012,United States,[empty]
Webroot,SecureAnywhere Internet Security Plus and Complete,Yes,Yes,No,No,No,No,No,No,No,Yes (only in Apple Safari),Yes,Yes,Proprietary,some|Trialware,2012,United States,[empty]
Company,Software,Ondemand scan,Onaccess scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email Security,AntiSpam,Web protection,LiveUpdate,Support,License,Price,First release,Country of origin,Notes
