Company,Software,Ondemand scan,Onaccess scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email security,AntiSpam,Web protection,LiveUpdate,Support,License,Price,First release,Country of origin,Notes
AVG Technologies (Grisoft),AVG Linux Server Edition,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Proprietary,Nonfree,2008,Czech Republic,[empty]
Cisco,Clam AntiVirus,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,GPLlic,Free,1998,United States,[empty]
Comodo Group,Comodo Internet Security Linux,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Proprietary,Free,2008,United States,[empty]
Dr Web,Dr Web Antivirus for Linux,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,some|Trialware,1992,Russia,[empty]
ESET,ESET File Security for Linux,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Proprietary,Nonfree,2008,Slovakia,[empty]
FRISK Software,FPROT Antivirus,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Proprietary,some|Trialware,1989,Iceland,[empty]
FSecure,FSecure Linux Security,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2008,Finland,[empty]
Fortinet,Forticlient,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Proprietary,Free,2009,United States,[empty]
Kaspersky Lab,Kaspersky AntiVirus for Linux,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Proprietary,Nonfree,2012,Russia,Banned by USG
Panda Security,Panda DesktopSecure for Linux,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,2008,Spain,[empty]
Quick Heal,Quick Heal for Linux,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Proprietary,Nonfree,2005,India,GoDeepAI engine
Sophos,Sophos AntiVirus for Linux,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Free,2008,United Kingdom,[empty]
Company,Software,Ondemand scan,Onaccess scan,Heuristics,CloudAV,Firewall,IDS,IPS,Email security,AntiSpam,Web protection,LiveUpdate,Support,License,Price,First release,Country of origin,Notes
