Assembler,License,Instruction set,Host platform
Atari Assembler Editor,[empty],MOS Technology 6502,Atari 8-bit family
Atari Macro Assembler,[empty],MOS Technology 6502,Atari 8-bit family
Lisa,[empty],MOS Technology 6502,Apple II series
MAC/65,[empty],MOS Technology 6502  WDC 65C02,Atari 8-bit family
Merlin,[empty],MOS Technology 6502  WDC 65C02,Apple II series
vasm,[empty],MOS Technology 6502,various
k2asm,Artistic License,MOS Technology 6502,Linux  Windows  macOS  possibly other Unices
Assembler,Open source,License,Instruction set,Host platform,Development active
ASM-One Macro Assembler,[empty],[empty],Motorola 680x0,Commodore Amiga,[empty]
vasm,[empty],[empty],Motorola 680x0,various,[empty]
Assembler,License,Instruction set,Host platform
GNU Assembler,[empty],ARM,various
vasm,[empty],ARM,various
