Name,Operating system(s),Source code language(s),Programming (plugin) API language(s),Other technical features
Bidule,Mac OS X  Windows,C,C,ASIO/ CoreAudio (Mac)/ ReWire support Possible to write custom modules via API if NDA accepted
ChucK,Mac OS X  Linux  Windows,C,[empty],Unified timing mechanism (no separation between audiorate and controlrate)  commandline access
Csound,Mac OS X  Linux  Windows,C  C,C; also Python  Java  Lisp  Lua  Tcl  C,IDE (QuteCsound)  multitrack interface (blue); several analysis/resynthesis facilities; can compute doubleprecision audio; Python and LuaJIT algorithmic composition library; multithreaded processing
Impromptu,Mac OS X,Lisp  ObjectiveC  Scheme,C  C  ObjectiveC  Scheme,Native access to most OS X APIs including Core Image  Quartz  QuickTime and OpenGL Impromptu also includes its own statically typed (inferencing) systems language for heavy numeric processing  OpenGL  RT AudioDSP etc
Kyma,Mac OS X  Windows,Smalltalk  C  ObjectiveC,Smalltalk,The Kyma hardware processes user algorithms at samplerate  as opposed to a vector of samples[1] Kyma has a Frequency resolution of 0026 Hz  and large multidimensional arrays can be transferred through spectral algorithms at the speed of a single Frame
Max/MSP,Mac OS X  Windows,C  ObjectiveC,C  Java  JavaScript  also Python and Ruby via externals,[empty]
Pure Data,Mac OS X  Linux  Windows  iPod  Android,C,C  C  FAUST  Haskell  Java  Lua  Python  Q  Ruby  Scheme  others,[empty]
Reaktor,Mac OS X  Windows,[empty],[empty],[empty]
SuperCollider,Mac OS X  Linux  Windows  FreeBSD,C  C  ObjectiveC,C,Clientserver architecture; client and server can be used independently  commandline access
Sporth,Linux  Mac OS X,C,C  Scheme,Many frontends built using the API exist  including Chuck  PD  and LADSPA
VCV Rack,Mac OS X  Linux  Windows,C,C,[empty]
