Software,Version,Operating systems,Developer,License
BeeOne SMOD/HMS,31,Windows,HemiSynths Explorers,Proprietary
Binaural Beethoven,314,iOS,Tomá� Baculák,Proprietary
Brain Equalizer,370,iOS,Tomá� Baculák,Proprietary
BrainWave Generator,31,Windows,Noromaa Solutions Oy,Proprietary
Gnaural,1020100707,FreeBSD  Linux  Mac OS X  Windows,gnaural,GPL
BrainIgniter Player,60,Windows,Volition,Proprietary
Neuro Entrainment,20,Android,Tensai,Proprietary
NeuroProgrammer 3,3090,Windows,Transparent Corp,Proprietary
Mind WorkStation,1220,Windows,Transparent Corp,Proprietary
SBaGen,144,DOS  FreeBSD  Linux  Mac OS X  Windows  WinCE,Uazu,GPL
Brainwave Studio,15,Mac OS X  iOS,RCS Software,Proprietary
Discord,321,Linux,Stan Lysiak,GPL
Isochronic Tone Generator,18,iOS,CMLStudio,Proprietary
Lux VST Brainwave Entrainment Instrument,11,Windows,Steve Duell,GPL
Neuro Sequencer Pro,17,Windows,isone,Proprietary
SHARM Studio 5,535,Windows,CyberTeam Ltd,Proprietary
