[empty],Developer,First release,Latest release,License,Platform
Battle Chess,Interplay Silicon & Synapse (C64)<ref></ref>,1988,1994,Commercial,Microsoft Windows  Apple Inc.  Amiga  3DO  Acorn Archimedes  Atari  Commodore 64  MS-DOS  FM Towns  NES  PC-98  Sharp X68000
Battle Chess: Game of Kings,Interplay,2014-04,n/a,Commercial,Steam (software)
Battle vs. Chess,Targem Games<br />Zuxxez Entertainment,2011,n/a,Commercial (Topware Interactive),Microsoft Windows  Mac OS X  Nintendo DS  PlayStation 3  PlayStation Portable  Xbox 360  Wii
Chessaria: The Tactical Adventure,Pixel Wizards<ref></ref><ref></ref>,2018,n/a,Commercial,Steam (software)  Microsoft Windows  Mac OS X
Chess Assistant,Victor Zakharov,1988,2018,Commercial (Convekta),Microsoft Windows
Chessbase,Mathias Wüllenweber  Mathias Feist,1987,2018,Commercial (Chessbase),Microsoft Windows  Android  Steam
Chessmaster,David Kittinger  Kathe and Dan Spracklen  Johan de Koning,1986,2007,Commercial (Ubisoft),MS Windows  MS-DOS  PlayStation  Xbox 360  (XBLA)  PSP  PS2
Chess Titans,Oberon Games,2007,n/a,Included in Microsoft Windows Vista and 7,Windows Vista  Windows 7
ChessV,Gregory Strong,2009,n/a,GPL,Microsoft Windows
Fritz,Frans Morsch  Mathias Feist  Gyula Horvath  Vasik Rajlich,1991,2018,Commercial (Chessbase),Microsoft Windows  Steam  PlayStation 3  Wii  Nintendo DS
Fritz and Chesster,Chessbase,2005,2010,Commercial (Chessbase),Microsoft Windows  Mac  Nintendo DS
GNOME Chess,Robert Ancell  GNOME Team,2000,2018,Free,Unix-like
GNU Chess,Stuart Cracraft  John Stanback  Chua Kong-Sian  Fabien Letouzey,1984,2013,Free,Microsoft Windows  Unix-like
HIARCS,Mark Uniacke,1980,2012,Commercial (Chessbase  Hiarcs.com),Microsoft Windows  iOS  Mac OS X  Windows Mobile  Freescale DragonBall  ARM-based Palm OS
Houdini,Robert Houdart,2010,2018,Commercial (Chessbase  Convekta),Microsoft Windows
Junior,Amir Ban  Shay Bushinsky,1997,2014,Commercial (Chessbase  Hiarcs.com),Microsoft Windows
Komodo,Don Dailey  Larry Kaufman  Mark Lefler,2010,2018,Commercial (Chessbase  Komodochess.com),Microsoft Windows  Linux  Macintosh Operating System  Android
''Playchess,Chessbase,2003,2018,Commercial (Chessbase),Microsoft Windows  web
''Play Magnus,Tord Romstad,2014,2018,Free to try with in-app purchases,Android  iOS
Pure Chess,VooFoo Studios,2012,n/a,Commercial (Ripstone),Microsoft Windows  Android  iOS  PlayStation 3  PlayStation Vita
pyChess,PyChess Project,2006,2018,GPL,Unix-like Microsoft Windows
Rybka,Vasik Rajlich,2010,[empty],Commercial (Chessbase  rybkachess.com),Microsoft Windows
Shredder,Stefan Meyer-Kahlen,1993,2010,Commercial (Chessbase Shredderchess.com),Microsoft Windows  Mac OS X  Linux  iPhone  iPad  Android
Wii Chess,Fritz Reul,2008,n/a,Commercial,Nintendo Wii
Winboard/xBoard,Tim Mann  Harm Geert Muller,[empty],2013,Free GPL,Unix-like  X11  Microsoft Windows
[added],[added],[added],[added],[added],[added]
[empty],included chess engine(s),Can open/save PGN,Can import UCI<ref>Universal Chess Interface</ref> engines,Levels,3D or Animated pieces,Variants,Multiplayer
Aquarium,Crafty  Delfi  Rybka  Spike,[empty],[empty],multivariation<ref>The GUI will take a second or third best move from the engine.</ref>  uci_elo<ref>Universal Chess Interface</ref>,[empty],Chess960,[empty]
Battle Chess,n/a,[empty],[empty],[empty],[empty],[empty],[empty]
Battle Chess: Game of Kings,n/a,[empty],[empty],[empty],[empty],[empty],[empty]
Battle vs. Chess,Fritz,[empty],[empty],levels 1-9,[empty],[empty],[empty]
Chessaria: The Tactical Adventure,Chessaria AICE,[empty],[empty],[empty],[empty],[empty],[empty]
''Chess Assistant,Dragon  Rybka,[empty],[empty],multivariation  uci_elo<ref>Universal Chess Interface</ref>,[empty],Chess960,[empty]
Chessbase,Fritz,[empty],[empty],uci_elo<ref>Universal Chess Interface</ref> for analysis but no timed games,[empty],Chess960,[empty]
Chessmaster,The King,[empty],[empty],Personalities with Elo ratings,[empty],[empty],no longer supported
Chess Titans,n/a,[empty],[empty],[empty],[empty],[empty],[empty]
ChessV,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Fritz,Rybka  earlier Pandix or Fritz,[empty],[empty],Friend Mode<ref>The GUI will adjust the level of play during each game based on how well you are playing.</ref>  Handicap and Fun<ref>You can select the Elo rating and style that the engine will play.</ref>  uci_elo<ref>Universal Chess Interface</ref>,[empty],Chess960,[empty]
Fritz and Chesster,Koenig Schwarz,[empty],[empty],[empty],[empty],[empty],[added]
GNOME Chess,[empty],[empty],[empty],[empty],[empty],[empty],[added]
GNU Chess,GNU chess,[empty],[empty],[empty],[empty],Knightmate  Capablanca  Gothic  Shatranj  Courier  Cylinder  Berolina,[empty]
Hiarcs Chess Explorer,Hiarcs,[empty],[empty],uci_elo<ref>Universal Chess Interface</ref>,[empty],[empty],[empty]
Chessbase Houdini,Houdini,[empty],[empty],Friend Mode<ref>The GUI will adjust the level of play during each game based on how well you are playing.</ref>  Handicap and Fun<ref>You can select the Elo rating and style that the engine will play.</ref>  uci_elo<ref>Universal Chess Interface</ref>,[empty],Chess960,[empty]
Chessbase Junior,Junior,[empty],[empty],Friend Mode  Handicap and Fun  uci_elo<ref>Universal Chess Interface</ref>,[empty],Chess960,[empty]
Chessbase Komodo,Komodo,[empty],[empty],Friend Mode<ref>The GUI will adjust the level of play during each game based on how well you are playing.</ref>  Handicap and Fun<ref>You can select the Elo rating and style that the engine will play.</ref>  uci_elo<ref>Universal Chess Interface</ref>,[empty],Chess960,[empty]
Playchess,none,[empty],[empty],Other players have Elo rating,[empty],Chess960,[empty]
Play Magnus,Glaurung,[empty],[empty],can choose Magnus' age,[empty],[empty],[empty]
Pure Chess,n/a,[empty],[empty],[empty],[empty],[empty],[empty]
pyChess,Pychess engine  Stockfish,[empty],[empty],[empty],[empty],[empty],[empty]
Chessbase Rybka,Rybka,[empty],[empty],Friend Mode  Handicap and Fun  uci_elo<ref>Universal Chess Interface</ref>,[empty],Chess960,[empty]
Shredder UCI GUI,Shredder,[empty],[empty],uci_elo<ref>Universal Chess Interface</ref>,[empty],Chess960,[empty]
Wii Chess,Loop Express,[empty],[empty],[empty],[empty],[empty],[empty]
Winboard/xBoard,Crafty,[empty],via UCI2WB,[empty],[empty],Knightmate  Capablanca  Gothic  Shatranj  Courier  Cylinder  Berolina,[empty]
