Product,Creator,Platform,First public release,Latest stable version,Software license
XomegaNet for Visual Studio[1],XomegaNet,Windows,2010,774 / 20180808,Proprietary
Acceleo,Obeo,crossplatform (Java / Eclipse),2006,377 / 20181204,Eclipse Public
Accelerator,Surround Technologies,Windows  Web  Mobile (C# / NET),2007,62,Proprietary
actifsource,actifsource GmbH,crossplatform (Java / Eclipse),[empty],463 / 20110809,Proprietary
Apeel PHP Code Generator Pro,City Business Logic,Windows,2001,1103b / 20110904,Proprietary
AtomWeaver,Isomeris,Windows,2010,131 / 20120220,Proprietary
Catapult[2],Polyrific[3],Windows  Web  Mobile (C# / NET),2013,40,Proprietary
Celerio,Jaxio[4],crossplatform (Java),2015,402 / 20151116,Apache License 20
Click2Code,onlinewebtech,windows,2013,10 / 20130920,Proprietary
Code4GreenA Free Code Generation tool,Code4Green[5],SharePoint  C#  VBNet  Java  ASPNet  HTML  SQL Database,2009,50,Proprietary
Codeg flexible pattern based code generator,Abstractmeta,Java,[empty],030 / 20120520,Apache License 20
CodeBhagat,CodeBhagat LLC,Windows (C# / NET),2014,10 / 2014,Proprietary
CodeCharge Studio,Yes Software,PHP  ASP  ASPNET  Java,2014,051 / 20140702,Proprietary
CodeFluent Entities,SoftFluent,Windows,2005,840  2016,Proprietary
CodeGenerator360,[empty],Windows (Online Tool),2011,[empty],Proprietary
Code generation plugin for Astah UML Community,JosÃ© Carreno,crossplatform,2014,130_GA / 20140508,Free
Code On Time,Code On Time LLC,Windows (c# / NET),[empty],[empty],Proprietary and Subscription
Code/Simple,CodeSimple  LLC,Online Tool (Stored Procedure Generator for SQL Server Instances),2018,[empty],Proprietary and Subscription
CodeSmith Generator,CodeSmith Tools,Windows,2004,710 / 20150810,Proprietary
CodeStencil,Zera Systems,Windows,2018,10,Proprietary
Cog,Ned Batchelder,crossplatform (Python),[empty],21,MIT
C Middleware Writer[6],Ebenezer Enterprises,crossplatform,2002,114,Free
DMS Software Reengineering Toolkit,Semantic Designs,Windows,2001,20,Proprietary
DRAKON,Stepan Mitkin,crossplatform (Tcl/Tk),2011,127 / 20160310,Free
EntiPro,EntiCraft,Windows,[empty],[empty],Proprietary
EazyCode,Datacraft,Windows,2004,71 / 20140908,Proprietary
Flowchart to Code,Athek,Windows,2013,10 / 20130110,Proprietary
GenerateXY,DotXY,Windows,[empty],51,Proprietary
generjee[7],Alexander Derksen,crossplatform (Java),2015,11,Proprietary
GeneXus,GeneXus,Cross Platform (multiple),19912018,v16,Proprietary
Genshi (templating language),Edgewall Software,crossplatform (Python),20060803,051 / 20080709,[empty]
GSL Universal Code Generator,iMatrix,crossplatform,[empty],Jan 30  2015,GPLv3
Iron Speed Designer,Iron Speed  Inc,Windows,2001,920 / 20131218,Proprietary
J To Go[8],Alexander Derksen,crossplatform (Java),2017,001,Apache License 20
JCodeBox,[empty],crossplatform (Java),[empty],[empty],Proprietary
Jigy Generator,GetJigy,Eclipse & NetBeans,2014,101 / 20141017,Proprietary
Jinja (Template engine),Pocoo team,crossplatform (Python),[empty],211,BSD
JPA Modeler,Gaurav Gupta,crossplatform (Java),2014,17 / 20160607,Apache License 20
Kid (templating language),Ryan Tomayko,crossplatform (Python),[empty],096 / 20061220,[empty]
kiss! C#  VBNET and SQL Script Generator,Cove Bay Software Limited,Windows,2013,4000 / 20150505,Proprietary
Mako,Michael Bayer,crossplatform (Python),[empty],023 / 20080512,MIT
MATLAB,The MathWorks  Inc,Windows  macOS  Linux,1984,95 / 20180912,Proprietary
MPower,mrc,crossplatform (Java),2004,[empty],Proprietary
Microsoft Visual Studio LightSwitch,Microsoft,Windows,2011,20110726,Proprietary
MinuteProject (Velocity  DB  WSDL),Florian Adler,crossplatform (Java),2004,083 / 20130605,Apache License 20  GPL
MOLGENIS,Morris Swertz[9],crossplatform (Java),2004,33,LGPLv3
NoORM,Ulf Pietruschka,crossplatform (Java),2013,100 / 20131119,Apache License 20
OpenMDX,[empty],crossplatform (Java),20040128,24 / 20090326,BSD
OutSystems Platform,OutSystems,crossplatform (NET  Java),2001,100 / 20161004[10],Proprietary
Application Builder,projeczcom,PHP,2014,10 / 20140320,Proprietary
PHPRunner,Xlinesoft,Windows,2003,53 / 20101015,Proprietary
Radarc Online,Icinetic,Android  iOS  Windows (C#/XAML  Java  Objective C),2012,120 / 20141104,Proprietary
Reegenerator,Kodeo Limited,Windows (C#  VBNET),2010,205 / 20140126,Proprietary
ribosome,Martin Sustrik,crossplatform (Ruby  JavaScript or Python),2014,115 / 20150708,MIT
Scriptcase,Scriptcase,Web  Online,2000,94 / 20190801,Proprietary
T4,Microsoft,Windows,2005,2010,Proprietary
Telosys [11],OW2,crossplatform (Java  CLI and Eclipse Plugin),2011,300 / 20180410,LGPLv3
Umple,University of Ottawa,crossplatform (Java / Eclipse),2010,1230 / 20151221,MIT
Velocity apache,Apache Software Foundation,crossplatform (Java),[empty],162 / 20090319,Apache License 20
WaveMaker,WaveMaker Inc,cross platform (aPaaS),2003,1003,Proprietary
X2X,TripleS GmbH,Windows,2005,X2X2015,Proprietary
XACT X4MR,Applied Conversion Technologies Inc,Virtual DOS,1994,3 / 19970801,Proprietary
Yiigii,Yii community,Yii (PHP),2013121,2015 / 20180320,New BSD License
ZumCoder MDD/MDA/ Template Based,Agen Consultoria €“ Adilson de ALmeida Pedro,Web €“ Online,[empty],10,Proprietary
