Shell,Usual environment,Usually invoked,Introduced,Platformindependent,Default login shell in,Default script shell in,License,Source code availability,User interface,Mouse support,Unicode support,ISO 8601 support,Console redirection,Stream redirection,Configurability,Startup/shutdown scripts,Batch scripts,Logging,available as statically linked  independent single file executable
Thompson shell,UNIX,sh,1971,N/A,UNIX,UNIX,N/A,yes,Textbased CLI,no,no,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A
Bourne shell 1977 version,7th Ed UNIX,sh,1977,yes|Yes[1],7th Ed UNIX,7th Ed UNIX ,proprietary|Proprietary[2],yes,Textbased CLI,no,no,N/A,yes,yes|Yes (arbitrary fds),yes|Yes (via variables and options),yes|Yes (profile),yes|Yes (Unix feature),no,yes
Bourne shell current version,Various UNIX,sh,1977,yes|Yes[3],SunOS5x  FreeBSD (nonroot user)[4],SunOS5x,free|CDDL[5]better source|date=April 2015,yes,Textbased CLI,no,yes[6]better source|date=April 2015,N/A,yes,yes|Yes (arbitrary fds),yes|Yes (via variables and options),yes|Yes (profile),yes|Yes (Unix feature),yes[7],yes
POSIX shell[8],POSIX,sh,1992[9],N/A,N/A,POSIX,N/A,N/A,Textbased CLI,no,yes|Yes  if used by configured locale,N/A,yes,yes|Yes (arbitrary fds),yes|Yes (via variables and options),Unspecified (profile given as an example),yes|Yes (Unix feature),yes,N/A
bash (v4),POSIX,bash  sh,1989[10],yes,GNU  Linux (default for root)  macOS 103€“1014,GNU  Linux  Haiku  macOS 103€“1014,free|GPL,yes,Textbased CLI,no,yes[11]better source|reason=Unicode escape is just a small part of Unicode support There's also editing and string handling This works in bash 4333  but needs a source|date=May 2015,yes|Yes (printf builtin),yes,yes|Yes (arbitrary fds),yes|Yes (via variables and options),yes|Yes (/etc/profile  bash_profile  bash_login  profile  bashrc),yes|Yes (Unix feature),yes,yes
csh,POSIX,csh,1978,yes,SunOS,dunno,free|BSD,yes,Textbased CLI,no,no,dunno,yes,yes|Yes (stdin  stdout  stdoutstderr),yes|Yes (via variables and options),yes|Yes (~/cshrc  ~/login  ~/logout),yes|Yes (Unix feature),yes,yes
tcsh,POSIX,tcsh  csh,1983[12],yes,FreeBSD (default for root)  formerly Mac OS X,dunno,free|BSD,yes,Textbased CLI,no,yes,dunno,yes,yes|Yes (stdin  stdout  stdoutstderr),yes|Yes (via variables and options),yes|Yes (/etc/cshcshrc  /etc/cshlogin  ~/tcshrc  ~/cshrc  ~/history  ~/login  ~/cshdirs),yes|Yes (Unix feature),yes,yes
Hamilton C shell,Win32  OS/2,csh,1988[13],yes (OS/2 version no longer maintained),optional,optional,proprietary,no,Textbased CLI,no,no,yes|Yes (t timestamp operator),yes,yes|Yes (stdin  stdout  stdoutstderr),yes|Yes (via variables and options),yes|Yes (via logincsh  startupcsh and logoutcsh),yes|Yes (command line option),yes,yes
Scsh,POSIX,scsh,1994,yes,dunno,dunno,free|BSDstyle,yes,dunno,dunno,dunno,dunno,dunno,yes,dunno,dunno,dunno,dunno,yes
ksh (ksh93t),POSIX,ksh,1983[14][15],yes,AIX  HPUX,OpenSolaris,free|Common Public License,yes,Textbased CLI,no,yes,yes|Yes (printf builtin with %(%F)T[16]),yes,yes|Yes (arbitrary fds),yes|Yes (via variables and options),yes|Yes (system and user's profile and kshrc),yes|Yes (Unix feature),yes,yes
pdksh,POSIX,ksh  sh,1989?,yes,OpenBSD[17],OpenBSD[17],free|Public Domain,yes,Textbased CLI,no,no,N/A,yes,yes|Yes (arbitrary fds),yes|Yes (via variables and options),yes|Yes (/etc/profile  profile),yes|Yes (Unix feature),yes,yes
zsh,POSIX,zsh,1990,yes,Deepin  GoboLinux  Grml  macOS 1015,Grml  macOS 1015,free|MITstyle,yes,Textbased CLI,yes|via additional code[18],yes,yes|Yes (various internal features involving the date  by using the %F strftime format[19] and the i option for the fc builtin[20]),yes,yes|Yes (arbitrary fds),yes|Yes (via variables  options  functions  styles  etc),yes|Yes (system and user's zshenv  zprofile  zshrc  zlogin  zlogout),yes|Yes (Unix feature),yes,yes
ash,POSIX,sh,1989,yes,Minix  BusyBox based systems,NetBSD  Minix  BusyBox based systems,free|BSDstyle,yes,Textbased CLI,no,partial (for BusyBox  supported in commandline editing  but not in string handling[21]),N/A,yes,yes|Yes (arbitrary fds),yes|Yes (via variables and options),yes|Yes (/etc/profile  profile),yes|Yes (Unix feature),yes,yes
