Name,Platform,License,Builders Windows,Builders Java,Builders other,Notification,Integration  IDEs,Integration  other
Apache Gump,Python,free|Apache 20,unknown,yes|Ant  Maven 1,unknown,Email,unknown,unknown
AppVeyor,Hosted  SelfHosted,proprietary,yes|Visual Studio  MSBuild  Psake,no,yes|Custom Script  PowerShell,Email  HipChat  Slack  Catlight,no,yes|GitHub  Bitbucket  Kiln  Windows Azure
Bamboo,Web container,proprietary,yes|MSBuild [2] NAnt [3] Visual Studio[4],yes|Ant [5] Maven 123[6],yes|Custom script  commandline tool  Bash  Xcode [7] Phing [8] Grunt  Grails[9],XMPP  Google Talk  Email  RSS  Remote API  HipChat,yes|IntelliJ IDEA  Eclipse  Visual Studio,yes|FishEye  Jira  Clover  Bitbucket  GitHub
Buddy,Crossplatform,proprietary,no,yes|Ant  Maven  Gradle,yes|Elixir  Go  Haskell  Nodejs  PHP  Python  Ruby  NET Core,Desktop  Email  Slack  SMS,no,yes|Amazon Web Services  Bitbucket  GitHub  GitLab  Google Cloud Services  Heroku  Modulus
Buildbot,Python,free|GPL,yes|Commandline,yes|Commandline,yes|Commandline,Email  Web  GUI  IRC,unknown,unknown
BuildMaster,Crossplatform,proprietary,yes,yes,yes|Crossplatform commandline,Email  custom,no,yes|Many
CruiseControl,Crossplatform,free|BSDstyle,yes|NAnt  Rake  Xcode,yes|Phing  Apache Ant  Maven,yes|catchall 'exec',Email  CCTray,yes|Eclipse,unknown
CruiseControlNET,Crossplatform,free|BSDstyle,yes|MSBuild  NAnt  Visual Studio,unknown,yes|Commandline,Email  CCTray  RSS,unknown,unknown
GitLab,CrossPlatform  SelfHosted,Proprietary  MIT,yes|Yes[10],yes|Maven[11]  Gradle[12],yes|SSH  Shell  VirtualBox  Parallels Docker  Kubernetes)[13],Email  Web  Slack and others[14],yes|WebIDE[15],yes|Many
GoCD,Crossplatform,free|Apache 20,yes|Commandline,yes|Commandline,yes|Commandline,Email  hipchat  Slack  Gerrit  Gitter  Riemann etc,no,yes|GitHub
Jenkins,Web container,free|Creative Commons and MIT,yes|MSBuild  NAnt  Batch Script,yes|Ant  Maven 2  Kundo,yes|CMake  Gant  Gradle  Grails  Phing  Rake  Ruby  SCons  Python  shell script  commandline,Android  Email  Google Calendar  IRC  XMPP  RSS  Twitter  Slack  Catlight  CCMenu  CCTray,yes|Eclipse  IntelliJ IDEA  NetBeans,yes|Bugzilla  Google Code  Jira  Bitbucket  Redmine  FindBugs  Checkstyle  PMD and Mantis  Trac  HP ALM
OpenMake Software Meister,Crossplatform,proprietary,yes|MSBuild  NAnt  Visual Studio,yes|Ant  Maven 123,yes|Shell script  batch script  crossplatform commandline  Groovy  Make  RTC Jazz  TFS Build  Custom Script Interpreter,Email  XMPP  RSS  Systray,yes|Eclipse  Visual Studio,yes|Bugzilla  Google Code  Jira  Bitbucket  Redmine  FindBugs  Checkstyle  PMD and Mantis  Trac
Semaphore (software),Hosted,proprietary,no,yes|Maven  Gradle,yes|Ruby  Java  Python  Nodejs  PHP  Clojure  C/C  Elixir  Erlang  Go  Rake  commandline,Email  Campfire  HipChat  Slack  Flowdock  Webhooks  Remote API,unknown,yes|GitHub  Bitbucket  Heroku  AWS  Code Climate  Cloud 66
Travis CI,Hosted,free|MIT,no,yes|Ant  Maven  Gradle[16],yes|C  C  Clojure  Elixir  Erlang  Go  Groovy  Haskell  Java  Nodejs  Perl  PHP  Python  Ruby  Rust  Scala  Smalltalk,Email  Campfire  HipChat  IRC  Slack  Catlight  CCMenu  CCTray,no,yes|GitHub  Heroku
TeamCity,Web container,proprietary,yes|MSBuild  NAnt  Visual Studio  ReSharperbased NET code analysis,yes|Ant  Maven 23  Gradle  IntelliJ IDEAbased build and code analysis,yes|commandline  PowerShell [17] Xcode [18] Rake  FxCop,Email  XMPP  RSS  IDE  SysTray  Catlight,yes|Eclipse  Visual Studio  IntelliJ IDEA  RubyMine  PyCharm  PhpStorm  WebStorm,yes|JetBrains YouTrack  Jira  Bugzilla  FishEye  FindBugs  PMD  dotCover  NCover
Team Foundation Server  Visual Studio Team Services (VSTS),Crossplatform,Proprietary  MIT,yes|MSBuild  Visual Studio,yes|Ant  Maven  Gradle  Android,yes|C  C  Go  Groovy  Java  Nodejs  Perl  PHP  Python  Ruby,Email  SOAP  Catlight,yes|Visual Studio  Eclipse  IntelliJ IDEA  Android Studio  Visual Studio Code ,yes|GitHub  Jenkins  Slack  Hipchat  FindBugs  Checkstyle  PMD 
Vexor,Hosted,proprietary,no,unknown,yes|Ruby  Clojure  Scala  Python  Nodejs  Go  Rust  Haskell,Email  HipChat  Slack,unknown,yes|GitHub  Bitbucket  Gitlab
