Brand,Model name,Sensor size,Effective megapixels,Lens mount,Htitle|(% of the frame)|Viewfinder coverage,Metering zones,Focus points,Lowest ISO,Highest ISO,Htitle|(sensor) overall score|DxO score,Htitle|Noise levels what is the highest ISO level that still gives a specific print quality?|DxO ISO[1],Htitle|(fps)|Cont shtg,Htitle|(inch)|LCD size,Live view,Movie mode,Htitle|storage|Memory card,Video,Htitle|(W x H x D)|Dimensions (mm),Weight (g)[2],Announced (date),Reference
Panasonic,GH1,Four Thirds,121,MFT,100,144,23,100,3200,64,772,3,3,yes,yes,SD,1080p25,124x90x45,385 (without battery),Mar 2009,[1]
Canon,5D Mark IV,Full frame,301,EF,100,252,61,50,102400,91,2995,7,32,yes,yes,CFSD,[empty],1507×1164×759,890,dts|Aug 2016,[1]
Canon,1D X Mark II,Full frame,202,EF,100,216,61,50,409600,88,3207,14,32,yes,yes,CFCFast,[empty],158x168x83,1530,dts|Feb 2016,[1] [2]
Canon,1D X,Full frame,181,EF,100,252,61,50,204800,82,2786,14,32,yes,yes,CF (2x),[empty],158x164x83,1530,dts|Oct 2011,[3] [4]
Canon,1Ds Mark III,Full frame,211,EF,100,63,45,50,3200,80,1663,5,3,yes,no,CFSD,[empty],150x160x80,1205,dts|Aug 2007,[5][6]
Canon,1D Mark IV,APSH,161,EF,100,63,45,50,102400,74,1320,10,3,yes,yes,CFSD,[empty],156x157x80,1180,dts|Oct 2009,[7][8]
Canon,5D Mark III,Full frame,223,EF,100,63,61,50,102400,81,2293,6,32,yes,yes,CFSD,[empty],152x117x77,950 (860 without battery),dts|Mar 2012,[9][10]
Canon,5D Mark II,Full frame,211,EF,98,35,9,50,25600,79,1815,39,3,yes,yes,CF,[empty],152x114x75,810,dts|Sep 2008,[11][12]
Canon,6D,Full frame,202,EF,97,63,11,50,102400,82,2340,45,3,yes,yes,SD,[empty],145x111x71,755 (680 without battery),dts|Sep 2012,[13]
Canon,7D Mark II,APSC,202,EF  EFS,100,252,65,100,51200,70,1082,10,3,yes,yes,CFSD,[empty],149x112x78,910 (820 without battery),dts|Sep 2014,[14][15]
Canon,7D,APSC,180,EF  EFS,100,63,19,100,12800,66,854,8,3,yes,yes,CF,[empty],148x111x74,820,dts|Sep 2009,[16][17]
Canon,80D,APSC,242,EF  EFS,100,63,45,100,25600,79,1135,70,3,yes,yes,SD,[empty],139x105x79,730,dts|Feb 2016,[18] [19]
Canon,70D,APSC,202,EF  EFS,98,63,19,100,25600,68,926,70,3,yes,yes,SD,[empty],139x105x79,755,dts|Jul 2013,[20] [21]
Canon,60D,APSC,180,EF  EFS,96,63,9,100,12800,66,813,53,3,yes,yes,SD,[empty],145x106x79,755,dts|Aug 2010,[22]
Canon,50D,APSC,151,EF  EFS,95,35,9,100,12800,63,696,63,3,yes,yes,CF,[empty],146x108x74,822,dts|Oct 2008,[23][24]
Canon,40D,APSC,101,EF  EFS,95,35,9,100,3200,64,703,65,3,yes,no,CF,[empty],146x108x74,740,dts|Aug 2007,[25]
Canon,30D,APSC,82,EF  EFS,95,35,9,100,3200,59,736,5,25,no,no,CF,[empty],144x106x74,785,dts|Feb 2006,[26] [27] [28]
Canon,20D,APSC,82,EF  EFS,95,35,9,100,3200,62,721,5,18,no,no,CF,[empty],144x106x72,770,dts|Aug 2004,[29] [30]
Canon,10D,APSC,63,EF,95,35,7,100,3200,57,571,3,18,no,no,CF,[empty],150x107x75,790 (without battery),dts|Feb 2003,[31] [32]
Canon,760D,APSC,24,EF  EFS,95,63,19,100,25600,70,915,5,3,yes,yes,SD,[empty],132×101×78,565g,dts|Feb 2015,[empty]
Canon,750D,APSC,24,EF  EFS,95,63,19,100,25600,71,919,5,3,yes,yes,SD,[empty],132×101×78,555g,dts|Feb 2015,[empty]
Canon,700D,APSC,180,EF  EFS,95,63,9,100,25600,61,681,50,3,yes,yes,SD,[empty],134x100x79,580,dts|Mar 2013,[33][34]
Canon,650D,APSC,180,EF  EFS,95,63,9,100,25600,62,722,50,3,yes,yes,SD,[empty],134x100x79,575,dts|Jun 2012,[35][36]
Canon,600D,APSC,180,EF  EFS,95,63,9,100,12800,65,793,37,3,yes,yes,SD,[empty],133x100x80,515 (without battery),dts|Feb 2011,[37][38]
Canon,550D,APSC,180,EF  EFS,95,63,9,100,12800,66,784,37,3,yes,yes,SD,[empty],129x98x75,530,dts|Feb 2010,[39][40]
Canon,500D,APSC,151,EF  EFS,95,35,9,100,12800,63,663,34,3,yes,yes,SD,[empty],129x98x62,480 (without battery),dts|Mar 2009,[41][42]
Canon,450D,APSC,122,EF  EFS,95,35,9,100,1600,61,692,35,3,yes,no,SD,[empty],129x98x62,475 (without battery),dts|Jan 2008,[43] [44]
Canon,400D,APSC,101,EF  EFS,95,35,9,100,1600,62,664,3,25,no,no,CF,[empty],127x95x65,510 (without battery),dts|Aug 2006,[45] [46]
Canon,350D,APSC,80,EF  EFS,95,35,7,100,1600,60,637,28,18,no,no,CF,[empty],127x94x64,540 (485 without battery),dts|Feb 2005,[47] [48]
Canon,300D,APSC,63,EF  EFS,95,35,7,100,1600,55,544,25,18,no,no,CF,[empty],142x99x72,694 (560 without battery),dts|Aug 2003,[49] [50]
Canon,100D,APSC,180,EF  EFS,95,63,9,100,25600,63,843,4,3,yes,yes,SD,[empty],117x91x69,407 (370 without battery),dts|Mar 2013,[51] [52]
Canon,1200D,APSC,180,EF  EFS,95,63,9,100,12800,63,724,30,3,yes,yes,SD,[empty],130x100x78,480 (435 without battery),dts|Feb 2014,[53][54]
Canon,1100D,APSC,122,EF  EFS,95,63,9,100,6400,62,755,3,27,yes,yes,SD,[empty],130x100x78,495,dts|Feb 2011,[55][56]
Canon,1000D,APSC,101,EF  EFS,95,35,7,100,1600,62,719,3,25,yes,no,SD,[empty],126x98x62,502,dts|Jun 2008,[57][58]
Nikon,D5,Full frame,208,Fmount,100,180000,153,50,3280000,88,2434,12,32,yes,yes,SD (2x) or XQD (2x),2160p30,160x159x92,1405(with battery),dts|Feb 2017,[59]
Nikon,D4,Full frame,162,Fmount,100,91000,51,50,204800,89,2965,11,32,yes,yes,CF  XQD,[empty],160x157x91,1180 (without battery),dts|Jan 2012,[60] [61]
Nikon,D3X,Full frame,244,Fmount,100,1005,51,50,6400,88,1992,5,3,yes,no,CF (2x),[empty],160x157x88,1220,dts|Dec 2008,[62][63]
Nikon,D3S,Full frame,121,Fmount,100,1005,51,100,102400,82,3253,9,3,yes,yes,CF (2x),[empty],160x157x88,1246,dts|Oct 2009,[64][65]
Nikon,D850,Full frame,457,Fmount,100,180000,153,64,25600,100,2660,Htitle|(9 with battery grip)|7,32,yes,yes,CF  XQD,2160p30,146x124x79,1005,dts|Oct 2017,[66]
Nikon,D810,Full frame,363,Fmount,100,91000,51,64,51200,[empty],[empty],5,32,yes,yes,CF  SD,1920p60,146x123x82,980,[empty],[67]
Nikon,D800,Full frame,363,Fmount,100,91000,51,50,25600,Htitle|96 (D800E)|95,Htitle|2979 (D800E)|2853,4,32,yes,yes,CF  SD,[empty],145x122x82,900 (without battery),dts|Feb 2012,[68] [69] [70]
Nikon,D750,Full frame,24,Fmount,100,91000,51,100,12800,93,2956,65,32,yes,yes,SD (x2),[empty],141x113x78,840,dts|Sept 2014,[71][72]
Nikon,D700,Full frame,121,Fmount,95,1005,51,100,25600,80,2303,5,3,yes,no,CF,[empty],147x123x77,995,dts|Jul 2008,[73][74]
Nikon,D600,Full frame,243,Fmount,100,2016,39,50,25600,94,2980,55,32,yes,yes,SD (x2),[empty],141x113x82,760 (w/o battery),dts|Sep 2012,[75] [76]
Nikon,D300S,APSC,123,Fmount,100,1005,51,100,6400,70,787,6,3,yes,yes,CFSD,[empty],147x114x74,918,dts|Jul 2009,[77][78]
Nikon,D7000,APSC,162,Fmount,100,2016,39,100,25600,80,1167,6,3,yes,yes,SD (x2),[empty],132x105x77,690 (without battery),dts|Sep 2010,[79]
Nikon,D90,APSC,123,Fmount,96,420,11,100,6400,73,977,45,3,yes,yes,SD,[empty],132x103x77,620 (without battery),dts|Aug 2008,[80][81]
Nikon,D5100,APSC,162,Fmount,95,420,11,100,25600,80,1183,4,3,yes,yes,SD,[empty],127x97x79,560 (without battery),dts|Apr 2011,[82][83]
Nikon,D5000,APSC,123,Fmount,95,420,11,100,6400,72,868,4,27,yes,yes,SD,[empty],127x104x80,560 (without battery),dts|Apr 2009,[84][85]
Nikon,D3200,APSC,242,Fmount,95,420,11,100,12800,81,1131,4,3,yes,yes,SD,[empty],125x96x79,505,dts|Apr 2012,[86] [87]
Nikon,D3100,APSC,142,Fmount,95,420,11,100,12800,67,919,44,32,yes,yes,SD,[empty],124x96x745,505,dts|Aug 2010,[88][89]
Nikon,D3000,APSC,102,Fmount,95,420,11,100,3200,62,563,3,3,no,no,SD,[empty],126x97x64,536,dts|Jul 2009,[90] [91]
Olympus,E5,Four Thirds,123,MFT,100,49,11,100,6400,56,519,5,30,yes,yes,CF  SD,[empty],142x116x75,813 (without battery),dts|Sep 2010,https//webarchiveorg/web/20120316002002/http//wwwolympusamericacom/cpg_section/productasp?product=1525&page=specs
Olympus,E3,Four Thirds,101,MFT,100,49,11,100,3200,56,571,5,25,yes,no,CF  xD,[empty],142x116x75,800 (without battery),dts|Oct 2007,[92]http//wwwolympusamericacom/cpg_section/productasp?product=1323&page=specs
Olympus,E30,Four Thirds,123,MFT,98,49,11,100,3200,55,530,5,27,yes,no,CF  xD,[empty],142x116x75,730,dts|Feb 2009,[93]http//wwwolympusamericacom/cpg_section/productasp?product=1430&page=specs
