Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,Android,Network storage,External hardware
ACID Pro,Magix,proprietary,Yes,No,No,No,[empty],[empty],[empty]
Ardour,The Ardour Community,free|GNU GPL,Yes,Yes,Yes,No,[empty],NFS,[empty]
AudioDesk,Mark of the Unicorn,proprietary,No,Yes,No,No,[empty],[empty],[empty]
Audition,Adobe Systems,proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Bitwig Studio,Bitwig,proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Cakewalk by BandLab[1],BandLab Technologies,proprietary (Freeware),Yes,No,No,No,[empty],[empty],[empty]
Cubase,Steinberg,proprietary,Yes,Yes,No,Yes,[empty],[empty],Requires hardware dongle
Digital Performer,Mark of the Unicorn,proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
FL Studio,ImageLine,proprietary,Yes,Yes,No,Yes,Yes,[empty],[empty]
GarageBand,Apple,proprietary,No,Yes,No,Yes,[empty],[empty],[empty]
Harrison Mixbus,Harrison Consoles,proprietary,Yes,Yes,Yes,No,[empty],NFS,[empty]
Kristal,Kreatives,proprietary (Freeware),Yes,No,No,No,[empty],[empty],[empty]
Live,Ableton,proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
LMMS,Tobias Doerffel,free|GNU GPL,Yes,Yes,Yes,No,[empty],NFS,[empty]
Logic Pro,Apple,proprietary,Partial|Discontinued (last version 551),Yes,No,No,[empty],[empty],[empty]
Mixcraft,Acoustica,proprietary,Yes,No,No,No,[empty],[empty],[empty]
mp3DirectCut,Martin Pesch,proprietary Freeware,Yes,No,No,No,[empty],[empty],[empty]
MuLab,MuTools,proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
MultitrackStudio,Bremmers Audio Design,proprietary,Yes,Yes,No,Yes,[empty],[empty],[empty]
MusE,MuseE,free|GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
nTrack,Fasoft,proprietary,Yes,Yes,No,Yes,Yes,[empty],[empty]
Nuendo,Steinberg,proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Podium,Zynewave,proprietary / Freemium,Yes,No,No,No,[empty],[empty],[empty]
Pro Tools,Avid,proprietary,Yes,Yes,No,No,[empty],MediaNet (proprietary),Yes
Qtractor,Qtractor,free|GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
REAPER,Cockos,proprietary,Yes,Yes,Yes (prebeta),Yes,[empty],[empty],[empty]
Reason,Propellerhead Software,proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Record,Propellerhead Software,proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Renoise,Renoise Team,proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Rosegarden,Rosegarden,free|GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
Samplitude/Sequoia,Magix,proprietary,Yes,No,No,No,[empty],[empty],[empty]
Soundscape 32,Mackie,proprietary,Yes,No,No,No,[empty],[empty],External 2U rack unit
Studio One,PreSonus,proprietary,Yes,Yes,No,No,[empty],SoundCloud,[empty]
Tracktion,Tracktion Software Inc,proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,! Network storage,External hardware,[added]
