Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
Acoustica,Acon Digital,proprietary,Yes,Yes,No,No,No,No,Unk,Unk
Audacity,Audacity Team,free|GNU GPL,Yes,Yes,Yes,Yes,Yes,No,NFS,[empty]
Audiotool,Hobnox,proprietary,Yes,Yes,Partial|Not officially supported,Yes,No,Yes,NFS,Optional MIDI support
BIAS Peak,BIAS,proprietary,No,Yes,No,No,No,No,[empty],[empty]
Diamond Cut ART,Diamond Cut Productions,proprietary,Yes,No,No,No,No,No,Unk,Unk
Ecasound,Kai Vehmanen,free|GNU GPL,No,Yes,No,Yes,Yes,No,Unk,Unk
Goldwave,Goldwave Inc,proprietary Shareware,Yes,No,No,No,No,No,[empty],[empty]
Jokosher,Jokosher,free|GNU GPL,Yes,No,No,Yes,No,No,NFS,[empty]
NUTech,Leaff Engineering,proprietary,Yes,No,No,No,No,No,[empty],[empty]
RiffWorks,Sonoma Wire Works,proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Sound Forge,Magix,proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Soundbooth,Adobe Systems,proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
SoX,Chris Bagwell  et al,free|GNU GPL,Yes,Yes,No,Yes,Yes,No,[empty],[empty]
SpectraLayers,Sony,proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Sweep,Conrad Parker,free|GNU GPL,No,No,No,Yes,Yes,No,[empty],[empty]
Total Recorder,HighCriteria,proprietary Shareware,Yes,No,No,No,No,No,[empty],[empty]
Traverso DAW,Traverso,free|GNU GPL,Yes,Yes,No,Yes,No,No,NFS,[empty]
WaveLab,Steinberg,proprietary,Yes,Yes,No,No,No,No,[empty],External gear  MIDI
WavePad,NCH Software,proprietary / Freemium,Yes,Yes,Yes,No,No,No,[empty],[empty]
WaveSurfer,Centre for Speech Technology at KTH,free|BSDlike,Yes,Yes,No,Yes,Yes,No,[empty],[empty]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
