Software,Creates?,Modifies?,Mounts?,Writes/<wbr/>Burns?,Extracts?,Input,Output,OS,License
7-Zip,[empty],[empty],[empty],[empty],[empty],CramFS  DMG  FAT  HFS  MBR  NTFS  ISO  SquashFS  UDF  VHD  WIM<ref>http://www.7-zip.org/</ref>,WIM,Windows  Linux  Classic Mac OS,[added]
AcetoneISO,[empty],[empty],[empty],[empty],[empty],CD  DVD  ISO  BIN  MDF+MDS  IMG  NRG  CUE  TOC  DMG,CD  DVD  ISO  BIN,Linux,[added]
Acronis True Image,[empty],[empty],[empty],[empty],[empty],TIB  VHD,TIB  VHD,Windows,[added]
Alcohol 120%,[empty],[empty],[empty],[empty],[empty],ISO  B5T  B6T  BWT  CCD  CDI  CUE  MDF+MDS  NRG  ISZ,MDF+MDS  ISO,Windows,[added]
Alcohol 52% FE,[empty],[empty],[empty],[empty],[empty],ISO,[empty],Windows,[added]
AnyDVD HD,[empty],[empty],[empty],[empty],[empty],[empty],ISO,Windows,[added]
Archive Manager,[empty],[empty],[empty],[empty],[empty],ISO,[empty],Unix-like,[added]
Ashampoo Burning Studio,[empty],[empty],[empty],[empty],[empty],ISO  BIN+CUE,ISO  BIN+CUE,Windows,[added]
BlindWrite,[empty],[empty],[empty],[empty],[empty],B5T  B6T  BWA  BWI  BWS  BWT  BIN+CUE  ISO  MDF+MDS,B5T  B6T  BWA  BWI  BWS  BWT  BIN+CUE  ISO  MDF+MDS,Windows,[added]
Brasero,[empty],[empty],[empty],[empty],[empty],ISO  CUE,CD  DVD,Linux,[added]
Burnatonce,[empty],[empty],[empty],[empty],[empty],ISO  CUE  TOC,[empty],Windows,[added]
CDBurnerXP,[empty],[empty],[empty],[empty],[empty],ISO  MDF+MDS  NRG  BIN+CUE,ISO  MDF+MDS,Windows,[added]
CDemu,[empty],[empty],[empty],[empty],[empty],CSO  ECM  GBI  GZ  XZ  ISZ  DMG  ISO  UDF  NRG  CDI  CCD  SUB  IMG  BIN+CUE  TOC  B5T+B5I  B6T+B6I  MDF+MDS  MDX  CIF  C2D  DAA,ISO  TOC,Linux,[added]
genisoimage,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Linux <br />Unix,[added]
isoinfo,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Unix <br /> Linux <br />Amiga<br />Windows <br /> macOS,[added]
mkisofs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Unix <br /> Linux <br />Amiga<br />Windows <br /> macOS,[added]
CDRoller,[empty],[empty],[empty],[empty],[empty],ISO,ISO,Windows,[added]
CDRWIN,[empty],[empty],[empty],[empty],[empty],BIN+CUE,BIN+CUE,Windows,[added]
CloneCD,[empty],[empty],[empty],[empty],[empty],[empty],ISO  UFD  IMG,Windows,[added]
CloneDVD,[empty],[empty],[empty],[empty],[empty],ISO,ISO,Windows,[added]
CopyCatX,[empty],[empty],[empty],[empty],[empty],DMG,DMG,macOS,[added]
Daemon Tools,[empty],[empty],[empty],</ref>}},[empty],BIN+CUE  B5T  B6T  BWT  CCD  CDI  ISO  ISZ  MDF+MDS  MDX  NRG  VHD  VMDK and TrueCrypt,ISO  MDF+MDS  MDX – VHD and TrueCrypt in Ultra edition,Windows,[added]
DeepBurner,[empty],[empty],[empty],[empty],[empty],ISO,ISO,Windows,[added]
Disco,[empty],[empty],[empty],[empty],[empty],CDR  ISO  DMG,CDR  ISO  DMG,macOS,[added]
DiscJuggler,[empty],[empty],[empty],[empty],[empty],CDI  ISO,CDI,Windows,[added]
Disk Utility,[empty],[empty],[empty],[empty],[empty],DMG  ISO,DMG  ISO,macOS,[added]
DiskImageMounter,[empty],[empty],[empty],[empty],[empty],DMG  ISO,DMG  ISO,macOS,[added]
DVD Shrink,[empty],[empty],[empty],[empty],[empty],ISO  NRG  IMG  MDF+MDS,ISO,Windows,[added]
Exact Audio Copy,[empty],[empty],[empty],[empty],[empty],CUE,CUE/audio file types,Windows,[added]
Furius ISO Mount,[empty],[empty],[empty],[empty],[empty],ISO  IMG  BIN  MDF+MDS  NRG,[empty],Linux,[added]
Image for Windows,[empty],[empty],[empty],[empty],[empty],TBI  VHD  VMDK,TBI  VHD  VMDK,Windows,[added]
ImgBurn,[empty],[empty],[empty],[empty],[empty],APE+CUE  BIN+CUE  CDI  CDR  DI  FLAC+CUE  GCM  GI  IBQ  IMG  ISO  LST  MDF+MDS  NRG  PDI  UDI  WV,ISO  IMG  BIN+CUE,Windows,[added]
ImgDrive,[empty],[empty],[empty],[empty],[empty],CCD  ISO  ISZ  NRG,ISO,Windows,[added]
InfraRecorder,[empty],[empty],[empty],[empty],[empty],ISO,ISO,Windows,[added]
ISO Master<ref name="ISO Master Homepage" /><ref name="ISO Master Debian" />,[empty],[empty],[empty],[empty],[empty],ISO,ISO,Linux,[added]
ISO Recorder,[empty],[empty],[empty],[empty],[empty],ISO,ISO,Windows,[added]
IsoBuster,[empty],[empty],[empty],[empty],[empty],DAO  TAO  ISO  BIN+CUE  IMG+CCD  CIF  FCD  NRG  GCD  P01  C2D  CDI  CD  GI  PXI  MDF+MDS  VC4/000  B5T+B5I  B6T+B6I  DMG  IBP+IBQ  NCD  FLP  E01/S01/Ex01  RMG  UDF  DSK  VMDK  IBADR+IBDAT  DD  XISO  XBX  IMAGE  VHD  VHDX  DC42  WBFS  ST  512E  1KN  2KN  4KN  8KN  16KN  32KN  64KN<ref name="IsoBuster-image-file-support" /><ref name="IsoBuster-dc42" /><ref name="IsoBuster-*Kn-Support" />,ISO  TAO  BIN  CUE  IBADR+IBDAT  DSK  1KN  2KN  4KN  8KN  16KN  32KN  64KN  IBP and IBQ<ref name="IsoBuster-*Kn-Support" />,Windows,[added]
