Client,Written in,License,Access API,High availability,Shards,Initial release year,Memory requirements (GB)
Alluxio (Virtual Distributed File System),Java,[empty],HDFS  FUSE  HTTP/REST  S3,[empty],[empty],2013,[empty]
Ceph,C++,[empty],librados (C  C++  Python  Ruby)  S3  Swift  FUSE,[empty],[empty],2010,1 per TB of storage
GlusterFS,C,[empty],libglusterfs  FUSE  NFS  SMB  Swift  libgfapi,[empty],[empty],2005,[empty]
MooseFS,C,[empty],POSIX  FUSE,[empty],[empty],2008,[empty]
Quantcast File System,C,[empty],C++ client  FUSE (C++ server: MetaServer and ChunkServer are both in C++),[empty],[empty],2012,[empty]
LizardFS,C++,[empty],POSIX  FUSE  NFS-Ganesha  Ceph FSAL (via libcephfs),[empty],[empty],2013,[empty]
Lustre,C,[empty],POSIX  NFS-Ganesha  NFS  SMB,[empty],[empty],2003,[empty]
OpenAFS,C,[empty],Virtual file system  Installable File System,[empty],[empty],2000 <ref>https://www.openafs.org/release/openafs-1.0.html</ref>,[empty]
OpenIO<ref></ref>,C,[empty],Native (Python  C  Java)  HTTP/REST  S3  Swift  FUSE (POSIX  NFS  SMB  FTP),[empty],[empty],2015,0.5
SeaweedFS,Go  Java,[empty],HTTP (REST)  POSIX  FUSE  S3  HDFS,[empty],[empty],2015,[empty]
Tahoe-LAFS,Python,</ref>}},HTTP (browser or CLI)  SFTP  FTP  FUSE via SSHFS  pyfilesystem,[empty],[empty],2007,[empty]
HDFS,Java,[empty],Java and C client  HTTP,[empty],[empty],2005,[empty]
XtreemFS,Java  C++,[empty],libxtreemfs (Java  C++)  FUSE,[empty],[empty],2009,[empty]
Ori<ref></ref>,C  C++,[empty],libori  FUSE,[empty],[empty],2012,[empty]
Client,Written in,License,Access API
BeeGFS,C / C++,FRAUNHOFER FS (FhGFS) EULA <ref></ref> GPLv2 client,POSIX
ObjectiveFS<ref></ref>,C,[empty],POSIX  FUSE
Spectrum Scale (GPFS),C  C++,[empty],POSIX  NFS  SMB  Swift
MapR-FS,C  C++,[empty],POSIX  NFS  FUSE  S3
PanFS,C  C++,[empty],DirectFlow  POSIX  NFS  SMB/CIFS  HTTP  CLI
Infinit<ref></ref>,C++,(to be open sourced)<ref></ref>,FUSE  Installable File System  NFS/SMB  POSIX  CLI  SDK (libinfinit)
Isilon OneFS,C/C++,[empty],POSIX  NFS  SMB/CIFS  HDFS  HTTP  FTP  SWIFT Object  CLI  Rest API
Scality,C,[empty],FUSE  NFS file system  REST  AWS S3
Quobyte,Java  C++,[empty],POSIX  FUSE  NFS  SMB/CIFS  HDFS  AWS S3  Tensorflow Plugin  CLI  Rest API
