Format:,Sony media
Published as:,.lrf; .lrx
Format:,compressed images
Published as:,.cbr (RAR); .cbz (ZIP); .cb7 (7z); .cbt (TAR); .cba (ACE)
Format:,Microsoft Compiled HTML Help
Published as:,.chm
Format:,DAISY
Published as:,[empty]
Format:,DjVu
Published as:,.djvu
Format:,Microsoft Word
Published as:,.DOC
Format:,Microsoft Word (XML)
Published as:,.DOCX
Format:,Palm Media
Published as:,.pdb
Format:,FictionBook
Published as:,.fb2
Format:,Apabi Reader
Published as:,.xeb; .ceb
Format:,Hypertext
Published as:,.htm; .html and typically auxiliary images  js and css
Format:,iBook
Published as:,.ibooks
Format:,IEC 62448
Published as:,[empty]
Format:,IBM & Open Source
Published as:,.inf
Format:,Kindle
Published as:,.azw; .azw3 or .kf8; .kfx
Format:,Microsoft Reader
Published as:,.lit
Format:,Mobipocket
Published as:,.prc; .mobi
Format:,Eveda
Published as:,.exe or .html
Format:,Newton Digital Book
Published as:,.pkg
Format:,Open eBook
Published as:,.opf
Format:,Portable Document Format
Published as:,.pdf
Format:,text
Published as:,.txt
Format:,Plucker
Published as:,.pdb
Format:,PostScript
Published as:,.ps
Format:,Rich Text Format
Published as:,.rtf
Format:,SSReader
Published as:,.pdg
Format:,TEI Lite
Published as:,.xml
Format:,TomeRaider
Published as:,.tr2; .tr3
Format:,OpenXPS
Published as:,.oxps  .xps
Format,Filename extension,DRM support,Image support,Table support,Sound support,Interactivity support,Word wrap support,Open standard,Embedded annotation support,Book- marking,Video support
Comic Book Archive,.cbr  .cbz  .cb7  .cbt  .cba,?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DjVu,.djvu,?,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DOC,.doc,?,[empty],[empty],[empty],?,[empty],[empty],?,?,[empty]
DOCX,.docx,?,[empty],[empty],[empty],?,[empty],[empty],[empty],?,[empty]
EPUB (IDPF),.epub,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="depreader" group="f">Depends on the eReader application</ref>,<ref name="depreader" group="f">Depends on the eReader application</ref>,<ref group="f">With ePub 3</ref>
FictionBook,.fb2,[empty],[empty],<ref group="f">Table support added in FictionBook V2.1. Not supported in V2.0</ref>,[empty],[empty],[empty],[empty],[empty],?,?
HTML,.html,[empty],[empty],[empty],<ref group="f" name="html5">With HTML 5</ref>,[empty],[empty],[empty],[empty],[empty],<ref group="f" name="html5" />
iBooks,.ibook,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
INF,.inf,[empty],[empty],[empty],[empty],?,[empty],[empty],<ref name="depreader" group="f">Depends on the eReader application</ref>,<ref name="depreader" group="f">Depends on the eReader application</ref>,[empty]
Kindle,.azw,[empty],[empty],<ref group="f">Supported in all except 1st Generation Kindle. (Support level is as it is in mobipocket)</ref><ref></ref>,<ref group="f" name="iOS">Supported only in kindle for iPhone  iPod  iPad.</ref><ref name="amazon.com"></ref>,[empty],[empty],[empty],[empty],[empty],<ref group="f" name="iOS"/><ref name="amazon.com"/>
Microsoft Reader,.lit,[empty],[empty],?,[empty],[empty],[empty],[empty],?,[empty],?
Mobipocket,.prc  .mobi,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?
Multimedia EBook,.exe,[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],?
Newton Book,.pkg,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
eReader,.pdb,[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],[empty],?
Plain text,.txt,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Plucker,.pdb,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],?
Portable Document Format,.pdf,[empty],[empty],[empty],[empty],[empty],<ref group="f">"Reflow" is implemented by some readers.</ref><ref></ref>,[empty],[empty],[empty],<ref group="f">With Flash Embedded</ref>
PostScript,.ps,[empty],[empty],?,[empty],[empty],[empty],[empty],?,?,?
Tome Raider,.tr2  .tr3,[empty],[empty],?,[empty],[empty],[empty],[empty],?,?,?
OpenXPS,.oxps  .xps,?,[empty],[empty],?,[empty],[empty],[empty],?,?,?
