Client,Fork from,FLOSS,Runs on,Kad,Unicode,Languages supp,Development Status
Linux,Windows,Mac OS X,[added],[added],[added],[added],[added]
eDonkey2000,-,[empty],[empty],[empty],[empty],[empty],[empty]
aMule,xMule,[empty],[empty],<ref group="N">Windows support is incomplete and does not include all the features of the Linux version  such as UPnP support. Most of the documentation presumes the user using the Linux version and may be give incorrect information for the Windows version.</ref>,[empty],[empty],[empty]
eMule and its Mods,-,[empty],[empty],[empty],[empty],[empty],[empty]
eMule Plus,eMule,[empty],<ref group="N">Client can work on Linux via Wine (ref.)  yet it is not officially supported.</ref>,[empty],[empty],[empty],<ref group="N">since 1.2d </ref>
MLDonkey,-,[empty],[empty],[empty],[empty],[empty],[empty]
Shareaza,-,[empty],<ref group="N">Shareaza can work on Linux via Wine (ref.)  yet it is not officially supported</ref>,[empty],[empty],[empty],[empty]
xMule,lMule,[empty],[empty],[empty],[empty],[empty],[empty]
Client,Play While Downloading,PowerShare<ref>http://wiki.emule-web.de/index.php/Powershare</ref>,Dynamic Upload,SUQWT<ref>http://wiki.emule-web.de/index.php/Save_Upload_Queue_Waiting_Time</ref>,SubChunk Transfer,Drop Sources,Push small files,ZZ ratio<ref>http://wiki.emule-web.de/index.php/ZZratio</ref>,AntiLeech,IPFilter,Slot Control
aMule,[empty],<ref name=amulerelease></ref>,[empty],[empty],[empty],[empty],[empty],[empty],<ref group="N">There's no AntiLeech for official aMule. Some users released an unofficial aMule with DLP (ref.).</ref>,[empty],[empty]
eMule,Official,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Osp,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
AnalyZZUL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
beba,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Magic Angel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mephisto,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MorphXT,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NeoMule,[empty],[empty],[empty],[empty],[empty],(including IpBlock),[empty],[empty],[empty],[empty],[empty]
ScarAngel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SharkX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Sivka,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Spike2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
StulleMule,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xtreme,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
X-Ray,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZZUL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZZUL BastarD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
eMule Plus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Lphant,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MLDonkey,[empty],[empty],[empty],(No queue),[empty],[empty],[empty],[empty],[empty],[empty],(user selects number of slots)
Shareaza,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
xMule,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Client,Play While Downloading,PowerShare,Dynamic Upload,SUQWT,SubChunk Transfer,Drop Sources,Push Small files,ZZ Ratio,AntiLeech,IPFilter,Slot Control
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Client,IP to Country,Protocol Obfuscation<ref group="N" name=obfuscation>Compatible with the implementation of official eMule.</ref>,Handles files >4GB,Chat<ref group="N" name=chat>It refers to client to client chat.</ref>,Buddy list,Send FILERATING tags to servers,EndGame,AICH,L2HAC <ref group="N" name=L2HAC>LowID to HighID Automatic Callback.</ref>,Secure User ID,Global Searches,UPnP port mapping<ref group="N" name=upnp>Automatically configure port forwarding (requires Router with UPnP support)</ref>,Intelligent Chunk Selection,Lancast,HideOS / SotN
aMule,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref group="N">UPnP does not work on Windows version</ref>,[empty],[empty],[empty]
eMule,Official,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Osp,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
AnalyZZUL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
beba,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Magic Angel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mephisto,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MorphXT,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NeoMule,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ScarAngel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SharkX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Sivka,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Spike2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
StulleMule,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xtreme,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
X-Ray,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZZUL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZZUL BastarD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
eMule Plus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Lphant,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MLDonkey,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Shareaza,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
xMule,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Client,IP to Country,Protocol Obfuscation<ref group="N" name=obfuscation />,Handles files >4GB,Chat<ref group="N" name=chat>It refers to client to client chat.</ref>,Buddy list,Send FILERATING tags to servers,EndGame,AICH,L2HAC <ref group="N" name=L2HAC />,Secure User ID,Global Searches,UPnP port mapping<ref group="N" name=upnp />,Intelligent Chunk Selection,Lancast,HideOS / SotN
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Client,Website,Initial Release,Current Stable Version,Mod Based On
eDonkey2000,None<ref group="N">Before being sued by RIAA and taken down  the official site was: edonkey2000.com.</ref>,[empty],1.4.6 (),-
aMule,http://www.amule.org/,[empty],[empty],-
eMule,Official,http://www.emule-project.net/,[empty],[empty]
Osp,http://sourceforge.net/projects/emuleosp/,[empty],0.23 (),Official 0.50a
AnalyZZUL,http://forum.emule-project.net/index.php?showtopic=136120,[empty],3.0 (),eMule 0.49c ZZUL
beba,http://beba.emulefuture.de/,[empty],2.72 (),Official 0.50a
DreaMule,http://www.dreamule.org/,[empty],v3.2 (),-
Magic Angel,http://sourceforge.net/projects/magicangel/,[empty],4.0 (),eMule 0.50a MorphXT 12.6
Mephisto,http://mephisto.emule-web.de/,[empty],3.0 (),eMule 0.50a ScarAngel 4.0
MorphXT,http://emulemorph.sourceforge.net/,[empty],[empty],Official 0.50a
NeoMule,https://web.archive.org/web/20101203044044/http://www.eselfarm.info/efarm/board.php?boardid=277,[empty],[empty],Official 0.49b
ScarAngel,http://scarangel.sourceforge.net/,[empty],4.2 (),eMule 0.50a Xtreme 8.1
SharkX,http://www.emule-mods.de/?mods=SharkX,[empty],<ref></ref> }},eMule 0.49c AcKroNiC 5.4
Sivka,http://sivka.emule-web.de/,[empty],<ref></ref> }},Official 0.49b
Spike2,http://www.emule-mods.de/?mods=spike,[empty],<ref></ref> }},Official 0.48a
StulleMule,http://stulle.emule-web.de/,[empty],7.0 (),eMule 0.50a MorphXT 12.6
Xtreme,http://www.xtreme-mod.net/,[empty],[empty],Official 0.50a
X-Ray,http://sourceforge.net/projects/x-ray-mule,[empty],1.7 (),Official 0.49c
ZZUL,http://forum.emule-project.net/index.php?showforum=75,[empty],20090222-2320 (),Official 0.49c
ZZUL BastarD,http://forum.emule-project.net/index.php?showtopic=65063,[empty],1.9.10 (),eMule 0.49c ZZUL
eMule Plus,https://web.archive.org/web/20061004200701/http://www.emuleplus.info/,[empty],[empty],Old official eMule + own code
iMule,www.imule.i2p<ref>http://www.imule.i2p inside the I2P network.</ref>,[empty],[empty],aMule
JMule,http://www.jmule.org/,[empty],[empty],-
Jubster,None<ref group="N">The old official site was . It's not accessible now.</ref>,[empty],[empty],-
LMule,http://lmule.sourceforge.net/,[empty],[empty],-
Lphant,None<ref group="N">The old official site was lphant.com. It has been acquired by a Cyprus-based company to publish a fake Lphant. See: Lphant#Domain Name Acquisition</ref>,[empty],[empty],-
MLDonkey,http://mldonkey.sourceforge.net/,[empty],[empty],-
Morpheus,None<ref group="N">The old official site was http://www.morpheus.com/ . It's not accessible now.</ref>,[empty],[empty],-
Shareaza,http://shareaza.sourceforge.net/,[empty],[empty],-
xMule,http://www.xmule.ws/,[empty],[empty],-
Client,Website,Initial Release,Current Stable Version,Mod Based On
[added],[added],[added],[added],[added]
