Word processor,Apple,Atari,CP/M,CPT,Commodore 64,HP,IBM PC,Kaypro,Macintosh,Morrow,IBM PCjr,Rainbow 100,TI Professional,Tandy,ZX Spectrum
Tasword,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Homeword,II  IIc IIe,800,no,no,yes,no,yes,no,no,no,yes,no,no,no,no
MacWrite,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
PfsWrite,II  IIc IIe,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no
AtariWriter,no,800XL  1200,no,no,no,no,no,no,no,no,no,no,no,no,no
OMNIWRITER,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Word Juggler,II IIe III,no,no,no,no,no,no,no,no,no,no,no,no,no,no
PCWrite,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no
Wordvision,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Volkswriter deluxe,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no
Perfect Writer,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no
Plu Perfect,no,no,no,no,no,no,no,2410,no,yes,no,no,no,no,no
Wordstar,II IIe,no,yes,no,no,110150,yes,yes,no,yes,yes,yes,yes,TRS80,no
Newword,IIe,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no
Appleworks,II  IIe,no,no,no,no,no,no,no,no,no,no,no,no,no,no
AppleWriter,II  IIe  III,no,no,no,no,no,no,no,no,no,no,no,no,no,no
III EZ Pieces,III,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Symphony,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Framework,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
XY Write II,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
WordPerfect,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,Tandy 2000,no
Microsoft Word,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,Tandy 2000,no
CPT Word Processors,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no
