Client,First public Date,First public Version,First stable Date,First stable Version,Latest stable release
Alpine,200611,08,2007 December,100,20170317  Latest stable software release/Alpine
Apple Mail,?,?,?,?,?
Becky! Internet Mail,1996,1,dunno,dunno,20170829  Latest stable software release/Becky!
Citadel,1987,dunno,1988,100,20170115  Latest stable software release/Citadel/UX
Claws Mail,200105,0467,200501,100,20170829  Latest stable software release/Claws Mail
Cone,200305,050,200305,050,20160803  Latest stable software release/Cone
Courier,200406,35,discontinued,discontinued,200406  Latest stable software release/Courier
Elm,1986,dunno,198703,2,20050818  Latest stable software release/Elm
eM Client,200711,10,200711,10,20170710  Latest stable software release/eM Client
EmailTray,201010,20,201103,311,20120702  Latest stable software release/EmailTray
Eudora,1988[3],dunno,1988[3],dunno,20061011  Latest stable software release/Eudora
Eureka Email,200211,10,200211,10,20050301  Latest stable software release/Eureka Email
Evolution,20000511,00,20011203,10,20170913  Latest stable software release/GNOME
Forté Agent,dunno,dunno,dunno,dunno,20141020  Latest stable software release/Forté Agent
Geary,date|2012|05|04,01,date|2012|05|04,01,20171002  Latest stable software release/Geary
Gnus,1987[4],dunno,19880201[4],20,20150406  Latest stable software release/Gnus
GroupWise,dunno,dunno,1986,10,20140402  Latest stable software release/GroupWise
Hiri,201402,04,201606,10,20170610  Latest stable software release/Hiri
iScribe / InScribe,1999,100,dunno,dunno,20140804  Latest stable software release/Scribe Mail
IBM Lotus Notes,1989,10,1989,10,20130314  Latest stable software release/Lotus Notes
IMP,dunno,dunno,1998,10,20160906  Latest stable software release/IMP
K9 Mail,dunno,dunno,dunno,dunno,20180902
KMail,199810,Alpha,199902,1017,20141111  Latest stable software release/KDE Software Compilation 4
Mailbird,20130401,Public Beta,dunno,dunno,20181219  Latest stable software release/Mailbird
Mailpile,201111,[5],[6],[7],20170813 Latest stable software release/Mailpile
Microsoft Entourage,dunno,dunno,dunno,dunno,20130312  Latest stable software release/Microsoft Entourage
Microsoft Office Outlook,1997,97,1997,97,20190509  Latest stable software release/Microsoft Office
Mozilla Thunderbird,20030728,01,20041207,10,20190325  Latest stable software release/Mozilla Thunderbird
Mulberry,19960920,10,19960920,10,20070221  Latest stable software release/Mulberry
Mutt,1995,dunno,dunno,dunno,20170902  Latest stable software release/Mutt
Netscape Messenger,dunno,dunno,dunno,dunno,20070817  Latest stable software release/Netscape Mail & Newsgroups
Netscape Messenger 9,20071115,90a1,discontinued,discontinued,20071115
nmh / MH,1979,dunno,dunno,dunno,20120611  Latest stable software release/MH Message Handling System
Opera Mail,199609,21b1,199612,21,20160216  Latest stable software release/Opera Mail
Outlook Express,1996,30,dunno,dunno,20040825  Latest stable software release/Outlook Express
Pegasus Mail,1990,dunno,1990,dunno,20180607  Latest stable software release/Pegasus Mail
Pine,19920115,200,19920115,200,20050928  Latest stable software release/Pine
Pocomail,1999,dunno,dunno,dunno,20090406  Latest stable software release/Pocomail
RoundCube,2006,01rc1,20140407,100,20170428  125
SeaMonkey Mail & Newsgroups,20050915,10a,20060130,10,20170731  Latest stable software release/SeaMonkey
SquirrelMail,199912,01,200101,10,20110712  Latest stable software release/SquirrelMail
Sylpheed,200001,010,200412,100,20170629  Latest stable software release/Sylpheed
The Bat!,199703,10 Beta,199803,100 Build 1310,20180323  Latest stable software release/The Bat!
Trojitá,200908,01,201212,0390,20160615  Latest stable software release/Trojitá
Turnpike,1996 (circa),10,1996 (circa),10,20060523  Latest stable software release/Turnpike
Windows Live Mail,20071106,12,20071106,12,20141104  Latest stable software release/Windows Live Mail
Windows Mail,dunno,dunno,dunno,dunno,20070101 
YAM,1995,10,1995,10,20140418  Latest stable software release/YAM  Yet Another Mailer
Zimbra,200511,Beta,200603,35,20141215  Latest stable software release/Zimbra
