[empty],Creator(s),First public release date,Latest stable version,Cost (USD),Software license
7Zip,Igor Pavlov,Start date and age|1999|01|02,1900 start date and age|2019|02|21,Free,Free|LGPL (RAR plugin is proprietary)
ALZip,ESTsoft,start date and age|1999 (as a WinZip translation),Latest stable software release/ALZip,Free|A free general serial number was published on developer's website altoolscom in August 2012,Proprietary
ALZip for Mac,ESTsoft,start date and age|1999 (as a WinZip translation),Latest stable software release/ALZip for Mac,Free|A free general serial number was published on developer's website altoolscom in August 2012,Proprietary
Archive Manager,Paolo Bacchilega,start date and age|2001|05|12,3321 Start date and age|2019|04|08[1],Free,Free|GPL
Archive Utility,Apple Inc,start date and age|2003|10|24,Latest stable software release/Archive Utility,Free|Included with Mac OS X Core Services,Proprietary
Ark,KDE team,1997,1943 start date and age|2019|7|9,Free,Free|GPL
B1 Free Archiver,Adam Buyer,start date and age|2011|08,1586 start date and age|2013|11|25,Free,Proprietary
BetterZip,BetterZip,start date and age|2006|05,Latest stable software release/BetterZip,Nonfree|$1995 USD,Proprietary
Commander One,Eltima Software,start date and age|2015|08|04,11 start date and age|2015|09|29,Free|Standard Free; $2995 Pro Pack,Proprietary
Compressed Folders,Microsoft Inc,start date and age|1998|06|25,Windows 81 start date and age|2013|08|27,Free|Included in Microsoft Windows Windows Explorer shell since Windows Me|align=|style=|color=,Proprietary
CRAX Commander,Soft4U2,start date and age|2013|09|01,1109 start date and age|2016|03|02,Nonfree|$1999 USD,Proprietary
Disk ARchiver,Denis Corbin,start date and age|2002,2514 start date and age|2017|12|20,Free,Free|GPL
Expander,Haiku  Inc,start date and age|2002,Latest preview software release/Haiku (operating system),Free,Free|MIT
Filzip,Philipp Engel,unk,Latest stable software release/Filzip,Free,Proprietary
FreeArc,Bulat Ziganshin,start date and age|2007|11|1 v036,0666 (start date and age|2010|5|20),Free,Free|GPL
iArchiver,Dare to be Creative Ltd,start date and age|2007|10|21,141 start date and age|2008|10|30,Nonfree|$26,Proprietary
InfoZIP (Wzip),Samuel Smith,start date and age|1989|3,60 start date and age|2009|4|29,Free,Free|BSDlike
KGB Archiver,Tomasz Pawlak,start date and age|2006|04|01,12124 start date and age|2006|11|1,Free,Free|GPL
PeaZip,Giorgio Tani,start date and age|2006|9|16,700 start date and age|2019|12|01,Free,Free|LGPL
PKZIP,Phil Katz,start date and age|1989,124[2] (ca start date and age|2009|9),Nonfree|$2900,Proprietary
PowerArchiver,ConexWare,start date and age|1999|3,170104 start date and age|2017|10|5,Nonfree|$2295,Proprietary
StuffIt,Smith Micro Software,start date and age|1987,1507 start date and age|2011|12|01[3],Nonfree|Free expander; $4999 Deluxe [4] $7999 French Deluxe;[5] Windows $1499 Standard [6] $2999 Deluxe [7] $4999 French (or German) Deluxe[8][9],Proprietary
TAR,AT&T,start date and age|1979,GNU tar Latest stable software release/Tar; star 153; BSD tar 260,Free,Free|Various
The Unarchiver,Circlesoft,start date and age|2006|7|1,3113 start date and age|2017|9|16,Free,Proprietary
Terse,IBM,start date and age|1984|7|1,[empty],Free,proprietary
TUGZip,Christian Kindahl,start date and age|2002|8|18,3500 start date and age|2008|4|2,Free,Proprietary
WinAce,emerge GmbH,unk,269 start date and age|2007|11|23,Nonfree|Free expander (GNU/Linux & Mac only); $2900 Standard; $3900 Plus,Proprietary
WinRAR,Eugene Roshal / Alexander Roshal,start date and age|1993,Latest stable software release/WinRAR,Nonfree|Free expander; $29[10],Proprietary
WinZip,WinZip Computing  Inc,start date and age|1991,Latest stable software release/WinZip,Nonfree|$2995 Standard; $4995 Pro,Proprietary
XAD aka XADMasterlibrary,Dirk Stoecker,start date and age|1998,131,Nonfree|Shareware  Free for non commercial use,Proprietary
Xarchiver,Giuseppe Torelli,unk,054 start date and age|2014|09|14,Free,Free|GPL
ZipGenius,Matteo Riso of MDev Software,start date and age|2003|5,6323112 start date and age|2014|8|8,Free,Proprietary
ZPAQ,Matt Mahoney,start date and age|2009|3,6323112 start date and age|2016|8|17,Free,MIT
