[empty],Windows,DOS,Mac OS X,Linux,BSD,Other Unix,AmigaOS,Android,Windows Mobile,Windows Phone
7Zip,yesRef label|os7zip1|1,partial|Commandline interfaceRef label|os7zip2|2,yesRef label|os7zip2|2,yesRef label|os7zip2|2,partial|Commandline interfaceRef label|os7zip2|2,partial|Commandline interfaceRef label|os7zip2|2,partial|Commandline interface,no,yes,no
ALZip,yes,partial|Commandline interface[11],no,no,no,no,no,no,no,no
ALZip for Mac,no,no,yes,no,no,no,no,no,no,no
Archive Manager,no,no,no,yes,yes,yes,no,no,no,no
Archive Utility,no,no,yes,no,no,no,no,no,no,no
Ark,no,no,no,yes,yes,yes,no,no,no,no
B1 Free Archiver,yes,no,yes,yes,yes,yes,no,yes,no,no
BetterZip,no,no,yes,no,no,no,no,no,no,no
bsdtar/libarchive,yes,no,yes,yes,yes,yes,partial,unk,unk,no
Commander One,no,no,yes,no,no,no,no,no,no,no
CRAX Commander,no,no,yes,no,no,no,no,no,no,no
Disk ARchiver,yes,no,yes,yes,yes,yes,no,no,no,no
Filzip,yes,no,no,no,no,no,no,no,no,no
FreeArc,yes,no,no,yes,yes,yes,no,no,no,no
GNU tar,yes,no,yes,yes,yes,yes,yes,yes,no,no
iArchiver,no,no,yes,no,no,no,no,unk,unk,dunno
InfoZIP,yes,yes,yes,yes,yes,yesRef label|osinfozip2|9,yes,no,yesRef label|osinfozip1|8,no
KGB Archiver,yesRef label|osKGBArchiver|7,partial,partial|Commandline interface,yes,no,no,no,yes,unk,dunno
PeaZip,yesRef label|os7zip1|1,unk,partial|Under Development[12] ,yes,yes,no,no,unk,unk,dunno
PKZIP,yes,yes,no,yes,no,yes,yes,unk,unk,dunno
PowerArchiver,yes,unk,partial|Commandline interface,no,no,no,no,unk,unk,dunno
Star,yes,no,yes,yes,yes,yes,yes,yes,unk,dunno
StuffIt,yes,unk,yes,partial|X86 only  older version (520?),no,partial|older version (520?),no,unk,unk,dunno
The Unarchiver,partial|Commandline interface,no,yes,partial|Commandline interface,no,no,no,unk,no,dunno
TUGZip,yes,unk,no,no,no,no,no,unk,unk,dunno
WinAce,yes,partial|Commandline interfaceRef label|oswinace|5,partial|Commandline interface expander onlyRef label|oswinace|5,partial|X86  Commandline interface expander onlyRef label|oswinace|5,no,no,partial|Commandline interface expander only,unk,unk,dunno
WinRAR and RAR,yesRef label|os7zip1|1,yes,partial|Commandline interfaceRef label|oswinrar|6,partial|X86 and x8664  Commandline interfaceRef label|oswinrar|6,partial|Commandline interfaceRef label|oswinrar|6,partial|Commandline interfaceRef label|oswinrar|6,partial|Commandline interface expander only,yes[13],yes,dunno
WinZip,yesRef label|os7zip1|1,partial|Commandline interface,yes,no,no,no,yes,yes,unk,dunno
XAD,no,no,no,yes,yes,yes,yes,unk,unk,dunno
Xarchiver,no,no,no,yes,yes,unk,unk,unk,unk,dunno
ZipGenius,yes,unk,no,no,no,no,no,unk,unk,dunno
ZPAQ,yes,unk,yes,yes,no,no,no,unk,unk,dunno
! Windows,DOS,Mac OS X,Linux,BSD,Unix,AmigaOS,Android,Windows Mobile,Windows Phone,[added]
