Name,Creator,First public version (date),Latest stable version (date  number),Cost,Software license
Altap Salamander,Altap,[empty],(4.0),[empty],[empty]
Commander One,Eltima Software,[empty],(2.3),[empty],[empty]
CRAX Commander,Soft4U2,[empty],(1.11.1),[empty],[empty]
Directory Opus,Jonathan Potter  GPSoftware,Amiga: v1 (1990-01-03) Windows: v6 (2001-06-18),(12.11),[empty],[empty]
Dired,integral part of Emacs  part of the GNU project,1974?,(7.17),[empty],[empty]
Documents by Readdle,Readdle,[empty],[empty],[empty],[empty]
Dolphin,KDE,(0.5),[empty],[empty],[empty]
DOS Navigator,Ritlabs,1991 (0.90),1999 (1.51),[empty],[empty]
DOS Shell,Microsoft / IBM,1988,1998,[empty],[empty]
Double Commander,Alexander Koblov (alexx2000) and others,2007,(0.9.5),[empty],[empty]
emelFM2,tooar,[empty],(0.9.1),[empty],[empty]
Explorer++,David Ercig,[empty],(1.3.5),[empty],[empty]
Far Manager,Eugene Roshal (original); Far Group,1996,[empty],[empty],[empty]
File Commander,Brian Havard,1993,(2.40),[empty],[empty]
File Explorer<ref>previously known as Windows Explorer</ref>,Microsoft,[empty],[empty],[empty],[empty]
File Manager,Microsoft (Ian Ellison-Taylor),1990,(10.0.1901.1)<ref name="WinfileGithub" />,[empty],<ref name="WinfileGithub" />
Files (Apple),Apple Inc.,[empty],[empty],[empty],[empty]
Files by Google,Google LLC,[empty],[empty],[empty],[empty]
GeoManager,Berkeley Softworks<ref>Later renamed to 'GeoWorks Corporation'</ref>  Breadbox Ensemble<ref>foundes as 'Breadbox Computer Company'</ref>,1990,2009,[empty],[empty]
Finder,Apple Inc.,[empty],(10.10.5),[empty],[empty]
fman,Michael Herrmann,[empty],(1.5.8),[empty],[empty]
ForkLift,BinaryNights,[empty],(3.2.2),[empty],[empty]
gentoo,Emil Brink,[empty],(0.19.13),[empty],[empty]
GNOME Commander,GNOME Commander,[empty],(1.6.4),[empty],[empty]
GNOME Files<ref>formerly and known as Nautilus</ref>,Eazel,[empty],[empty],[empty],[empty]
Konqueror,KDE,[empty],[empty],[empty],[empty]
Krusader,Krusader Krew,[empty],[empty],[empty],[empty]
Midnight Commander<ref>also known as mc</ref>,GNU Midnight Commander,< May 1994<ref>The exact history is unknown. This date comes from changelog entries in the src/TODO file in the Git repository (SHA1: eb6b3842a). But it is probably earlier than that. Dec 1997 was release v4.1 already.</ref>,(4.8.22),[empty],[empty]
muCommander,Maxence Bernard,[empty],(0.9.3),[empty],[empty]
Nemo,Linux Mint,(1.0.0),December 11  2018 (4.0.5)<ref></ref>,[empty],[empty]
Nomad.NET,Eugene Sichkar,<br /> (2.2.0.537 beta),(3.2.0.2890),[empty],[empty]
Norton Commander,Peter Norton Computing  later Symantec corporation,1986,(2.01 Windows DOS: 1998-07-01 (5.51)),[empty],[empty]
Path Finder<ref>originally known as 'SNAX'</ref>,Cocoatech,[empty],(7),[empty],[empty]
PathMinder,Albert Nurick and Brittain Fraley,1984,1988 (4.11),[empty],[empty]
PCManFM,Hong Jen Yee,[empty],(1.2.4),[empty],[empty]
PC Shell,Central Point Software,1986,[empty],[empty],[empty]
ROX-Filer,Thomas Leonard et al.,Before,(2.11),[empty],[empty]
SpaceFM,IgnorantGuru,(0.5.0),(1.0.5),[empty],[empty]
STDU Explorer,STDUtility,[empty],(1.0.465),[empty],[empty]
Tabbles,Yellow blue soft UAB,[empty],(3.1.29),[empty],[empty]
Thunar,Xfce,[empty],(1.8.0)<ref></ref>,[empty],[empty]
Total Commander<ref>Originally known as 'Windows Commander'</ref>,Christian Ghisler,(1.00d),(9.22a),<ref name="demo" />,[empty]
ViewMAX,Digital Research / Novell,1990 (1.0),1993 (3.0),[empty],[empty]
Volkov Commander,Vsevolod Volkov,circa 1992,[empty],[empty],[empty]
WinSCP,WinSCP,[empty],[empty],[empty],[empty]
Xandros File Manager,Xandros Corporation,[empty],(4.2),[empty],[empty]
Xfe,Roland Baudin,2002,(1.43.1),[empty],[empty]
Xfile,Rixstep,[empty],(1.8.0),[empty],[empty]
Xfm,Simon Marlow  Albert Gräf  Till Straumann <br />Robert Vogelgesang  Juan D. Martin,1992,(1.4.3),[empty],[empty]
xplorer²,Nikos Bozinis,[empty],(3.5.0.2),[empty],[empty]
XTree,Jeffery C. Johnson,[empty],(Xtree for Windows),[empty],[empty]
XYplorer,Donald Lessau,1997,(19.30.0000),[empty],[empty]
ZTreeWin,Kim Henkel,1996,(2.1.19) (2.4.121 beta) (2.4.172 zeta),[empty],[empty]
File manager,DOS,OS/2 & eCS,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,OpenVMS
Directory Opus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="AmigaOS" />,[empty]
Dired,<ref></ref>,<ref></ref>,<ref></ref>,<ref></ref>,[empty],[empty],[empty],<ref></ref>,<ref></ref>
Dolphin,[empty],[empty],<ref name="KDE_on_Windows" />,<ref name="kde4@macports"></ref>,[empty],[empty],[empty],[empty],[empty]
