Name,Creator,First public version (date),Latest stable version (date  number),Cost,Software license
Altap Salamander,Altap,Start date|1997|08|15,Start date and age|2019|07|01 (40),free,proprietary
Commander One,Eltima Software,Start date|2015|08|04,Start date and age|2019 (23),nonfree|US$2995[1],proprietary
CRAX Commander,Soft4U2,Start date|2013|09|01,Start date and age|2018|06|05 (1111),nonfree|US$1999[1],proprietary
Directory Opus,Jonathan Potter  GPSoftware,Amiga v1 (19900103) Windows v6 (20010618),Start date and age|2018|12|19 (1211),nonfree|A$49 lite / A$89 pro,proprietary
Dired,integral part of Emacs  part of the GNU project,1974?,Start date and age|2009|07|30 (717),free,free|GPL
Documents by Readdle,Readdle,[empty],[empty],free,proprietary
Dolphin,KDE,Start date|2006|06|07 (05), Latest stable software release/KDE Applications ,free,free|GPL
DOS Navigator,Ritlabs,1991 (090),1999 (151),free,free|BSD original
DOS Shell,Microsoft / IBM,1988,1998,nonfree|Part of MSDOS/PC DOS (OS),proprietary
Double Commander,Alexander Koblov (alexx2000) and others,2007,Start date and age|2019|07|07 (095),free,free|GPL
emelFM2,tooar,Start date|2003|09|06,Start date and age|2014|02|18 (091),free,free|GPL
Explorer,David Ercig,Start date|2008|01|08,Start date and age|2013|02|03 (135),free,free|GPL
Far Manager,Eugene Roshal (original); Far Group,1996,Latest stable software release/FAR Manager|mf=y,free,free|BSD revised
File Commander,Brian Havard,1993,Start date and age|2011|03|03 (240),nonfree|A$3500,proprietary
File Explorer[2],Microsoft,Start date|1995|08|24,Start date and age|2015|07|29,nonfree|Part of Windows (OS),proprietary
File Manager,Microsoft (Ian EllisonTaylor),1990,Start date and age|2019|1|7 (10019011)[3],nonfree|Part of Windows (OS),free|MIT[3]
Files (Apple),Apple Inc,Start date and age|2017|9|19,[empty],nonfree|Part of iOS (OS),proprietary
Files by Google,Google LLC,Start date and age|2017|12|05|df=yes,[empty],Free,proprietary
GeoManager,Berkeley Softworks[4]  Breadbox Ensemble[5],1990,2009,nonfree|Part of PC/GEOS (OS),proprietary
Finder,Apple Inc,Start date|1984|01,Start date and age|2015|08|13 (10105),nonfree|Part of macOS (OS),proprietary
fman,Michael Herrmann,Start date|2016|07|18,Start date and age|2019|04|22 (158),nonfree|US$18[1],proprietary
ForkLift,BinaryNights,Start date|2007|06|01,Start date and age|2018|04|10 (322),nonfree|US$2995[1],proprietary
gentoo,Emil Brink,dunno,Start date and age|2012|3|18 (01913),free,free|GPL
GNOME Commander,GNOME Commander,Start date|2001|09,Start date and age|2017|05|28 (164),free,free|GPL
GNOME Files[6],Eazel,Start date|2001|04|11,Latest stable software release/GNOME,free,free|GPL
Konqueror,KDE,Start date|2000|10,Latest stable software release/KDE Software Compilation 4,free,free|GPL
Krusader,Krusader Krew,Start date|2000|07|11,Latest stable software release/Krusader,free,free|GPL
Midnight Commander[7],GNU Midnight Commander,< May 1994[8],Start date and age|2018|12|12 (4822),free,free|GPL
muCommander,Maxence Bernard,Start date|2002|02|17,Start date and age|2018|12|08 (093),free,free|GPL
Nemo,Linux Mint,Start date|2012|07 (100),December 11  2018 (405)[9],free|Free[10],free|GPL
NomadNET,Eugene Sichkar,Start date|2008|08|14 (220537 beta),Start date and age|2016|06|13 (3202890),free,proprietary
Norton Commander,Peter Norton Computing  later Symantec corporation,1986,Start date|1999|02|01 (201 Windows DOS 19980701 (551)),nonfree| ?,proprietary
Path Finder[11],Cocoatech,Start date|2001|04,Start date and age|2014|09|02 (7),nonfree|US$3995,proprietary
PathMinder,Albert Nurick and Brittain Fraley,1984,1988 (411),nonfree|US$3995,proprietary
PCManFM,Hong Jen Yee,Start date|2006|01|09,Start date and age|2016|2|21 (124),free,free|GPL
PC Shell,Central Point Software,1986,[empty],nonfree|paid[12],proprietary
ROXFiler,Thomas Leonard et al,Before Start date|2000|03|10,Start date and age|2011|10|09 (211),free,free|GPL
SpaceFM,IgnorantGuru,Start date|2012|01|13 (050),Start date and age|2016|1|20 (105),free,free|GPL
STDU Explorer,STDUtility,Start date|2009|03|23,Start date and age|2012|05|24 (10465),free,proprietary
Tabbles,Yellow blue soft UAB,Start date|2009|08|01,Start date and age|2016|08|12 (3129),nonfree|US$2995[1],proprietary
Thunar,Xfce,Start date|2006|01|22,Start date and age|2018|06|06 (180)[13],free,free|GPL
Total Commander[14],Christian Ghisler,Start date and age|1993|09|25 (100d),Start date and age|2019|03|29 (922a),nonfree|CHF40  ‚¬37  US$42[1],proprietary
ViewMAX,Digital Research / Novell,1990 (10),1993 (30),free|Part of DRDOS (OS),free|GPL[15]
Volkov Commander,Vsevolod Volkov,circa 1992,Latest stable software release/Volkov Commander,depends|shareware / freeware,proprietary
WinSCP,WinSCP,Start date|2000|09|30,Latest stable software release/WinSCP,free,free|GPL
Xandros File Manager,Xandros Corporation,dunno,Start date and age|2007|07|26 (42),nonfree|Part of Xandros Desktop,proprietary
Xfe,Roland Baudin,2002,Start date and age|2018|09|16 (1431),free,free|GPL
Xfile,Rixstep,Start date|2003|03|02,Start date and age|2007|02|19 (180),nonfree|US$7900[16],proprietary
Xfm,Simon Marlow  Albert GrÃ¤f  Till Straumann  Robert Vogelgesang  Juan D Martin,1992,Start date and age|2001|09 (143),free,free|GPL
xplorer²,Nikos Bozinis,Start date|2004|06|10,Start date and age|2017|12|13 (3502),nonfree|pro US$2995  ultimate US$4995[1],proprietary
XTree,Jeffery C Johnson,Start date|1985|04|01,Start date and age|1992 (Xtree for Windows),nonfree|US$3995,proprietary
XYplorer,Donald Lessau,1997,Start date and age|2018|10|29 (19300000),nonfree|US$3995[1],proprietary
ZTreeWin,Kim Henkel,1996,Start date and age|2012|05|27 (2119) Start date and age|2013|05|26 (24121 beta) Start date and age|2017|05|31 (24172 zeta),nonfree|US$2995 (14),proprietary
