File system,Creator,Year of introduction,Original operating system
DECtape,DEC,1964,PDP-6 Monitor
OS/3x0 FS,IBM,1964,OS/360
Level-D,DEC,1968,TOPS-10
George 3,ICT (later ICL),1968,George 3
Version 6 Unix file system (V6FS),Bell Labs,1972,Version 6 Unix
RT-11 file system,DEC,1973,RT-11
Disk Operating System (GEC DOS),GEC,1973,Core Operating System
CP/M file system,Digital Research (Gary Kildall),1974,CP/M<ref name="Shustek_2016"></ref><ref name="Kildall_1993"> </ref>
ODS-1,DEC,1975,RSX-11
GEC DOS filing system extended,GEC,1977,OS4000
FAT (8-bit),Microsoft (Marc McDonald) for NCR,1977,Microsoft Standalone Disk BASIC-80 (later Microsoft Standalone Disk BASIC-86)
DOS 3.x,Apple,1978,Apple DOS
UCSD p-System,UCSD,1978,UCSD p-System
CBM DOS,Commodore,1978,Commodore BASIC
Version 7 Unix file system (V7FS),Bell Labs,1979,Version 7 Unix
ODS-2,DEC,1979,OpenVMS
FAT12,Seattle Computer Products (Tim Paterson),1980,QDOS/86-DOS (later IBM PC DOS 1.0)
ProDOS,Apple,1980,Apple SOS (later ProDOS 8)
DFS,Acorn Computers Ltd,1982,Acorn BBC Micro MOS
ADFS,Acorn Computers Ltd,1983,Acorn Electron (later Arthur/RISC OS)
FFS,Kirk McKusick,1983,4.2BSD
FAT16,IBM  Microsoft,1984,PC DOS 3.0  MS-DOS 3.0
MFS,Apple,1984,System 1
Elektronika BK tape format,NPO "Scientific centre" (now Sitronics),1985,Vilnius Basic  BK monitor program
HFS,Apple,1985,System 2.1
Amiga OFS,Metacomco for Commodore,1985,Amiga OS
GEMDOS,Digital Research,1985,Atari TOS
NWFS,Novell,1985,NetWare 286
High Sierra,Ecma International,1986,MSCDEX for MS-DOS 3.1/3.2<ref></ref>
FAT16B,Compaq,1987,Compaq MS-DOS 3.31
Minix V1 FS,Andrew S. Tanenbaum,1987,MINIX 1.0
Amiga FFS,Commodore,1988,Amiga OS 1.3
ISO 9660:1988,Ecma International  ISO,1988,MS-DOS  "classic" Mac OS  and AmigaOS
HPFS,IBM & Microsoft,1989,OS/2 1.2
Rock Ridge,IEEE,[empty],Unix
JFS1,IBM,1990,AIX
VxFS,VERITAS,1991,SVR4.0
ext,Rémy Card,1992,Linux
AdvFS,DEC,1993<ref></ref>,Digital Unix
NTFS,Microsoft (Gary Kimura  Tom Miller),1993,Windows NT 3.1
LFS,Margo Seltzer,1993,Berkeley Sprite
ext2,Rémy Card,1993,Linux  Hurd
Xiafs,Q. Frank Xia,1993,Linux
UFS1,Kirk McKusick,1994,4.4BSD
XFS,SGI,1994,IRIX
HFS,IBM,1994,MVS/ESA (now z/OS)
FAT16X,Microsoft,1995,MS-DOS 7.0 / Windows 95
Joliet ("CDFS"),Microsoft,1995,Microsoft Windows  Linux  "classic" Mac OS  and FreeBSD
UDF,ISO/ECMA/OSTA,1995,[empty]
FAT32  FAT32X,Microsoft,1996,MS-DOS 7.10 / Windows 95 OSR2
QFS,Sun Microsystems,1996,Solaris
GPFS,IBM,1996,AIX  Linux
Be File System,Be Inc. (D. Giampaolo  Cyril Meurillon),1996,BeOS
Minix V2 FS,Andrew S. Tanenbaum,1997,MINIX 2.0
HFS Plus,Apple,1998,Mac OS 8.1
NSS,Novell,1998,NetWare 5
PolyServe File System (PSFS),PolyServe,1998,Windows  Linux
ODS-5,DEC,1998,OpenVMS 7.2
