File system,Creator,Year of introduction,Original operating system
DECtape,DEC,1964,PDP6 Monitor
OS/3x0 FS,IBM,1964,OS/360
LevelD,DEC,1968,TOPS10
George 3,ICT (later ICL),1968,George 3
Version 6 Unix file system (V6FS),Bell Labs,1972,Version 6 Unix
RT11 file system,DEC,1973,RT11
Disk Operating System (GEC DOS),GEC,1973,Core Operating System
CP/M file system,Digital Research (Gary Kildall),1974,CP/M[1][2]
ODS1,DEC,1975,RSX11
GEC DOS filing system extended,GEC,1977,OS4000
FAT (8bit),Microsoft (Marc McDonald) for NCR,1977,Microsoft Standalone Disk BASIC80 (later Microsoft Standalone Disk BASIC86)
DOS 3x,Apple,1978,Apple DOS
UCSD pSystem,UCSD,1978,UCSD pSystem
CBM DOS,Commodore,1978,Commodore BASIC
Version 7 Unix file system (V7FS),Bell Labs,1979,Version 7 Unix
ODS2,DEC,1979,OpenVMS
FAT12,Seattle Computer Products (Tim Paterson),1980,QDOS/86DOS (later IBM PC DOS 10)
ProDOS,Apple,1980,Apple SOS (later ProDOS 8)
DFS,Acorn Computers Ltd,1982,Acorn BBC Micro MOS
ADFS,Acorn Computers Ltd,1983,Acorn Electron (later Arthur/RISC OS)
FFS,Kirk McKusick,1983,42BSD
FAT16,IBM  Microsoft,1984,PC DOS 30  MSDOS 30
MFS,Apple,1984,System 1
Elektronika BK tape format,NPO "Scientific centre" (now Sitronics),1985,Vilnius Basic  BK monitor program
HFS,Apple,1985,System 21
Amiga OFSref|54,Metacomco for Commodore,1985,Amiga OS
GEMDOS,Digital Research,1985,Atari TOS
NWFS,Novell,1985,NetWare 286
High Sierra,Ecma International,1986,MSCDEX for MSDOS 31/32[3]
FAT16B,Compaq,1987,Compaq MSDOS 331
Minix V1 FS,Andrew S Tanenbaum,1987,MINIX 10
Amiga FFS,Commodore,1988,Amiga OS 13
ISO 96601988,Ecma International  ISO,1988,MSDOS  "classic" Mac OS  and AmigaOS
HPFS,IBM & Microsoft,1989,OS/2 12
Rock Ridge,IEEE,Circa|1990|sortable=yes,Unix
JFS1,IBM,1990,AIXefn |name=note11 |IBM introduced JFS with the initial release of AIX Version 31 in 1990 This file system now called JFS1 The new JFS  on which the Linux port was based  was first shipped in OS/2 Warp Server for eBusiness in 1999 The same sourcebase was also used for release JFS2 on AIX 5L
VxFS,VERITAS,1991,SVR40
ext,Rémy Card,1992,Linux
AdvFS,DEC,1993[4],Digital Unix
NTFS,Microsoft (Gary Kimura  Tom Miller),1993,Windows NT 31
LFS,Margo Seltzer,1993,Berkeley Sprite
ext2,Rémy Card,1993,Linux  Hurd
Xiafs,Q Frank Xia,1993,Linux
UFS1,Kirk McKusick,1994,44BSD
XFS,SGI,1994,IRIX
HFS,IBM,1994,MVS/ESA (now z/OS)
FAT16X,Microsoft,1995,MSDOS 70 / Windows 95
Joliet ("CDFS"),Microsoft,1995,Microsoft Windows  Linux  "classic" Mac OS  and FreeBSD
UDF,ISO/ECMA/OSTA,1995,n/a
FAT32  FAT32X,Microsoft,1996,MSDOS 710 / Windows 95 OSR2efn |name=note10 |Microsoft first introduced FAT32 in MSDOS 71 / Windows 95 OSR2 (OEM Service Release 2) and then later in Windows 98 NTbased Windows did not have any support for FAT32 up to Windows NT4; Windows 2000 was the first NTbased Windows OS that received the ability to work with it
QFS,Sun Microsystems,1996,Solaris
GPFS,IBM,1996,AIX  Linux
