File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/ read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
BeeGFS,yes,yes,no,yes,yes,no,yes,dunno,yes,yes
CP/M file system,no,no,yesefn |Implemented in later versions as an extension,no,no,no,no,no,no,no
DECtape[29],no,no,yes,no,no,no,no,no,no,no
Elektronika BK tape format,no,no,no,no,no,no,no,no,no,yes
LevelD,yes,yes,yes,yes,yes,yes,yes,no,no,no
RT11[30],no,no,yes (date only),no,no,no,no,no,no,yes
Version 6 Unix file system (V6FS)[31],yes,yes,no,yes,no,no,no,no,no,no
Version 7 Unix file system (V7FS)[32],yes,yes,no,yes,no,no,no,no,no,no
exFAT,no,no,yes,yes,no,no,no,no,no,no
FAT12/FAT16/FAT32,no,no,yes,yes,noefn |name=fatctime |Some FAT implementations  such as in Linux  show file modification timestamp (mtime) in the metadata change timestamp (ctime) field This timestamp is however  not updated on file metadata change,no,no,no,noefn |name=note22 |Particular Installable File System drivers and operating systems may not support extended attributes on FAT12 and FAT16 The OS/2 and Windows NT filesystem drivers for FAT12 and FAT16 support extended attributes (using a "EA DATA SF" pseudofile to reserve the clusters allocated to them) Other filesystem drivers for other operating systems do not,no
HPFS,yesefn |name=note14 |The fnode contains a field for a user identifier This is not used except by OS/2 Warp Server  however,no,yes,yes,no,no,no,dunno,yes,no
NTFS,yes,yesefn |name=note5 |NTFS access control lists can express any access policy possible using simple POSIX file permissions (and far more)  but use of a POSIXlike interface is not supported without an addon such as Services for UNIX or Cygwin,yes,yes,yes,no,yes,yesefn |As of Vista  NTFS has support for Mandatory Labels  which are used to enforce Mandatory Integrity Control[33],yes,no
ReFS,yes,yes,yes,yes,yes,no,yes,dunno,yesefn |Initially  ReFS lacked support for ADS  but Server 2012 R2 and up add support for ADS on ReFS,yesefn |Data checksums not enabled by default
HFS,no,no,yes,no,no,yes,no,no,yes,no
HFS Plus,yes,yes,yes,yes,yes,yes,yes,dunno,yes,no
FFS,yes,yes,no,yes,yes,no,no,no,no,no
UFS1,yes,yes,no,yes,yes,no,yesefn |name=note33 |Accesscontrol lists and MAC labels are layered on top of extended attributes,yesefn |name=note33,noefn |name=note32 |Some operating systems implemented extended attributes as a layer over UFS1 with a parallel backing file (eg  FreeBSD 4x),no
UFS2,yes,yes,yes,yes,yes,no,yesefn |name=note33,yesefn |name=note33,yes,no
HAMMER,yes,yes,yes,yes,yes,dunno,yes,yes,no,yes
LFS,yes,yes,no,yes,yes,no,no,no,no,no
ext,yes,yes,no,no,no,no,no,no,no,no
Xiafs,yes,yes,no,yes,yes,no,no,no,no,no
ext2,yes,yes,no,yes,yes,no,yesefn |name=note23 |Some Installable File System drivers and operating systems may not support extended attributes  access control lists or security labels on these filesystems Linux kernels prior to 26x may either be missing support for these altogether or require a patch,yesefn |name=note23,yes,no
ext3,yes,yes,no,yes,yes,no,yesefn |name=note23,yesefn |name=note23,yes,no
ext4,yes,yes,yes,yes,yes,no,yesefn |name=note23,yesefn |name=note23,yes,partialefn | Journal and metadata only[34]
NOVA,yes,yes,yes,yes,yes,no,no,no,no,yes
Lustre,yes,yes,no,yes,yes,no,yes,yes,yes,no
F2FS,yes,yes,yes,yes,yes,no,yesefn |name=note23,yesefn |name=note23,yes,no
GPFS,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
GFS,yes,yes,no,yes,yes,no,yesefn |name=note23,yesefn |name=note23,yes,no
NILFS,yes,yes,yes,no,yes,no,no,no,no,yes
