License,Author,Latest version,Publication date,Linking,Distribution,Modification,Patent grant,Private use,Sublicensing,TM grant
[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Academic Free License[10],Lawrence E Rosen,30,2002,yes|Permissive,yes|Permissive,yes|Permissive,yes,yes,yes|Permissive,no
Affero General Public License,Affero Inc,20,2007,free|Copylefted[11],free|Copyleft except for the GNU AGPL[11],free|Copyleft[11],dunno,yes[11],dunno,dunno
Apache License,Apache Software Foundation,20,2004,yes|Permissive[12],yes|Permissive[12],yes|Permissive[12],yes[12],yes[12],yes|Permissive[12],no[12]
Apple Public Source License,Apple Computer,20,2003August 6  2003,yes|Permissive,dunno,partial|Limited,dunno,dunno,dunno,dunno
Artistic License,Larry Wall,20,2000,partial|With restrictions,partial|With restrictions,partial|With restrictions,no,yes|Permissive,partial|With restrictions,no
Beerware,PoulHenning Kamp,42,1987,yes|Permissive,yes|Permissive,yes|Permissive,no,yes|Permissive,yes|Permissive,no
BSD License,Regents of the University of California,30,dunno,yes|Permissive[13],yes|Permissive[13],yes|Permissive[13],no|Manually[13],yes[13],yes|Permissive[13],No|Manually[13]
Boost Software License,dunno,10,2003August 17  2003,yes|Permissive,dunno,yes|Permissive,dunno,dunno,dunno,dunno
Creative Commons Zero,Creative Commons,10,2009,yes|Public Domain[14][15],yes|Public Domain,yes|Public Domain,no,yes|Public Domain,yes|Public Domain,no
CC BY,Creative Commons,40,2002,yes|Permissive[16],yes|Permissive,yes|Permissive,no,yes,yes|Permissive,dunno
CC BYSA,Creative Commons,40,2002,Free|Copylefted[16],Free|Copylefted,free|Copylefted,no,yes,no,dunno
CeCILL,CEA / CNRS / INRIA,21,2005June 21  2013,yes|Permissive,yes|Permissive,yes|Permissive,no,yes|Permissive,partial|With restrictions,no
Common Development and Distribution License,Sun Microsystems,10,200412December 1  2004,yes|Permissive,dunno,partial|Limited,dunno,dunno,dunno,dunno
Common Public License,IBM,10,2001May 2001,yes|Permissive,dunno,free|Copylefted,dunno,dunno,dunno,dunno
Cryptix General License,Cryptix Foundation,n/a,1995,yes|Permissive,yes|Permissive,yes|Permissive,no|Manually,yes,dunno,No|Manually
Eclipse Public License,Eclipse Foundation,20,August 24  2017,partial|Limited[17],partial|Limited[17],partial|Limited[17],yes[17],yes[17],partial|Limited[17],No|Manually[17]
Educational Community License,Indiana University[18],10,2007,yes|Permissive,dunno,yes|Permissive,dunno,dunno,dunno,dunno
European Union Public Licence,European Commission,12,2009May 2017,free|Copylefted  with an explicit compatibility list[19],free|Copylefted  with an explicit compatibility list[19],free|Copylefted  with an explicit compatibility list[19],yes[20],yes[20],free|Copylefted  with an explicit compatibility list[19],no[20]
GNU Affero General Public License,Free Software Foundation,30,2007,free|GNU GPLv3 only[21],free|Copylefted[22],free|Copylefted[22],yes[23],partial|No network usage[23],free|Copylefted[22],yes[23]
GNU General Public License,Free Software Foundation,30,2007June 2007,free|GPLv3 compatible only[24][25],free|Copylefted[22],free|Copylefted[22],yes[26],yes[26],free|Copylefted[22],yes[26]
GNU Lesser General Public License,Free Software Foundation,30,2007June 2007,free|With restrictions[27],free|Copylefted[22],free|Copylefted[22],yes[28],yes,free|Copylefted[22],yes[28]
IBM Public License,IBM,10,1999August 1999,free|Copylefted,dunno,free|Copylefted,dunno,dunno,dunno,dunno
ISC license,Internet Systems Consortium,n/a,2003June 2003,yes|Permissive,yes|Permissive,yes|Permissive,dunno,dunno,dunno,dunno
LaTeX Project Public License,LaTeX project,13c,dunno,yes|Permissive,dunno,yes|Permissive,dunno,dunno,dunno,dunno
Microsoft Public License,Microsoft,n/a,dunno,yes|Permissive,yes|Permissive,yes|Permissive,no,yes|Permissive,dunno,no
MIT license / X11 license,MIT,n/a,1988,yes|Permissive[29],yes|Permissive[29],yes|Permissive[29],no|Manually[29],yes[29],yes|Permissive[29],no|Manually[29]
Mozilla Public License,Mozilla Foundation,20,2012January 3  2012,yes|Permissive[30],free|Copylefted[30],free|Copylefted[30],yes[30],yes[30],free|Copylefted[30],no[30]
Netscape Public License,Netscape,11,dunno,partial|Limited,dunno,partial|Limited,dunno,dunno,dunno,dunno
Open Software License[10],Lawrence Rosen,30,2005,yes|Permissive,free|Copylefted,free|Copylefted,yes,yes,free|Copylefted,dunno
OpenSSL license,OpenSSL Project,n/a,dunno,yes|Permissive,dunno,yes|Permissive,dunno,dunno,dunno,dunno
Python Software Foundation License,Python Software Foundation,2,dunno,yes|Permissive,dunno,yes|Permissive,dunno,dunno,dunno,dunno
Q Public License,Trolltech,dunno,dunno,partial|Limited,dunno,partial|Limited,dunno,dunno,dunno,dunno
Sleepycat License,Sleepycat Software,n/a,1996,yes|Permissive,partial|With restrictions,yes|Permissive,no,yes,no,no
Unlicense,unlicenseorg,1,2010December 2010,yes|Permissive/Public domain,yes|Permissive/Public domain,yes|Permissive/Public domain,dunno,yes|Permissive/Public domain,yes|Permissive/Public domain,dunno
W3C Software Notice and License,W3C,20021231,2002December 31  2002,yes|Permissive,dunno,yes|Permissive,dunno,dunno,dunno,dunno
Do What The Fuck You Want To Public License (WTFPL),Banlu Kemiyatorn  Sam Hocevar,2,2004December 2004,yes|Permissive/Public domain,yes|Permissive/Public domain,yes|Permissive/Public domain,no,yes,yes,no
XCore Open Source License also separate "Hardware License Agreement",XMOS,dunno,2011February 2011,yes|Permissive,yes|Permissive,yes|Permissive,no|Manually,yes,yes|Permissive,dunno
XFree86 11 License,The XFree86 Project  Inc,dunno,dunno,yes|Permissive,dunno,yes|Permissive,dunno,dunno,dunno,dunno
zlib/libpng license,JeanLoup Gailly and Mark Adler,dunno,dunno,yes|Permissive,dunno,yes|Permissive,dunno,dunno,dunno,dunno
