License,Author,Latest version,Publication date
[empty],[empty],[empty],[empty]
Eiffel Forum License,NICE,2,2002
freebsd,freebsd,10,2018
Intel Open Source License,Intel Corporation,n/a,dunno
PHP License,PHP Group,301,dunno
RealNetworks Public Source License,RealNetworks,dunno,dunno
Reciprocal Public License,Scott Shattuck,15,2007
Sun Industry Standards Source License,Sun Microsystems,dunno,dunno
Sun Public License,Sun Microsystems,dunno,dunno
Sybase Open Watcom Public License,Open Watcom,n/a,20030128
Zope Public License,Zope Foundation,21,dunno
