Software,Latest version,Latest release,Free to use,Free software,Software license,Windows,macOS,Linux,Android,iOS
Agelong Tree,47,20151204,no (40 Person Free Trial),no,Proprietary,yes,no,partial|Using Wine,no,no
Ahnenblatt,302,20190607,no (Free demo  50 person limit  watermarked reports; latest free version 299j),no,Proprietary,yes,no,partial|Using Wine,no,no
Ancestral Quest,15019,20190225,yes (Basics version),no,Proprietary,yes,yes,partial|Using Wine,no,no
Ancestromania,2017212,[empty],Yes,Yes,GPLlic,Yes,No,Yes,No,No
Brother's Keeper,745,20190911,yes (Unreg ver),no,nonfree|Shareware,yes,no,partial|Using Wine,no,no
Family Historian,627,20180501,no (30Day Free Trial),no,Proprietary,yes,no,partial|Using Wine,no,no
Family Tree Builder,80,20160812,yes (Free ver),no,Proprietary,yes,yes,partial|Using Wine,yes,yes
Family Tree Maker,2019 (2401),201911,No,no,Proprietary,yes,yes,no,no,no
Family Tree,121,20131005,no,no,Proprietary,no,yes,no,dunno,dunno
GEDitCOM II,23,20161117,no (15Day Free Trial  ReadOnly afterwards),no,Proprietary,no,yes,no,dunno,yes
Genbox Family History,371,20071117,no (30 Day Free Trial),no,Proprietary,yes,no,partial|Using Wine,no,no
GenealogyJ,30,20100218,yes,yes,GPLlic,maybe|Javaefn|group=general|name=java|Using Java Virtual Machine ,maybe|Javaefn|name=java ,maybe|Javaefn|name=java ,no,no
GenEarth,141,20170502,no (1Week Free Trial  no limitation),no,Proprietary,Yes (Windows 10),no,no,no,no
Genney,2118,20190124,no Demomode Up to 100 persons with some functions disabled More than 100 persons Only view mode,no,proprietary,yes,yes,yes,no,no
GenoPro,2016  3007,20160127,no (25 Person Free Trial),no,Proprietary,yes,no,partial|Using Wine,no,no
Gramps,511,20190915,yes,yes,GPLlic,yes,yes,yes,no,no
Heredis,192,20181205,no (50 Person Free Trial),no,Proprietary,yes,yes,no,yes,yes
Kith and Kin Pro,325,20160801,no (30Day Free Trial),no,nonfree|Shareware,yes,no,no,no,no
Legacy Family Tree,900169,20170502,yes (Standard Edition),No,Proprietary,yes,no,partial|Using Wine,dunno,dunno
LifeLines,311,20160317,yes,yes,free|MIT License,yes,yes,yes,no,no
MacFamilyTree,835,20180424,no (Free Trial  but you cannot save or export your entries),no,Proprietary,no,yes,no,no,yes
My Family Tree,7110,20170531,yes,no,Proprietary,yes,no,no,no,no
Personal Ancestral File,52180,20020723 (discontinued 2014),yes,no,Proprietary,yes,no,partial|Using Wine,dunno,dunno
Reunion,120 (build 181218),20181218,no (Free demo  50 person limit  no import/export  watermarked reports),no,Proprietary,no,yes,no,no,yes
RootsMagic,7560,20180427,yes (Essentials),no,Proprietary,yes,yes,partial|Using Wine,yes,yes
The Master Genealogist,9050000,20141203 (Discontinued20141231),no (30 Day Free Trial),no,Proprietary,yes,no,partial|Using Wine,no,no
