Name,English,Afrikaans,Danish,Dutch,French,German,Italian,Norwegian,Polish,Russian,Spanish,Swedish
Agelong Treeref label|a3|a|a,Yes,Noref label|b3|b|b,Noref label|b3|b|b,Yes,Yes,Yes,Yes,Noref label|b3|b|b,Yes,Yes,Yes,Noref label|b3|b|b
Ahnenblattref label|c2|c|c,Yes,Noref label|b3|b|b,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ancestral Questref label|d|d|d,Yes,Noref label|b3|b|b,Yes,Noref label|b3|b|b,Yes,Yes,Noref label|b3|b|b,Yes,partial,No,Yes,partial
Brother's Keeper,Yes,Yes,Yes,Yes,Yes,Yes,Noref label|b3|b|b,Yes,Yes,Yes,Noref label|b3|b|b,Yes
Family Historian,Yes,No,No,No,No,No,No,No,No,No,No,No
Family Tree Builder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes
Family Tree Maker (Windows),Yes,No,Yes,No,No,No,No,No,No,No,No,No
Family Tree Maker for Mac,Yes,No,No,No,No,No,No,No,No,No,No,No
GEDitCOM II,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes
Genbox Family Historyref label|f|f|f,Yes,No,Yes,Yes,Yes,Yes,Yes,partial,Yes,Yes,partial,partial
GenealogyJ,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
GenEarth,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Genney,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes
GenoProref label|g|g|gref label|h|h|h,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Grampsref label|i|i|i,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Heredis,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Legacy Family Tree,yesref label|j|j|j,yes,yes,yes,yes,yes,yes,yesref label|k|k|k,no,No,yes| public test,yes
LifeLines,Yes,no,Yes,no,Yes,Yes,no,no,no,No,no,Yes
MacFamilyTree,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Personal Ancestral File,Yes|(v4x/5x),No,No,No,Yes|(v4x),Yes|(v4x/5x),No,No,No,No,Yes|(v4x),Yes|(v5x)
Reunionref label|l|l|l,Yes,No,No,Yesref label|l|l|l,Yesref label|l|l|l,Yesref label|l|l|l,No,Yesref label|l|l|l,No,No,No,No
RootsMagic,Yes,No,No,No,No,No,No,No,No,No,No,No
The Master Genealogist,yesref label|n|n|n,yes,yes,yes,yes,yes,partial,yes,noref label|g|g|g,No,noref label|g|g|g,yes
