[empty],Manufacturer,First public release date,Product line,Launch price (USD),Units sold
Atari Lynx,Atari,dts|1989|10|11|format=dmy[1],Atari Lynx,$nts|189[1],nts|3000000
Atari Lynx II,Atari,dts|1991|,Atari Lynx,$nts|179,nts|500000[1]
Dingoo A320,Dingoo Digital Technology,dts|2009,Dingoo,$nts|8280,nts|1000000
Epoch Game Pocket Computer,Epoch Co,dts|1984,Epoch Game Pocket Computer,[empty],[empty]
Gamate,Bit Corporation,dts|1990,Gamate,[empty],[empty]
GameKing,Timetop,dts|2003,GameKing,$nts|10€“20 (depending on retailer's subsidies and special offers),[empty]
GameKing II,Timetop,dts|2004,GameKing,$nts|15€“30 (depending on retailer's subsidies and special offers),[empty]
Game Boy,Nintendo,dts|1989|04|21|format=dmy,Game Boy line,$nts|8999 [2],nts|70000000Citation needed|date=March 2008
Game Boy Advance,Nintendo,dts|2001|03|21|format=dmy,Game Boy line,$nts|100,nts|37700000[3]
Game Boy Advance SP,Nintendo,dts|2003|02|14|format=dmy,Game Boy line,$nts|9999,nts|43020000[3]
Game Boy Advance SP (backlit model),Nintendo,dts|2005|09|13|format=dmy,Game Boy line,$nts|79,[empty]
Game Boy Color,Nintendo,dts|1998|10|21|format=dmy,Game Boy line,$nts|6999[2],nts|48600000Citation needed|date=July 2011
Game Boy Light,Nintendo,dts|1997 (Japan only),Game Boy line,[empty],[empty]
Game Boy Micro,Nintendo,dts|2005|09|13|format=dmy,Game Boy line,$nts|99,nts|2500000[1]
Game Boy Pocket,Nintendo,dts|1996,Game Boy line,$nts|59[2]Failed verification|date=April 2008,[empty]
Gamecom,Tiger Electronics,dts|1997|09[1],Gamecom,$nts|59€“69[4],nts|300000[1]
GCW Zero,Game Consoles Worldwide,dts|2013|03,GCW,$nts|150,[empty]
Gizmondo,Tiger Telematics,dts|2005[1],Gizmondo,$nts|229€“400 (depending on advertising subsidies)[1],nts|25000[1]
GP2X,GamePark Holdings,dts|2005|11|09|format=dmy,GP2X,$nts|185,nts|60000[5] (inc GP2X F200 sales)
GP2X F200,GamePark Holdings,dts|2007|10|30|format=dmy[6],GP2X,$nts|169[5],nts|60000[5] (inc original GP2X sales)
GP2X Wiz,GamePark Holdings,dts|2009|05|13|format=dmy,GP2X,$nts|179,[empty]
GP2X Caanoo,GamePark Holdings,dts|2010|08|16|format=dmy[7],GP2X,$nts|150,[empty]
GP32,Game Park,dts|2001|11|23|format=dmy,GP32,$nts|239,nts|30000[8]
GPD Win,GamePad Digital,dts|October 2016,GPD Win,$nts|350€“400[9],[added]
GPD Win 2,GamePad Digital,dts|May 2018,GPD Win,$nts|649899 (preorder  and tentative release prices),[added]
GPD XD,Gamepad Digital,dts|2015,GPD XD,$nts|194,[added]
GPD XD Plus,Gamepad Digital,dts|2018,GPD XD,$nts|207,[added]
Mega Duck/Cougar Boy,Creatonic  Videojet  and Timlex,dts|1993,Mega Duck/Cougar Boy,$nts|50,[empty]
Microvision,Milton Bradley Company,dts|1979|10,Microvision,$nts|4999,[empty]
Mi2,Planet interactive,dts|2009|10,Pocket Dream Console,‚¬nts|70,[empty]
Neo Geo Pocket,SNK Playmore,dts|1998[1],Neo Geo,$nts|69[1][10],[empty]
Neo Geo Pocket Color,SNK Playmore,dts|1999|03|16|format=dmy[1],Neo Geo,$nts|69[10],[empty]
Neo Geo X,SNK Playmore,dts|2012|12|18|format=dmy[1],Neo Geo,$nts|199,[empty]
Nintendo DS,Nintendo,dts|2004|11|21|format=dmy,Nintendo DS,$nts|14999,nts|18820000[3]
Nintendo DS Lite,Nintendo,dts|2006|03|02|format=dmy,Nintendo DS,$nts|12999,nts|84490000[3]
Nintendo DSi,Nintendo,dts|2008|11|01|format=dmy[11],Nintendo DS,$nts|169[12],nts|16430000[13]
Nintendo 3DS,Nintendo,dts|2011|02|26|format=dmy[14],Nintendo DS,$nts|24999[15],nts|72890000 (as of June 2018)[16]
Nintendo Switch,Nintendo,dts|2017|03|03|format=dmy,Nintendo Switch,$nts|29999,nts|32270000 (as of February 2019)[16]
Nintendo 2DS,Nintendo,dts|2013|10|12|format=dmy,Nintendo DS,$nts|7999,[empty]
Nintendo 2DS XL,Nintendo,Dts|2017|6|15,Nintendo DS,[empty],[empty]
NGage,Nokia,dts|2003|10|07|format=dmy,NGage,$nts|299[1],nts|3000000[1]
NGage QD,Nokia,dts|2004|07|27|format=dmy,NGage,$nts|0€“245 (depending on cell provider subsidies),[empty]
Pandora,OpenPandora,dts|2010|05|22|format=dmy,Pandora,$nts|349[17] (1st and 2nd batch) Rebirth edition ‚¬370 (‚¬440 incl VAT),nts|7500[18]
PlayStation Portable,Sony Computer Entertainment,dts|2004|12|12|format=dmy,PlayStation,$nts|24999,nts|51260000[1]
PlayStation Portable Slim and Lite,Sony Computer Entertainment,dts|2007|09|05|format=dmy,PlayStation,$nts|19999,[empty]
PlayStation Vita,Sony Computer Entertainment,dts|2011|12|17|format=dmy,PlayStation,$nts|29999 WiFi3G $24999 WiFi Only,nts|4000000 (as of 2015)
PocketFami,GameTech,dts|2004,PocketFami,$nts|80,[empty]
Sega Game Gear,Sega,dts|1990|10|06|format=dmy,Sega Game Gear,$nts|150[1],nts|11000000[1]
Sega Nomad,Sega,dts|1995[1],Sega Nomad,$nts|180[1],nts|1000000[1]
SwanCrystal,Bandai,dts|2002|11|16|format=dmy,WonderSwan,$nts|65,[empty]
Tapwave Zodiac,Tapwave,dts|2003|11|01|format=dmy,Tapwave Zodiac,$nts|300€“400 (depending on configuration),nts|200000[1]
TurboExpress,NEC,dts|1990[1],TurboExpress,$nts|349[1],nts|1500000[1]
VG Pocket,Pelican Accessories,dts|2006|08,VG Pocket,$nts|3999,[empty]
Watara Supervision,Watara,dts|1992,Supervision,$nts|50[19],[empty]
WonderSwan,Bandai,dts|1999|03|04|format=dmy[20],WonderSwan,[empty],[empty]
WonderSwan Color,Bandai,dts|2000|12|30|format=dmy,WonderSwan,$nts|65,[empty]
Xperia PLAY,Sony Ericsson,Dts|2011|4|1,Xperia,[empty],[empty]
