Brand,Model,Introduced,Discontinued,Speeds (external),Gear width (with external),Ebike Max Power,Max Torque,Direct Drive,Weight (excluding auxiliary components),Intended purpose
Brompton,BSR (fork from Sturmey Archer),[empty],[empty],3,178%,[empty],[empty],[empty],? g,City
Brompton,BWR[1][2],2009,[empty],3(x2),246% (302%),[empty],[empty],[empty],940 g,City
Enviolo,City,2019,[empty],continuous,310%,250 w,50 Nm,n/a,?,City
Enviolo,Trekking,2019,[empty],continuous,380%,250 w,75 Nm,n/a,?,City/Trekking
Enviolo,Sportive,2019,[empty],continuous,380%,500 w,120 Nm,n/a,?,City/Trekking/Sport
Enviolo,Cargo,2019,[empty],continuous,380%,500 w,80 Nm,n/a,?,City/Cargo
Enviolo,Commercial,2019,[empty],continuous,310%,250 w,50 Nm,n/a,?,City
Fallbrook (Enviolo),NuVinci N380,2015,2018,continuous,380%,[empty],[empty],n/a,2450 g[3],City
Fallbrook (Enviolo),NuVinci N360,2010,2014,continuous,360%,[empty],[empty],n/a,2450 g[4],City
Fallbrook (Enviolo),Nuvinci N330,2015,2018,continuous,330%,[empty],[empty],n/a,2450 g[4],City
Fallbrook (Enviolo),NuVinci N171,2007,2010,continuous,350%,[empty],[empty],n/a,3850€“3950 g,City
Kindernay,XIV,2016,[empty],14,543%[5],[empty],100 Nm[6],[empty],1400g[5],Sport
Rohloff AG,Speedhub 500/14,1998,[empty],14,526%,[empty],[empty],11th gear,17001825 g[7],Sport  Touring
Shimano,Alfine SG700,2010,[empty],11,409%,[empty],[empty],n/a,16001744 g[8][9][10],City  Sport
Shimano,Alfine SG500,2006,[empty],8,307%,[empty],[empty],[empty],1600 g,City
Shimano,Nexus Inter8,[empty],[empty],8,307%,[empty],[empty],5th gear,15502040 g,City
Shimano,Nexus Inter7,1995,[empty],7,244%,[empty],[empty],[empty],14651860 g,City
Shimano,Nexus 4 Speed,[empty],[empty],4,184%,[empty],[empty],1st gear,[empty],City
Shimano,Nexus Inter3,[empty],[empty],3,187%,[empty],[empty],2nd gear,1220 g,City
SRAM (Sachs),Spectro E12 (Elan),1995,1999,12,339%,[empty],[empty],[empty],35004000 g,City
SRAM,iMotion 9,2005,2012,9,340%,[empty],[empty],[empty],2000g (wo brake) 2400g (with coaster brake),City
SRAM,G8,2012,2015,8,260%,[empty],[empty],[empty],2180 [11],City
SRAM,G9,2014,2015,9,292%,[empty],[empty],[empty],[empty],City  Sport
SRAM (Sachs),Spectro S7 (Super 7),1993,2010,7,303% (Super 7 284%),[empty],[empty],[empty],16451826 g,City
SRAM (Sachs),Spectro P5 (Pentasport) [12] P5 Cargo,1987,2010? [13],5,224251%,[empty],[empty],[empty],[empty],City
SRAM (Sachs),Spectro T3/iMotion 3/Torpedo Dreigang[12],1987,[empty],3,187%,[empty],[empty],2nd gear,[empty],City
SRAM (Sachs),Neos/Spectro 3x7,1994,2000[14],3(x7),186% (434%) [15],[empty],[empty],[empty],[empty],City
SRAM (Sachs),Torpedo Duomatic/Automatic,[empty],[empty],2,136%,[empty],[empty],[empty],[empty],City
Sturmey Archer,XRF8 (W)  XRK8 (W)  XRD8 (W),2014,[empty],8,325%,[empty],[empty],1st Gear,17702170 g,City/Folding
Sturmey Archer,XRF8  XR[F/D/K]8,2007,2013,8,305%,[empty],[empty],1st Gear,14801600 g,City
Sturmey Archer,RXRF5  RXRD5  RXRK5  RXRC5  RXLRD5  TSRF5,2017,[empty],5,243%,[empty],[empty],3rd Gear,19052412 g,City
Sturmey Archer,S5 AT5 SAB Sprinter5 [S/X/XL]R[C/D/F/K]5,1966,[empty],5,225256%,[empty],[empty],[empty],12001760 g,City
Sturmey Archer,XRF4  XRK4  XRD4,2018,[empty],4,210%,[empty],[empty],1st Gear,11601630 g,City/Folding
Sturmey Archer,F[C/M/G/W],1935,1970,4,134160%,[empty],[empty],[empty],? g,City
Sturmey Archer,A[BC/T3] AW[C] S[C3/SAB] [S/X/XL]R[F/S/F]3 SEARS 50321,1933,[empty],3,178%,[empty],[empty],[empty],10001380 g,City
Sturmey Archer,[S/B]2[C] Duomatic[16],2010,[empty],2,138%,[empty],[empty],[empty],9301400 g,City
