Protocol,Creator,First public release date,License,Identity (not inc alias),Asynchronous message relaying,Transport Layer Security,Endtoend encryption,Unlimited number of contacts,Bulletins to all contacts,Onetomany routing 4,Spam protection,Group  channel or conference support,Audio/VoIP support,Webcam/Video,Batch file sharing,Media synchronisation,Serverless 6 (decentralized),Protocol
Bitmessage,Jonathan Warren,2012 Nov,free|Open standard,Alphanumeric address,Yes,Yes,Yes,Yes,No,Yes,Yes (through proofofwork),Yes,No,No,Yes,No,Yes,Bitmessage
Bonjour,Apple Inc,2002 August,Proprietary Freeware; portions under the Apache license,Username,No,No,No,yes,No,Yes|multicast,partial|Medium,No,No,No,yes,No,yes,Bonjour
Briar,Briarprojectorg,2018 May 9,free|Open standard,Public & Private key (via QR Codes),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Briar
GaduGadu,GG Network,2000 Jul 17,Proprietary,Unique number eg 12345678,Yes,Yes,No,Yes,No,No|Centralistic,Yes 5 (simple),Yes,Yes,Yes,Yes,No,No,GaduGadu
IRC,Jarkko Oikarinen,1988 Aug,free|Open standard,Nickname!Username@hostname (or "hostmask") eg user!~usr@abcom1,partial|Yes  but via a memo system that differs from the main system,partial|Yes  depending on individual server support,partial|OTR by DM to clienttoclient only,No3,No,Yes|Simplistic multicast,partial|Medium,Yes (everyone  multiple simultaneous  any size),No,No,Yes,No,No,IRC
Echo,spotonsfnet / goldbugsfnet,2013,free|Open standard,Key,Yes,Yes|Yes  optional,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Echo
Matrix,Matrixorg,2014 Sep,free|Open standard,Matrix user ID (MXID),Yes,Yes|Yes  mandatory,Optional,Yes,No,Yes,Yes (using pluggable serverside filtering modules),Yes,Yes,Yes,Yes,Yes,No,Matrix
MSNP (Windows Live Messenger  etc),Microsoft,1999 Jul,Proprietary,Email address (Microsoft account),Yes,No,No,Only for certified robots,No,No|Centralistic,Yes,Yes,Yes,Yes,Yes,Yes,No,MSNP (Windows Live Messenger  etc)
MTProto (Telegram),Telegram Messenger LLP,2013 Aug,free|Open standard,Phone number (eg 1234567890)  nickname (eg @example),yes,yes,Partial|No endtoend encryption for group chats on any client No endtoend encrypted oneonone chats on desktop clients,yes,no,yes,yes  contact blocking,yes,yes[1],no,yes,yes,No,MTProto (Telegram)
Mumble,Thorvald Natvig,1999 Jul,free|Open standard,Username,Yes,Yes,No,Only for certified robots,No,No|Centralistic,Yes,Yes,Yes,No,Yes,No,No,Mumble
OSCAR (AIM  ICQ),AOL,1997,Proprietary (Discontinued 15Dec2017)[2],Username  Email Address or UIN eg 12345678,Yes,Yes (Aim Pro  Aim Lite),No,No,No,No|Centralistic,No|clientbased,Yes (Multiple  simultaneous),Yes,Yes,Yes,No,No,OSCAR (AIM  ICQ)
RVP (Windows Messenger  etc),Microsoft,1997 Mar,Proprietary (Discontinued),Windows Active Directory Login,No,No,No,dunno,No,No|Centralistic,None,No,dunno,dunno,No,No,No,RVP (Windows Messenger  etc)
Ricochet,Invisibleim,2014 Mar,free|Open standard,Tor onion address,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Ricochet
Jami (based on DHT and SIP),Savoirfaire Linux Inc,2015 May,free|Open standard,40digit address,Yes,Yes,Yes,Yes,No,Yes,partial|Medium,Yes,Yes,Yes,Yes,No,Yes,Jami (based on DHT and SIP)
Signal Protocol,Signal Messenger,2014 Feb[3],free|Open standard,Phone number (eg 1234567890),yes,yes,yes,yes,dunno,yes,yes  contact blocking,yes,yes,yes,yes,yes,no,Signal Protocol
SIP/SIMPLE,IETF,1996,free|Open standard,user@hostname,Yes,Yes,Yes,Yes,Yes,No,partial|Medium,dunno,Yes,Yes,Yes,No,Depends on implemenation,SIP/SIMPLE
Skype,Skype,2003 Aug,Proprietary,Username,Yes,Proprietary,No,No,No,No|Centralistic,No|clientbased,Yes,Yes,Yes,Yes,No,No,Skype
Steam Friends,Valve,2003 Sep 12,Proprietary,SteamID/Username or Unique Number,Yes,Proprietary,dunno,No|No  although rising,Yes,dunno,No,Yes,Yes,No,No,No,No,Steam Friends
TOC2,AOL,2005 Sep,Proprietary (Discontinued),Username or UIN eg 12345678,Yes,No,No,No,No,No|Centralistic,No,paying members only,dunno,dunno,partial,dunno,No,TOC2
TOX (based on DHT),irungentoo (github user),2013 June,free|Open standard,Public & Private key,Yes,Yes,Yes,Yes,Yes,dunno,Yes,Yes,Yes,Yes,Yes,dunno,Yes,TOX (based on DHT)
Tuenti,Tuenti,2006,Proprietary,Username,Yes,Yes,No,Yes,dunno,Yes,Yes,Yes,Yes,Yes,Yes,dunno,No,Tuenti
