IDE,Developer,Latest stable release,Platform,License,Written in
Anjuta,Anjuta Team,June 2013,Unixlike,yes|GPL,C
Atom,GitHub,sort|20181219| 1331 / December 19  2018,Crossplatform,yes|MIT License,JavaScript
Brackets,Adobe,September 2017,Crossplatform,yes|MIT License,JavaScript  HTML  CSS
Aptana Studio,Aptana  Inc,December 2013,Crossplatform,yes|GPL  proprietary,Java  JavaScript
Codeanywhere,Codeanywhere  Inc,August 2015,Cloud IDE,proprietary,JavaScript
CodeLite,CodeLite,October 2015,Crossplatform,yes|GPL,C
Eclipse Web Tools,IBM,[empty],Windows  Linux  macOS  FreeBSD  JVM  Solaris,yes|EPL,C  Java
Komodo IDE / Edit,ActiveState,November 19  2013,Crossplatform,yes|IDEProprietary  EditMPL 11,C  C  JavaScript  Perl  Python  Tcl  XUL
NetBeans,Oracle,90 / Start date and age|2018|07|29[27],Crossplatform,yes|CDDL  GPL2,Java
Nodeclipse NTS,Nodeclipse,March 31  2014,Windows  Linux  macOS  FreeBSD  JVM  Solaris,yes|EPL,Java
NuSphere PhpED,NuSphere,June 2011,Windows,proprietary,N/A
Oracle JDeveloper,Oracle Corporation,July 2013,Windows  Linux  macOS,proprietary €“ free[28],Java
Servoy,Servoy Developer Team,June 2011,Crossplatform,proprietary|Servoy License,Java
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  Solaris  AIX  HPUX,Proprietary,C
Visual Studio,Microsoft,March 31  2016[29],Windows,proprietary,C  C#
Visual Studio Code,Microsoft,sort|20190108| 1302 / January 8  2019,Crossplatform,yes|MIT License,JavaScript
WebStorm,JetBrains,20191/ 25 March 2019[30],Crossplatform,proprietary,Java
