IDE,Developer,Latest stable release,Platform,License,Autocomplete,Debugger,Refactoring support,VCS Support
Adobe Dreamweaver,Adobe Systems,,Crossplatform,proprietary,yes,no,no,no
Aptana Studio,Aptana  Inc,December 2013  350,Crossplatform,yes|GPL  proprietary,yes,yes,no,yes|via plugins
CodeLite,CodeLite,October 2015  90,Crossplatform,yes|GPL,yes,yes,no,yes|Git  SVN
Codelobster,Codelobster,March 2018  5145,Windows,proprietary,yes,yes,no,yes|via plugins
Eclipse Che,Eclipse Foundation / Zend,47 / September 2  2016,Crossplatform,yes|EPL,yes,yes,yes,unk
Eclipse PDT,Eclipse Foundation / Zend,52 / December 20  2017,Windows  Linux  macOS  FreeBSD  JVM  Solaris,yes|EPL,yes,yes,yes,yes|CVS  Git  Mercurial  SVN (via plugins)
Geany,Geany Team,127 / March 13  2016,Windows  Linux  macOS  FreeBSD  AIX  OpenBSD  Solaris  other Unix,yes|GPL,yes,no,no,yes|via plugins
HTMLKit,Chamicom,292,Windows (all),proprietary,unk,no,unk,unk
HyperEdit,Jonathan Deutsch / Tumult,16 / April 30  2008,macOS,proprietary,yes,no,no,no
KDevelop,KDE KDevelop Team,Latest stable release/KDevelop,Crossplatform,yes|GPL,yes,no,unk,yes|CVS  Git  SVN
Komodo IDE / Edit,ActiveState,1001 (June 2016),Crossplatform,proprietary,yes,yes,yes,yes|Bazaar  CVS  Git  Mercurial  Perforce  SVN
NetBeans,Sun Microsystems / Oracle,90 / Start date and age|2018|07|29[37],Crossplatform on Netbeans,yes|CDDL  GPL,yes,yes,yes,yes|CVS  Git  Mercurial  SVN
PHPEclipse (Eclipse),PHPEclipse project team,122 / September 2009,Windows  Linux  macOS  FreeBSD  JVM  Solaris,yes|CPL,yes,yes,unk,unk
PhpED Professional,NuSphere Corporation,19111 / May  2019,Windows,proprietary,yes,yes,unk,yes|CVS  SVN  any other Windowsshell integrated
PHPEdit,WaterProof SARL,LSR | article = | latest release version = 364 | latest release date = Start date and age|2010|04|09 ,Windows,proprietary,yes,yes,no,yes|CVS  SVN
PhpStorm (IntelliJ IDEA),JetBrains,20191 / 28 March 2019,Windows  Linux  macOS  FreeBSD  OpenBSD  Solaris,proprietary,yes,yes,yes,yes|CVS  Git  Mercurial  Perforce  SVN
Quanta Plus,KDE Web Dev Team,358 / October 16  2007,Linux,yes|GPL,unk,no,unk,unk
RadPHP (formerly Delphi for PHP),Embarcadero Technologies,XE2 / August 30  2011,Windows,proprietary,yes,yes,yes,unk
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  AIX  HPUX  Solaris,Proprietary,Yes,Yes,No,Yes
Zend Studio,Zend,106 / February 2014,Crossplatform,proprietary,yes,yes,yes,yes|CVS  Git  SVN  others (via plugins)
