IDE,License,Windows,Linux,macOS,Developer,Other platforms,Latest stable release
Basic4android,proprietary,Yes,No,No,Anywhere Software,crosscompile from Windows to Android,20180320
FreeBASIC,yes|GPL,Yes,Yes,No,The FreeBASIC Development Team,Windows  FreeBSD,20190218
Gambas,yes|GPL,No,Yes,No,Benoît Minisini,FreeBSD  Cygwin,20191119
Microsoft Small Basic,proprietary,Yes,No,No,Microsoft,[empty],20151001
Microsoft Visual Studio,proprietary,Yes,Yes,Yes,Microsoft,[empty],20171019
MonoDevelop,yes|LGPL,Yes,Yes,Yes,Xamarin and the Mono community,FreeBSD  OpenBSD  Solaris,20160128
PBASIC Stamp Editor,proprietary,Yes,No,Yes,Parallax Inc,[empty],20140702[4]
PureBasic,proprietary,Yes,Yes,Yes,Fantaisie Software,AmigaOS,20151016
SharpDevelop,yes|LGPL,Yes,No,No,ICSharpCode Team,[empty],20150714
SlickEdit,Proprietary,Yes,Yes,Yes,SlickEdit,Solaris  Solaris SPARC  AIX  HPUX,2018
Xojo,proprietary,Yes,Yes,Yes,Xojo  Inc,Web,20151217
