IDE,License,Windows,Linux,macOS,Other platforms,Written in,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUIbased design,Class browser,Latest stable release,C compiler,C compiler,Refactoring
Anjuta,yes|GPL,no,yes,no,FreeBSD,C,yes,yes,yes,Yes,no,Yes,no,Yes,Yes,201603,yes,yes,no
AppCode (IntelliJ IDEA),proprietary,no,no,yes,[empty],Java,yes,yes,no,yes (Xcode profiler),no,yes,yes,yes,yes,201212,yes (Xcode toolchain),yes (Xcode toolchain),yes
CBuilder,proprietary|Proprietary  Freeware (Starter edition only),yes,no (Cross compiler planned),yes (Cross compiler),crosscompiles for Android and iOS,C and Object Pascal,yes,yes,yes,yes (AQTime Standard in package manager),yes,yes,yes,yes,yes,201703 Tokyo 102,yes,yes,yes
CodeBlocks,yes|GPL,yes,yes,yes,FreeBSD  OpenBSD  Solaris,C,yes,yes,yes,yes,yes,Yes,yes,Yes[5],yes,201712[6],yes (MinGW  custom),yes (MinGW  custom),yes
CodeLite,yes|GPL,yes,yes,yes,FreeBSD,C,yes,yes,yes,Yes (As of CodeLite 61  integration with Valgrind),no,Yes,Yes,Yes[7],yes,20181025[8],yes (GCC  Clang  VC  custom),yes (GCC  Clang  VC  custom),yes
DevC,yes|GPL,yes,no[9],no,FreeBSD,Object Pascal,yes,no,yes,yes,no,yes,no,yes,yes,201310 (Unofficial Version)  200502 (Official Version),yes,yes,no
Eclipse CDT,yes|EPL,yes,yes,yes,FreeBSD  JVM  Solaris,C  Java,yes,yes[2],yes[10],yes[11],yes[12],yes,yes,yes,yes,201803[13][14][15],yes|External,yes|External,yes
Geany,yes|GPL,yes,yes,yes,FreeBSD  AIX  OpenBSD  Solaris  other Unix,C,yes (via a plugin),no,no,no,no,Yes,no,no,yes,201904[16],yes|External,yes|External,no
GNAT Programming Studio,yes|GPL,yes,yes,yes,DragonFly BSD  FreeBSD  NetBSD  OpenBSD  Solaris,Ada,yes,yes,yes,yes,yes,yes,yes,no,yes,201606,yes,yes,yes
JetBrains CLion,proprietary|Proprietary,yes,yes,yes,[empty],Java,yes,no,yes,no,no,yes,yes,no,yes,201907[17],yes (customizable),yes (customizable),yes
KDevelop,yes|GPL,yes,yes,yes,FreeBSD  Solaris,C/C,yes,yes,yes,yes,yes,Yes,yes,yes,yes,201811,yes|External,yes|External,yes
LabWindows/CVI,Proprietary,yes,no,no,crosscompile to Linux  Phar Lap ETS,dunno,yes,yes,yes,yes,no,yes,no,yes,N/A,201612,yes,no,no
Microsoft Visual Studio,proprietary|Proprietary  Freeware (Community edition only),yes,no,no,Mac OS 7 (v2xv4x only)  Linux[18],C and C#,yes,yes,yes,yes,yes,yes,Yes,yes,yes,201904,yes,yes,yes (also plugin)[19]
MonoDevelop,yes|LGPL,yes,yes,yes,FreeBSD  OpenBSD  Solaris,C#,yes,yes,yes,no,no,yes,no,yes,yes,201611,yes (GCC  custom),yes (GCC  custom),yes
NetBeans C/C pack,yes|CDDL and GPL,yes,yes,yes,OpenBSD  Solaris,Java,yes[20],yes[20],yes[21],no[20],no,yes,no,yes,yes,201610[22],yes|External,yes|External,yes
OpenWatcom,yes|OSI Approved,yes (32bit only),partial,no,FreeBSD  DOS  OS/2,C/C,yes (GUI remote),yes,yes,yes,no,no,no,yes,yes,201006,yes,yes,no
Oracle Solaris Studio (formerly Sun Studio),proprietary|Proprietary  Freeware,no,yes,no,Solaris,dunno,yes,yes,yes,yes,yes,yes,yes,yes,yes,200811,yes,yes,yes
Qt Creator,yes|GPL / LGPL / Proprietary,yes,yes,yes,FreeBSD  Maemo  OpenBSD  Symbian,C,yes,yes,yes,yes,no,yes,yes (clang),yes,yes,201906,yes|External,yes|External,yes[23]
Rational Software Architect (Eclipse IBM),proprietary,yes,yes,no,FreeBSD  JVM  Solaris,Java,yes,yes,yes,yes,yes,yes,yes,yes,yes,201509,yes|External,yes|External,yes
SlickEdit,Proprietary,Yes,Yes,Yes,Solaris  Solaris SPARC  AIX  HPUX,C,Yes,No,Yes,No,No,Yes,No,Yes,Yes,201812,yes|External,yes|External,Yes
Ultimate TheIDE,yes|BSD,yes,yes,no,[empty],C,yes,yes,yes,no,no,yes,no,yes,yes,201512,yes|External,yes|External,no
Understand,proprietary,yes,yes,yes,Solaris,dunno,no,no,no,no,no,yes,yes,no,yes,201512,no,no,yes
Xcode (Apple),proprietary,no,no,yes,cross compiles to iOS,C  C  ObjectiveC  ObjectiveC,yes,yes,yes,yes,yes,yes,yes,yes,yes,201612,yes  llvm (llvmgcc and gcc deprecated),yes  llvm (llvmgcc and gcc deprecated),yes
IDE,License,Windows,Linux,macOS,Other platforms,Written in,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUIbased design,Class browser,Latest stable release,C compiler,C compiler,Refactoring
