[empty],Creator,Language,First public release,Latest stable version,Source code availability,License,Notes
ALGLIB[1],ALGLIB Project,C  C#  FreePascal  VBA,2006,3120 / 082017,free,GPL/commercial,General purpose numerical analysis library with C and C# interfaces
ATLAS,R Clint Whaley et al,C,2001,3103 / 072016,free,BSD,Automatically tuned implementation of BLAS Also includes LU and Cholesky decompositions
Dlib,Davis E King,C,2006,197 / 09/2017,Free,Boost,C template library; binds to optimized BLAS such as the Intel MKL; Includes matrix decompositions  nonlinear solvers  and machine learning tooling
GNU Scientific Library[2],GNU Project,C  C,1996,25 / 062018,free,GPL,General purpose numerical analysis library Includes some support for linear algebra
IMSL Numerical Libraries,Rogue Wave Software,C  Java  C#  Fortran  Python,1970,many components,nonfree,Proprietary,General purpose numerical analysis library
LAPACK[3][4],[empty],Fortran,1992,370 / 122016,free,3clause BSD,Numerical linear algebra library with long history
MKL,Intel,C  Fortran,2003,2017 update 2 / 092016,nonfree,Intel Simplified Software License,Numerical analysis library optimized for Intel CPUs
MathNET Numerics,C Rüegg  M Cuda  et al,C#,2009,320 / 072017,free,MIT License,C# numerical analysis library with linear algebra support
NAG Numerical Library,The Numerical Algorithms Group,C  Fortran,1971,many components,nonfree,Proprietary,General purpose numerical analysis library
NMath,CenterSpace Software,C#,2003,40 / November 2009,nonfree,Proprietary,Math and statistical libraries for the NET Framework
SciPy[5][6][7],Enthought,Python,2001,100 / 102017,free,BSD,Based on Python
Eigen,Benoît Jacob,C,2008,337 / 122018,free,MPL2,Eigen is a C template library for linear algebra matrices  vectors  numerical solvers  and related algorithms
Armadillo[8][9],NICTA,C,2009,9200 / 102018,free,Apache License 20,C template library for linear algebra; includes various decompositions and factorisations; syntax (API) is similar to MATLAB
librsb,Michele Martone,C  Fortran  M4,2011,12 / September 2016,free,GPL,Highperformance multithreaded primitives for large sparse matrices Support operations for iterative solvers multiplication  triangular solve  scaling  matrix I/O  matrix rendering Many variants eg symmetric  hermitian  complex  quadruple precision
