Mail server,SMTP AUTH,POP before SMTP,APOP,Filesystem,Database,LDAP,Other
agorum core,[empty],[empty],[empty],[empty],[empty],[empty],PLAIN  LOGIN  CRAM-MD5  NTLM
Apache James,[empty],[empty],[empty],[empty],[empty],[empty],PLAIN  LOGIN
Axigen,[empty],[empty],[empty],[empty],[empty],[empty],GSSAPI  CRAM-MD5  DIGEST-MD5  APOP  CLRTXT  LOGIN  PLAIN  LDAP  Internal
CommuniGate Pro,[empty],[empty],[empty],[empty],[empty],[empty],Active Directory (LDAP)  CLRTXT  CRAM-MD5  DIGEST-MD5  APOP  GSSAPI  NTLM  MSN  SESSIONID  External Authentication Plug-in. Also supports X.509 PKI auth via STARTTLS/SSL
Courier Mail Server,[empty],[empty],[empty],[empty],[empty],[empty],Managed by Courier authentication library which can use PAM  Userdb  PostgreSQL(beta)  MySQL  LDAP  and EXTERNAL.
Cyrus IMAP,[empty],[empty],[empty],[empty],[empty],[empty],Supports X.509 PKI auth via STARTTLS and EXTERNAL. Uses Cyrus SASL authentication library for support for other mechanisms: Berkeley DB  GDBM  or NDBM (sasldb)  PAM  MySQL  PostgreSQL  SQLite  LDAP  Active Directory(LDAP)  DCE  Kerberos 4 and 5  proxied IMAP auth  getpwent  shadow  SIA  Courier Authdaemon  httpform  APOP and SASL mechanisms: ANONYMOUS  CRAM-MD5  DIGEST-MD5  EXTERNAL  GSSAPI  LOGIN  NTLM  OTP  PASSDSS  PLAIN  SRP
Dovecot,[empty],[empty],[empty],[empty],[empty],[empty],Submission service supports SMTP AUTH<ref name="DovecotSubmission"/>. Offers SASL to MTAs.<ref></ref><ref></ref> POP-before-SMTP via DRAC plugin. PAM  MySQL  PostgreSQL  SQLite  LDAP  Active Directory(LDAP)  Kerberos 5  proxied IMAP auth  getpwent  shadow  SIA  BSDauth  Vpopmail. APOP and SASL mechanisms: ANONYMOUS  PLAIN  LOGIN  CRAM-MD5  DIGEST-MD5  SCRAM-SHA1  EXTERNAL  GSSAPI  NTLM  OTP  SKEY  RPA.
Eudora Internet Mail Server,[empty],[empty],[empty],[empty],[empty],[empty],CRAM-MD5  DIGEST-MD5  PLAIN  LOGIN
Exim,[empty],[empty],[empty],[empty],[empty],[empty],Cyrus SASL  Dovecot SASL  GNU SASL  CRAM-MD5  Heimdal GSSAPI  PLAIN  LOGIN  SPA
FirstClass,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Gordano Messaging Suite,[empty],[empty],[empty],[empty],[empty],[empty],PLAIN  LOGIN  CRAM-MD5  DIGEST-MD5  APOP  ODBC  Active Directory  NT Domain
GroupWise,[empty],[empty],[empty],[empty],[empty],[empty],eDirectory  Any LDAPv3-compliant source
Halon,[empty],[empty],[empty],[empty],[empty],[empty],Many mechanism (SMTP callout  Dovecot SASL  REST  etc.) via script.<ref></ref>
Haraka,[empty],[empty],[empty],[empty],[empty],[empty],Proxy to other server  any other mechanism via AUTH plugins.
IceWarp Mail Server,[empty],[empty],[empty],[empty],[empty],[empty],PLAIN  LOGIN  CRAM-MD5  NTLM
Ipswitch IMail Server,[empty],[empty],[empty],[empty],[empty],[empty],Active Directory  Windows authentication  CRAM-MD5  PLAIN  LOGIN
Kolab,[empty],[empty],[empty],[empty],[empty],[empty],Kolab employs Cyrus and Postfix and thus supports all Cyrus SASL authentication methods and X.509 PKI auth via STARTTLS and EXTERNAL.
Mailsite,[empty],[empty],[empty],[empty],[empty],[empty],NT Domain  Active Directory  PLAIN  LOGIN  NTLM  SCRAM-MD5  CRAM-MD5
Mailtraq,[empty],[empty],[empty],[empty],[empty],[empty],NT Domain  Active Directory  Local Directory
Mercury Mail Transport System,[empty],[empty],[empty],[empty],[empty],[empty],Internal  LOGIN  PLAIN  CRAM-MD5  Netware  LDAP?  partial NT Domain
Microsoft Exchange Server,[empty],[empty],[empty],[empty],[empty],[empty],Active Directory  LOGIN <ref></ref> NTLM
NetMail,[empty],[empty],[empty],[empty],[empty],[empty],eDirectory  LDAP
Oracle Communications Messaging Server,[empty],[empty],[empty],[empty],[empty],[empty],Plain  Login  CRAM-MD5  Digest-MD5  Certificate
OpenSMTPD,[empty],[empty],[empty],[empty],[empty],[empty],By default PLAIN and LOGIN over SSL only  Certificates  bsd_auth and PAM. Supports adding new authentication mechanisms through custom backends.
Postfix,[empty],[empty],[empty],[empty],[empty],[empty],Supports all Cyrus SASL authentication methods except for APOP.
Qpopper,[empty],[empty],[empty],[empty],[empty],[empty],Pluggable Authentication Modules  GSSAPI  CRAM-MD5  DIGEST-MD5  APOP  PLAIN  LDAP  CMU SASL library  Kerberos
qmail,[empty],[empty],[empty],[empty],[empty],[empty],Works with any checkpassword utility. The original supports only LOGIN and PLAIN. Alternate checkpassword utilities support authentication against PAM  LDAP  and databases.
Scalix,[empty],[empty],[empty],[empty],[empty],[empty],Internal  LOGIN  PLAIN  X.500 (DAP)  LDAP  OpenLDAP  Active Directory  eDirectory  Kerberos  etc.
Sendmail,[empty],[empty],[empty],[empty],[empty],[empty],Supports all Cyrus SASL authentication methods except for APOP. Also supports X.509 PKI auth via STARTTLS and EXTERNAL.
WinGate,[empty],[empty],[empty],[empty],[empty],[empty],NT Domain  Active Directory  CRAM-MD5  SASL PLAIN  SASL LOGIN
Zarafa,[empty],[empty],[empty],[empty],[empty],[empty],PLAIN  LOGIN using internal backends: Internal  Active Directory  any LDAP-compatible source  Unix
Zentyal,[empty],[empty],[empty],[empty],[empty],[empty],Active Directory using Dovecot SASL mechanisms
Zimbra,[empty],[empty],[empty],[empty],[empty],[empty],Internal  LDAP  Open LDAP  Active Directory
Mail server,SMTP AUTH,POP before SMTP,APOP,Filesystem,Database,LDAP,Other
Mail Server,DNSBL,SURBL,Spamtraps,Greylisting,SPF,DKIM,DMARC,Tarpit,Bayesian filters,Regular expressions,Embedded Antivirus,Embedded Antispam
agorum core,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Apache James,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],ClamAV<ref></ref>,(Apache SpamAssassin)
Axigen,[empty],<ref name="Kaspersky-anti-spam">via Kaspersky anti-spam add-on</ref>,[empty],[empty],[empty],[empty],[empty],[empty],, in SpamAssassin,[empty],CYREN,CYREN
Citadel,[empty],[empty],[empty],[empty],(via SpamAssassin),[empty],[empty],[empty],(via SpamAssassin),[empty],(ClamAV),(SpamAssassin)
Courier Mail Server,[empty],[empty],[empty],<ref name="courier-pythonfilter"></ref>,[empty],<ref>Two DKIM filters can be found in Courier-MTA's links page</ref>,<ref>With zdkimfilter</ref>,[empty],<ref name="courier-pythonfilter" />,<ref name="courier-pythonfilter" />,Clamav,<ref name="courier-pythonfilter" />
Dovecot,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Eudora Internet Mail Server,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Exim,[empty],[empty],[empty],[empty],at build time,[empty],at build time,[empty],with spamassassin etc.,[empty],any,any
FirstClass,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Symantec,[empty]
Gordano Messaging Suite,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],CYREN  Authentium,CYREN
GroupWise,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Halon,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],(via SpamAssassin),[empty],(Sophos  ClamAV),(CYREN  SpamAssassin)
Haraka,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],with spamassassin etc.,[empty],ClamAV  AVG  any via plugins,SpamAssassin  MessageSniffer
hMailServer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],ClamAV,SpamAssassin
IBM Notes,<ref></ref>,[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
IceWarp Mail Server,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ipswitch IMail Server,[empty],[empty],[empty],[empty],[empty],<ref></ref>,<ref></ref>,[empty],[empty],[empty],Symantec  BitDefender,CYREN
Kolab,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],with spamassassin etc.,[empty],(via content filter interface),(via content filter interface)
Mailsite,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mailtraq,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mercury Mail Transport System,[empty],[empty],[empty],(GreyWall extension),[empty],[empty],[empty],[empty],(SpamHalter extension),[empty],(ClamWall extension),[empty]
Microsoft Exchange Server,(2003 & later),[empty],[empty],[empty],[empty],[empty],[empty],(2003 & later),[empty],[empty],[empty],[empty]
NetMail,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OpenSMTPD,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty]
Oracle Communications Messaging Server,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],with spamassassin etc.,[empty],any,any
Postfix,[empty],[empty],[empty],[empty],[empty],<ref name=opendkim></ref>,<ref name=opendmarc></ref>,[empty],with spamassassin etc.,[empty],(via content filter interface),(via content filter interface)
qmail,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Scalix,[empty],(via Scalix AntiSpam powered by Cyren or SpamAssassin),(via Scalix AntiSpam powered by Cyren or SpamAssassin),[empty],[empty],[empty],[empty],[empty],[empty],[empty],(via Scalix ZeroHour AntiVirus powered by Cyren or ClamAV),[empty]
Sendmail,[empty],(via milter/SA),[empty],[empty],[empty],<ref name="opendkim"/>,<ref name="opendmarc"/>,[empty],with spamassassin etc.,[empty],ClamAV,SpamAssassin
SparkEngine,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UW IMAP,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WinGate,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Zarafa,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Zimbra,[empty],(via SpamAssassin),[empty],(via Cluebringer Policy Daemon),[empty],[empty],[empty],[empty],[empty],(partially),(via ClamAV  optionally any via Amavisd),(via SpamAssassin)
Mail Server,DNSBL,SURBL,Spamtraps,Greylisting,SPF,DKIM,DMARC,Tarpit,Bayesian filters,Regular expressions,Embedded Antivirus,Embedded Antispam
