Card,Width (mm),Length (mm),Thickness (mm),Volume (mm³),Mass (g)<ref>Plexus Outbursts specifications </ref>
CompactFlash  Type I,43.0,36.0,3.3,5.108,3.3
CompactFlash  Type II,43.0,36.0,5.0,7.740,[empty]
SmartMedia,37.0,45.0,0.76,1.265,2.0
MMC  MMCplus,24.0,32.0,1.4,1.075,1.3<ref>Apacer's MMC specifications </ref>
RS-MMC  MMCmobile,24.0,18.0,1.4,605,1.3
MMCmicro,14.0,12.0,1.1,185,[empty]
SD  SDHC  SDXC  SDIO,24.0,32.0,2.1,1.613,2.0
miniSD  miniSDHC  miniSDIO,20.0,21.5,1.4,602,1.0
microSD  microSDHC  microSDXC,11.0,15.0,1.0,165,0.27
Memory Stick Standard  PRO,21.5,50.0,2.8,3.010,4.0
Memory Stick Duo  PRO Duo  PRO-HG  XC,20.0,31.0,1.6,992,2.0
Memory Stick Micro (M2)  XC,12.5,15.0,1.2,225,2.0
PS Vita Memory Card,15,12.5,1.6,300,0.6<ref name="psvitacard" />
XQD card,38.5,29.8,3.8,4.360,[empty]
xD,25.0,20.0,1.78,890,2.8
USB,varies,varies,varies,varies,varies
Card,Write protection switch<ref></ref>,DRM
CompactFlash,[empty],[empty]
SmartMedia,, sticker,(optional)
MMC  RS-MMC,rowspan="2",[empty]
MMCMobile,, secureMMC,[added]
SD,<ref>Some early SD cards may not have a write protection switch.</ref><ref>The write protect switch signals to the host  which is responsible for write protection. The write protect switch is not connected to the internal circuitry of the card. (SD Card Simplified Physical Layer Specification )</ref>,rowspan="3"   CPRM
miniSD,[empty],[added]
microSD,[empty],[added]
Memory Stick Standard  PRO,[empty],, MagicGate
Memory Stick Duo  PRO Duo,[empty],, MagicGate
Memory Stick PRO-HG Duo,[empty],, MagicGate
Memory Stick Micro (M2),[empty],, MagicGate
PS Vita Memory Card,[empty],, Proprietary
xD,[empty],<ref></ref>
USB,Sometimes,[empty]
rowspan="2",CF,CFast,SM,MMC,Memory Stick,SDSC,SDHC,SDXC,xD,XQD
I,II,[empty],[empty],MMC,RS-MMC  MMCmobile,Std,PRO,PRO Duo,Micro,SDSC
ExpressCard,E<ref name="cf2expresscard"></ref>,E<ref name="cf2expresscard"/>,[empty],[empty],E<ref name="exp12in2">DataFab EXP 12 in 2 </ref>,[empty],E<ref name="exp12in1">DataFab exp 12 in 1 </ref>,E<ref name="exp12in1"/>,E<ref name="exp12in2"/>,[empty]
PCI Express Mini Card,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
mSATA,[empty],[empty],XM,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PC Card,EM<ref name="cf2pc"></ref>,EM<ref name="cf2pc"/>,[empty],E<ref name="transcendusa1"></ref>,E<ref name="5in1-pc"></ref>,[empty],E<ref name="5in1-pc"/>,E<ref name="5in1-pc"/>,[empty],[empty]
PCMCIA,EM<ref name="cf2pc" />,EM<ref name="cf2pc"/>,[empty],E<ref name="transcendusa1"/>,E<ref name="5in1-pc" />,[empty],E<ref name="5in1-pc"/>,E<ref name="5in1-pc"/>,[empty],[empty]
CF I,+,+,[empty],E,E<ref name="sd2cf"></ref>,[empty],E<ref name="ms2cf"></ref>,E<ref name="ms2cf"/>,E<ref name="duo2cf"></ref>,[empty]
CF II,[empty],+,[empty],E,E<ref name="sd2cf"/>,[empty],E<ref name="ms2cf"/>,E<ref name="ms2cf"/>,[empty],[empty]
CFast,[empty],[empty],+,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SM,[empty],[empty],[empty],+,[empty],[empty],[empty],[empty],[empty],[empty]
xD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XQD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MMC,[empty],[empty],[empty],[empty],+,M,[empty],[empty],[empty],[empty]
MS,[empty],[empty],[empty],[empty],X<ref name="sd2ms"></ref>,[empty],+,+,M,M
SDSC,[empty],[empty],[empty],[empty],D,M,[empty],[empty],[empty],[empty]
miniSD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
microSD,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SDHC,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
miniSDHC,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
