Client,Primary developers,Cost,Software license,User interface,Programming language,Computing platform,Website
AndroidChat<ref name="Rough"></ref>,[empty],[empty],GNU GPL,TUI  GUI,Java,Android,https://code.google.com/p/androidchat/
Mobile Colloquy,Kiji Roshi,[empty],BSD License,GUI,Objective-C,iOS,http://colloquy.mobi
fIRC,Laurence Muller,[empty],GNU GPL,GUI,Java,Android,https://code.google.com/p/firc-chat/
Igloo,Jordan Koch,[empty],[empty],GUI,Swift,iOS,https://iglooirc.com/
IRCCloud,IRCCloud Ltd.,<ref>Free version is limited to: 2 connections outside their IRC server; 2 hours of persistent connection while idle (after the first 7 days); 100MB drag and drop file sharing; low-priority support; and no access to passworded servers.</ref>,Apache 2.0,GUI,Objective-C  Java,iOS  Android,https://www.irccloud.com/
jmIrc,Juho Vähä-Herttua,[empty],GNU GPL,GUI,Java,Java ME,http://jmirc.sourceforge.net/
k-IRC,Armond Avanes,[empty],GNU GPL,GUI,Java,Java ME,https://web.archive.org/web/20090331201338/http://sourceforge.net/projects/kirc/
microirc,[empty],[empty],GNU GPL,GUI,C ?,Windows Mobile 5 (and above),https://code.google.com/p/microirc/
Virca,[empty],[empty],GNU GPL,TUI,Java,Java ME,http://www.vidarholen.net/contents/virca/
wIRC,[empty],[empty],GNU GPL,GUI,C & JavaScript,WebOS,http://www.webos-internals.org/wiki/Application:WIRC
WLIrc,Sverre Kristian Valskrå,[empty],GNU LGPL,GUI,Java,Java ME,http://wirelessirc.sourceforge.net/
Yaaic,Sebastian Kaspari,[empty],GNU GPL,GUI,Java,Android,http://www.yaaic.org/
Simple IRC,The Linux Geek,[empty],GNU GPL,GUI,Java,Android,http://github.com/jcjordyn130/simpleirc
zsIRC,Gargaj,[empty],3-clause BSD,GUI,C++,Windows Mobile,http://www.zsIRC.com
Client,Primary developers,Cost,Software license,User interface,Programming language,Computing platform,Website
Client,CTCP,DCC,IPv6,SSL,TLS,OCSP,CRL
AndroidChat,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mobile Colloquy,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
fIRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
jmIrc,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
k-IRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Virca,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
wIRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WLIrc,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Yaaic,<ref>Does not reply to any CTCP message as of version 1.1.</ref>,[empty],[empty],[empty],[empty],[empty],[empty]
Simple IRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
zsIRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Client,CTCP,DCC,IPv6,SSL,TLS,OCSP,CRL
Client,CHAT,Whiteboard,SEND,GET,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC
AndroidChat,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mobile Colloquy,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
fIRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
jmIrc,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
k-IRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Virca,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
wIRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WLIrc,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Yaaic,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Simple IRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
zsIRC,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Client,CHAT,Whiteboard,SEND,GET,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC
