Camera model,Camera line,Manufacturer,Introduced,Weight,MOS/Sync,Noise Level
Eyemo 71K,Eyemo,Bell and Howell,1925,convert|11|lb|abbr=on,MOS,N/A
Arriflex 352C,Arriflex 35II,Arri,1964,convert|135|lb|abbr=on  with empty magazine,MOS,N/A
Arriflex 35BL1,Arriflex 35BL,Arri,1972,convert|285|lb|abbr=on  with empty magazine,Sync,26 dB
PanaflexX,Panaflex,Panavision,1974,convert|205|lb|abbr=on,Sync,<24 dB
Arriflex 35BL2,Arriflex 35BL,Arri,1975,convert|285|lb|abbr=on  with empty magazine,Sync,26 dB
Panaflex Gold II,Panaflex,Panavision,1976,convert|244|lb|abbr=on  with short eyepiece,Sync,<24 dB
Arriflex 35BL3,Arriflex 35BL,Arri,1980,convert|287|lb|abbr=on  with empty magazine,Sync,22 dB
Arriflex 353C,Arriflex 35III,Arri,1982,convert|88|lb|abbr=on; convert|135|lb|abbr=on  with empty magazine,MOS,N/A
Moviecam SuperAmerica,Moviecam SuperAmerica,Moviecam,1984,convert|29|lb|abbr=on,Sync,20 dB
Arriflex 35BL4,Arriflex 35BL,Arri,1986,convert|309|lb|abbr=on  with empty magazine,Sync,22 dB
Panaflex Platinum,Panaflex,Panavision,1986,convert|24|lb|abbr=on,Sync,<22 dB
Panaflex Panastar II,Panaflex Panastar,Panavision,1987,convert|244|lb|abbr=on,MOS,N/A
Arriflex 35BL4s,Arriflex 35BL,Arri,1988,convert|319|lb|abbr=on  with empty magazine,Sync,20 dB
Arriflex 535,Arriflex 535,Arri,1990,convert|216|lb|abbr=on  body only; convert|294|lb|abbr=on  with finder; convert|364|lb|abbr=on  with finder and empty magazine,Sync,19 dB
Moviecam Compact,Moviecam Compact,Moviecam,1990,convert|136|lb|abbr=on,Sync,<20 dB
Arriflex 535B,Arriflex 535,Arri,1992,convert|26|lb|abbr=on  with empty magazine,Sync,19 dB
Arriflex 435,Arriflex 435,Arri,1995,convert|143|lb|abbr=on  without magazine,MOS,N/A
Arriflex 435ES,Arriflex 435,Arri,1995,convert|143|lb|abbr=on  without magazine,MOS,N/A
Moviecam SL,Moviecam SL,Moviecam,1995,convert|825|lb|abbr=on,Sync,25 dB
Aaton 35III,Aaton 35,Aaton,1997,convert|16|lb|abbr=on  with full magazine and onboard battery,Sync,30 dB (4 perf)  26 dB (3 perf)
Panaflex Millennium,Panaflex Millennium,Panavision,1997,convert|175|lb|abbr=on,Sync,<19 dB
Panaflex Millennium XL,Panaflex Millennium,Panavision,1999,convert|118|lb|abbr=on,Sync,<23 dB
Arricam LT,Arricam,Arri,2000,convert|87|lb|abbr=on  body only; convert|1156|lb|abbr=on  with finder,Sync,<24 dB
Arricam ST,Arricam,Arri,2000,convert|119|lb|abbr=on  body only; convert|1795|lb|abbr=on  with finder,Sync,<20 dB
Arriflex 435 Advanced,Arriflex 435,Arri,2001,convert|143|lb|abbr=on  without magazine,MOS,N/A
Aaton 353P,Aaton 35,Aaton,2002,convert|16|lb|abbr=on  with full magazine and onboard battery,Sync,30 dB (4 perf)  24 dB (3 perf)
Arriflex 235,Arriflex 235,Arri,2004,convert|77|lb|abbr=on  with viewfinder,MOS,N/A
Arriflex 435 Xtreme,Arriflex 435,Arri,2004,convert|143|lb|abbr=on  without magazine,MOS,N/A
Aaton Penelope,Aaton Penelope,Aaton,2008,convert|17|lb|abbr=on  with full magazine and onboard battery,Sync,23 dB (3 perf)  22 dB (2 perf)
