Camera model,Reflex?,Design,Location,Adjustment,Angles
Eyemo 71K,No  but many conversions,Halfmoon,Beside gate,fixed,160°; many conversions for different angles
Arriflex 352C,Yes,Butterfly,Underneath gate,fixed,180°  although the V/B variant is adjustable from 0° to 165°
Arriflex 35BL1,Yes,Butterfly,Underneath gate,fixed,180°
PanaflexX,Yes,Butterfly,Beside gate,manually while running or in standby,between 50° and 200°  continuously adjustable
Arriflex 35BL2,Yes,Butterfly,Underneath gate,fixed,180°
Panaflex Gold II,Yes,Butterfly,Beside gate,manually while running or in standby,between 50° and 200°  continuously adjustable
Arriflex 35BL3,Yes,Halfmoon,Underneath gate,manual,stops at 144°  1728°  and 180°
Arriflex 353C,Yes,Butterfly,Underneath gate,manual,0° to 165° with stops every 15°
Moviecam SuperAmerica,Yes,Halfmoon,Underneath gate,manual,stops at 45°  90°  120°  144°  1728°  and 180°
Arriflex 35BL4,Yes,Halfmoon,Underneath gate,manual,stops at 144°  1728°  and 180°
Panaflex Platinum,Yes,Butterfly,Beside gate,electronic or manually while running or in standby,between 50° and 200°  in 01° stops
Panaflex Panastar II,Yes,Butterfly,Beside gate,electronic or manually while running or in standby,between 45° and 180°  in 01° stops
Arriflex 35BL4s,Yes,Halfmoon,Underneath gate,manual,stops at 144°  1728°  and 180°
Arriflex 535,Yes,Halfmoon,Underneath gate,electronic,between 11° to 180°  in 001° stops
Moviecam Compact,Yes,Halfmoon,Underneath gate,manual,stops at 45°  90°  120°  144°  1728°  and 180° 225° available on newer models
Arriflex 535B,Yes,Halfmoon,Underneath gate,manual,stops every 15° between 15° and 180°  also stops at 144° and 1728°
Arriflex 435,Yes,Halfmoon,Underneath gate,manual,stops every 15° between 30° and 135°  also stops at 112°  225°  144°  1728°  and 180°
Arriflex 435ES,Yes,Halfmoon,Underneath gate,electronic,between 112° to 180°  in 01° stops
Moviecam SL,Yes,Halfmoon,Underneath gate,manual,stops at 225°  45°  90°  120°  144°  1728°  and 180°
Aaton 35III,Yes,Halfmoon,Underneath gate,manual,stops at 144°  150°  1728°  and 180°
Panaflex Millennium,Yes,Butterfly,Beside gate,electronic or manually while running or in standby,between 112° and 180°  in 01° stops
Panaflex Millennium XL,Yes,Butterfly,Beside gate,electronic or manually while running or in standby,between 112° and 180°  in 01° stops
Arricam LT,Yes,Halfmoon,Underneath gate,electronic,between 0° and 180°  in 01° stops
Arricam ST,Yes,Halfmoon,Underneath gate,electronic,between 0° and 180°  in 01° stops
Arriflex 435 Advanced,Yes,Halfmoon,Underneath gate,electronic,between 112° and 180°  in 01° stops
Aaton 353P,Yes,Halfmoon,Underneath gate,manual,stops at 144°  150°  1728°  and 180°
Arriflex 235,Yes,Halfmoon,Underneath gate,manual,stops every 15° between 45° and 150°  also stops at 144°  1728°  and 180°
Arriflex 435 Xtreme,Yes,Halfmoon,Underneath gate,electronic,between 112° and 180°  in 01° stops
