Camera model,Movement type,Pulldown claws,Registration pins,Frame rate (forward),Frame rate (reverse),Motor,Pulldown,Pitch control?
Eyemo 71K,clockwork mechanism,1,0,4€“50 frame/s,No,springwound  several motors available,4 perf,No
Arriflex 352C,camdriven,1,0,depends on motor; speeds ranging from 5€“80 frame/s available,No,several available  including 32V DC handgrip  16V DC governor  2428V DC and 16V DC variables,4 perf,No
Arriflex 35BL1,camdriven,4,2,5€“100 frame/s,No,12V DC  Xtal at 24  25  and 30 frame/s,4 perf,No
PanaflexX,Mitchelldesign  cam driven,2,2,4€“34 frame/s,No,24V DC brushed  Xtal at 24  25  and 2997 frame/s,4 and 3 perf,Yes
Arriflex 35BL2,camdriven,2,2,5€“50 frame/s,No,12V DC  Xtal at 24  25  and 30 frame/s,4 perf,No
Panaflex Gold II,Mitchelldesign  cam driven,2,2,4€“34 frame/s,No,24V DC brushed  Xtal at 24  25  and 2997 frame/s,4 and 3 perf,Yes
Arriflex 35BL3,camdriven,2,2,5€“50 frame/s,No,12V DC  Xtal at 24  25  and 30 frame/s,4 perf,No
Arriflex 353C,camdriven,1 (dualpin),1,4€“100 frame/s; some models can reach 130 frame/s,4€“100 frame/s; some models can reach 130 frame/s,12/24V DC  Xtal at 24  25  and 30 frame/s,4 and 3 perf,No
Moviecam SuperAmerica,compensating link movement,2,2,12€“32 frame/s in 1 frame/s increments; 1€“50 frame/s in 0001 frame/s increments with speedbox,12€“32 frame/s in 0001 frame/s increments with speedbox,24V DC microprocessorcontrolled  Xtal at all speeds,4 perf,Yes
Arriflex 35BL4,camdriven,2,2,5€“40 frame/s,No,12V DC  Xtal at 24  25  and 30 frame/s,4 perf,No
Panaflex Platinum,Mitchelldesign  cam driven,2,2,4€“36 frame/s in 01 frame/s increments,4€“36 frame/s in 01 frame/s increments,24V DC brushed  Xtal at all speeds,4 and 3 perf,Yes
Panaflex Panastar II,Mitchelldesign  cam driven,4,2,4€“120 frame/s in 1 frame/s increments,4€“120 frame/s in 1 frame/s increments,24V DC brushed  Xtal at all speeds,4 and 3 perf,Yes
Arriflex 35BL4s,sevenlink movement,2,2,5€“40 frame/s,No,12V DC  Xtal at 24  25  and 30 frame/s,4 and 3 perf,Yes
Arriflex 535,sevenlink movement,2,2,3€“50 frame/s in 0001 frame/s increments; 1 frame/s if phase button held,3€“50 frame/s in 0001 frame/s increments,24V DC microprocessorcontrolled  Xtal at 1  24  25  2997  and 30 frame/s forwards,4 and 3 perf,Yes
Moviecam Compact,compensating link movement,2,2,12€“32 frame/s in 1 frame/s increments; 2€“50 frame/s in 0001 frame/s increments with speedbox,12€“32 frame/s in 0001 frame/s increments with speedbox,24V DC microprocessorcontrolled  Xtal at all speeds,4 perf; 3 perf available for Mk 2,Yes
Arriflex 535B,sevenlink movement,2,2,3€“60 frame/s in 0001 frame/s increments; 1 frame/s if phase button held,3€“60 frame/s in 0001 frame/s increments,24V DC microprocessorcontrolled  Xtal at all speeds,4 and 3 perf,Yes
Arriflex 435,fivelink movement,2 (3pin),2,1€“150 frame/s in 0001 frame/s increments up to 100 frame/s and 001 frame/s increments after,1€“150 frame/s in 0001 frame/s increments up to 100 frame/s and 001 frame/s increments after,DC quartzcontrolled  Xtal at all speeds,4 and 3 perf,Yes
Arriflex 435ES,fivelink movement,2 (3pin),2,1€“150 frame/s in 0001 frame/s increments up to 100 frame/s and 001 frame/s increments after,1€“150 frame/s in 0001 frame/s increments up to 100 frame/s and 001 frame/s increments after,DC quartzcontrolled  Xtal at all speeds,4 and 3 perf,Yes
Moviecam SL,compensating link movement,2,2,12€“40 frame/s in 1 frame/s increments; 2€“40 frame/s in 0001 frame/s increments with speedbox,12€“32 frame/s in 0001 frame/s increments with speedbox (Compact mags only),24V DC microprocessorcontrolled  Xtal at all speeds,4 perf,Yes
Aaton 35III,magnetic drive wheels between body and mag,coplanar,No,332 frame/s in 0001 frame/s increments,No,triphase brushless  Xtal at all speeds,4 and 3 perf,Yes
Panaflex Millennium,Mitchelldesign  cam driven,2,2,3€“50 frame/s in 0001 frame/s increments,3€“50 frame/s in 0001 frame/s increments,dual brushless for shutter and movement  single variable for shutter angle  Xtal all speeds,4 and 3 perf,Yes
Panaflex Millennium XL,Mitchelldesign  cam driven,2,2,3€“40 frame/s in 0001 frame/s increments,No,dual brushless for shutter and movement  single variable for shutter angle  Xtal all speeds,4 and 3 perf,Yes
Arricam LT,fivelink movement,2,2,1€“48 frame/s in 0001 frame/s increments; speeds with decimal places must be set with accessories,1€“32 frame/s in 0001 frame/s increments; speeds with decimal places must be set with accessories,dual brushless for shutter and movement  Xtal all speeds,4  3  and 2 perf,Yes
Arricam ST,fivelink movement,2,2,1€“60 frame/s in 0001 frame/s increments; speeds with decimal places must be set with accessories,1€“32 frame/s in 0001 frame/s increments; speeds with decimal places must be set with accessories,dual brushless for shutter and movement  Xtal all speeds,4  3  and 2 perf,Yes
Arriflex 435 Advanced,fivelink movement,2 (3pin),2,01€“150 frame/s in 0001 frame/s increments up to 100 frame/s and 001 frame/s increments after,01€“150 frame/s in 0001 frame/s increments up to 100 frame/s and 001 frame/s increments after,DC quartzcontrolled  Xtal at all speeds,4 and 3 perf,Yes
Aaton 353P,magnetic drive wheels between body and mag,coplanar,No,240 frame/s in 0001 frame/s increments,No,triphase brushless  Xtal at all speeds,4 and 3 perf,Yes
Arriflex 235,fivelink movement,1 (dualpin),1,1€“75 frame/s in 0001 frame/s increments,25 frame/s (can't be used with shoulder mags or older 200' mags),DC quartzcontrolled  Xtal at all speeds,4  3  and 2 perf,No
Arriflex 435 Xtreme,fivelink movement,2 (3pin),2,01€“150 frame/s in 0001 frame/s increments up to 100 frame/s and 001 frame/s increments after,01€“150 frame/s in 0001 frame/s increments up to 100 frame/s and 001 frame/s increments after,DC quartzcontrolled  Xtal at all speeds,4 and 3 perf,Yes
