Name,License,Deployment,Platforms
netTransformer,GPL,Desktop,Windows/Linux/macOS
OpenNMS,AGPLv3,Desktop,Linux  macOS  others
SolarWinds,Proprietary,Desktop,Windows
PathSolutions,Proprietary,Desktop,Windows
Spiceworks,Proprietary,Desktop,Windows
Auvik,Proprietary,Desktop,Linux  Windows
[added],[added],[added],[added]
Name,License,Deployment,Platforms
[added],[added],[added],[added]
Cacoo (Software),Proprietary,SaaS,Windows  macOS
ConceptDraw PRO,Proprietary,Desktop,Windows  macOS
Microsoft Visio,Proprietary,Desktop,Windows
SmartDraw,Proprietary,Desktop,Windows
Lucidchart,Proprietary,SaaS,Linux  macOS  Windows
Gliffy,Proprietary,SaaS,Linux  macOS  Windows
[added],[added],[added],[added]
