Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
Argus  The all seeing,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes|Viewing  Acknowledging  Reporting,Yes,Unknown,Perl,Flat file  Berkeley DB,free|Artistic License,No,Yes,Yes,201302,37
Avaya VPFM,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,Unknown,MySQL,nonfree|Commercial,Yes,Yes,Yes,[added],[added]
Cacti,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,PHP,RRDtool  MySQL,GPLlic,optional|Via plugin,Yes,Yes,20190607,124
Check MK,optional|Via plugin,Yes,Yes,Yes,optional|Via plugin,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,C  Python,RRDtool,GPLlic,optional|Via plugin,Yes,Yes,20191111,160p6
collectd,No,No,No,No,Yes|Push model; multicast possible,Yes,Yes,Yes,Yes,Yes,No,Yes|Viewing,Yes,No,C,RRDtool,GPLlic|GPLv2,No,Partial|Apache ACL,Yes,20191113,510
Cruz,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,Java  C  NET,MySQL  Oracle,nonfree|Commercial,Yes,Yes,Yes,201902,800
Entuity,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,C  C  Java,MariaDB,Nonfree|Commercial,Yes,Yes,Yes,20171222,165 P3
FreeNATS,Yes,Yes,No,No,Yes,No,No,optional|Via plugin,Yes,Yes|In PHP Code,No,Yes|Full Control,No,No,PHP,MySQL,GPLlic,No,Yes,Unknown,20110709,1133b
Ganglia,No,Yes,Yes,No,Yes2Via gmond check in,No,Optional|Via plugin,No,Yes,No,No,Yes|Viewing,Yes,Unknown,C  PHP,RRDtool,BSDlic,Yes,No,Unknown,20160614,372
Hinemos,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,Java,PostgreSQL,GPLlic,Yes,Yes,Yes,20170609,601
