Software,Type,Version,Operating systems,Developer,License,FDA cleared,Supported Devices
BetterFly,Neurofeedback,Clinic 20; Home 20,Windows,BetterFly Neurofeedback,Proprietary,Classification by device,GENIUS  UWIZ  PocketNeurobics PendantEEG
BioEra,Biofeedback visual designer,20,Windows  Android,PROATECH LLC,Proprietary,No (but basis of Cygnet and others),Pocket Neurobics [1] BrainQuiry [2] NeuroAmp [3] Neurobit Optima  Neurobit Optima   Brainmaster [4] QDS[2]
BioExplorer,Neurofeedback,15,Windows,Cyberevolution  Larry Janow,Proprietary,No "Intended for personal use",Brainmaster [4] BrainQuiry [2] NeuroAmp [3] Neurobit Optima  Neurobit Optima   J&J [4] NeuroSky [2]  Pocket Neurobics [1] QDS [2] Telediagnostic Systems[4]
BioGraph Infiniti,Neurofeedback/Biofeedback,610,Windows,Thought Technology Ltd  Dr Hal Myers,Proprietary,Yes,Thought Technology[4]
BioTrace,Neurofeedback  Biofeedback  QEEG,2015,Windows,Mind Media BV,Proprietary,Medical class II,NeXus by Mind Media[2] 4  10 (MKII)  32
Brainathalon,Game,dunno,Java,Amy Palke,free|Open source,No,[empty]
BrainBay,Neurofeedback MIDI  particle display,dunno,Windows,Chris Veigl and Jeremy Wilkerson,free|GPL,No,Neurobit Optima  Neurobit Optima and more
BrainFeedback Pro,Neurofeedback,v12,Windows,Deymed Diagnostic,Proprietary,Yes,Deymed
BrainMaster,Neurofeedback  Biofeedback  and QEEG; optional live zscores (ANI or BrainDX)  Live sLORETA Projector,various including BrainAvatar Thirdparty SW includes NeuroGuide  BioExplorer  BioERA  BrainPaint  SKIL  LENS  EEGer  BrainTrain  OpenVibe  EEGStudio,Windows,BrainMaster Technologies  Inc Thomas F Collura,Proprietary|Proprietary; includes optional nocost Application Programming Interfaces (API),FDA 510(k) clearance  ISO 13485 certification  and CE marking in Europe,Brainmaster[4] 2E  2EW  2EB  Atlantis  Discovery  MINIQ
BrainPaint®,Evidence Based Neurofeedback  with a validated[5] and replicated[6][7][8][9][10][11][12][13][14][15][16][17][18][19][20][21] symptom based evaluation tool,20 Includes BrainPrint„¢  Alpha Theta  BrainHeart Coherence  Couples Synchrony  Nonlinear  Slow Cortical Potential  Coherence training and all other frequency rewards and inhibits,N/A,BrainPaint  Inc William C Scott,Proprietary|Proprietary,FDA 510(k) clearance  ISO 13485 certification  and CE marking in Europe,Brainmaster[4] 2E  2EW  2EB  Atlantis  Discovery
BWView,Brainwave viewer,105,Linux  Windows,Jim Peters,free|GPL,No,[empty]
Cygnet,Neurofeedback/Biofeedback Neurofeedback Frequencyband and SCP protocols according to Othmer  particularly SMRBeta  ILF 12 channel  Synchrony  Alpha Theta with EEG NeuroAmp one or two channel protocols  with x23 or x39 optional 19 or 31 channels Biofeedback pIR HEG training with passiveinfrared triple sensor pIRx3; HRV  GSR  Temp with Combination Sensor,20,Windows (any version),Developer BEE Systems GmbH Manufacturer Corscience GmbH&CoKG Distribution BEE Medic Europe  BEE Medic EMEA  BEE Medic USA,Proprietary,FDA class II  CE class IIa; including Cygnet Bio/Neurofeedback Software,NeuroAmp[3] Bio/Neurofeedback device plus addons NeuroAmp x23 (23channel digital EEG device) NeuroAmp x39 (39channel digital EEG device) pIRx3 (3channel passive infrared sensor) tactile feedback Combination Sensor (HRV  GSR  Temperature)
Dual Drive Pro,Biofeedback GSR & Temp,30,Windows,Somatic Vision Inc,Proprietary,Unknown (not EEG),[empty]
eBioo,Neurofeedback & Analysis one  two and four channel training  Amplitude  relative Amplitude  Coherence  BandRatio  AsymmetryinhibitTraining and more ,15,Windows,Softdynamics  Geoffrey Arens,Proprietary,No €“ not stated or in FDA database,Pocket Neurobics [1] Neurobit Optima [2] Brainmaster[4]
EEGer4,Neurofeedback & Analysis,430,Windows,EEG Software LLC,Proprietary,FDA Class II,J&J [4] Telediagnostic Systems [4] Phoenix Neuro Systems [4] Thought Technology [4] Brainmaster [4] Brainquiry [2] Pocket Neurobics [1] external analog amplifiers
ElectricGuru,Neurofeedback,04,Windows,Rob Sacks,free|Open source,No,[empty]
EventIDE,Visual environment for designing behavioral experiments and mental games with realtime neurofeedback control and signal processing,10,Windows,Okazolab Ltd,Proprietary,No,The majority of popular bioamplifiers
LENSware,Neurofeedback &Analysis,3,Windows,OchsLabs,Proprietary,FDA Class II Exempt,Ochslabs A200 amplifier
Mind WorkStation,Neurofeedback  Biofeedback  and EEGDriven Entrainment,13,Windows,Transparent Corporation,Proprietary,No but can use Bioexplorer  Biograph  BioEra links,See Bioexplorer  Biograph  BioEra
MindReflector,Neurofeedback,11,Windows,MindReflector Technologies  LLC,Proprietary,No,NeuroSky[2]
NeuroField,Neurofeedback & Analysis,875,Windows,NeuroField  Inc,Proprietary,FDA Class II[22],X3000 Plus[23] and Q20 EEG[24][25]
neuromore Studio,Customizable Biofeedback  protocol designing and automated therapy solution,120,Windows  Mac OS  Linux  Android  iOS,neuromore Inc,Proprietary,No,[added]
NeurOptimal,Neurofeedback,30,Windows,Valdeane W Brown  PhD,Proprietary,Unknown €“ not stated or in FDA database,zAmp[2] from Zengar
NeuroRT Suite Koala Modulo,Realtime Processing  Self Neuromodulation  Bio/Neurofeedback,22,Windows  Linux  Android,Mensia Technologies,Proprietary,Medical device CE class IIa,ANT All devices Biosemi ActiveTwo Mk I and ActiveTwo Mk II Brainmaster Atlantis and Discovery 24 Brain Products ActiCHamp  BrainAmp series  QuickAmp and vAMP Cognionics Cognionics64 EGI NetAmps 300 Emotiv EPOC gTec gMobilab and gUSBamp MindMedia NeXus32  NeXus10 Mitsar EEG 202; NeuroElectrics Enobio OpenEEG ModularEEG Shimmer TMSi Porti  Refa  MOBITA  MOBI  MOBI mini Wearable Sensing DSI24 and DSI6
NeuroServer,Raw EEG to TCP/IP  EDF converter,074,Linux  Windows,[Rudi Cilibrasi],free|GPL,No,[empty]
OpenViBE,BCI  Visual Designer  Analysis  Neurofeedback,018,Linux  Windows,INRIA,free|AGPL3,No,List of compatible systems
SmartMind,Neurofeedback,v2010,Windows,BrainTrain  Inc,Proprietary,Unknown €“ not stated or in FDA database,Smartmind [2] Brainmaster [4] Thought Technology [4] J&J [4] Pocket Neurobics [1] NeuroSky[2]
Myndlift,Neurofeedback onechannel remote amplitude training,?,Android,Myndlift LTD,Proprietary,No,Muse
Vilistus,Neurofeedback/Biofeedback,v525,Windows,Stephen Clark,Proprietary,No,Vilistus
