Provider,Winref|1|1,Linuxref|1|1,Macref|1|1,Androidref|1|1,iOSref|1|1,Encrypted storage,Zero knowledgeref|2|2,Secure Key Managementref|3|3[1],Limited MB planref|4|4,Unlimited MB planref|4|4,$/MB planref|4|4,Unlimited BW ref|16|16,Provider,Cloud hosted Net Driveref|5|5,Syncref|7|7,Autodetect changesref|12|12,Public file hostingref|8|8,physical media restoreref|9|9,Server location(s)ref|10|10,Free online storage (nontrial)ref|13|13,Maximum perfile size,External hard drive supportref|14|14,Hybrid Optionref|15|15,Green Hosting,OpenSaaS
Acronis,yes,partial|Enterprise only  with limited data,yes,yes,yes,yes,Optional[2],yes,optional (Enterprise),yes (Only win/mac),no,yes,Acronis,no,yes,[empty],[empty],[empty],USA  EUR,no,yes|No limit,yes,[empty],[empty],[empty]
Backblaze,yes,no,yes,yes,yes,yes[3],no[3] Company must be given passphrase (to private key) to restore any data,No,no,yes,no,yes,Backblaze,[empty],[empty],yes,yes,yes,USA  EUR,no,yes|No limit,yes,no,[empty],[empty]
Barracuda Backup Service,yes,yes,yes,[empty],[empty],yes[4],no,?,no fee per computer,no,yes,[empty],Barracuda Backup Service,yescitation needed|date=June 2014,yes,[empty],no,yes,USA  Canada  APAC  EUR,no,[empty],[empty],dunno,[empty],[empty]
Baidu Cloud,yes,no,yes,yes,yes,yes[5],no,?,no,no,yes,[empty],Baidu,[empty],yes,yes,yes,[empty],CHN,yes | 2 TB ,no | 4 GB (Nonmember) 10 GB (Member) 20 GB (Super Member) [6],[empty],dunno,[empty],[empty]
Box,yes,partial|Partial (no offline sync  access through DAV server)[7][8],yes,yes,yes,yes[9],no[9],?,yes,no,[empty],[empty],Box,yes[10],yes[11],yes,[empty],[empty],USA,yes|10 GB,no|250 MB (Free) 5 GB (Paid),[empty],[empty],[empty],[empty]
Carbonite,yes,no,yes,yes,yes,yes,partial  optional for Windows only[12],?,yes (Business only),yes (Home only),no[13],yes [14],Carbonite,[empty],yes,yes,yes[15],[empty],USA,no,no|4 GB,yes[16],yes,[empty],[empty]
CloudBerry Backup,yes,yes,yes,no,no,yes[17],yes[17]Failed verification|date=August 2018,yes,[empty],[empty],[empty],yes,CloudBerry Backup,yes,yes,yes,[empty],yes,Global,no,yes|No limit,yes,yes,[empty],[empty]
CloudMe,yes,yes,yes,yes,yes,no  but 3rd party apps availablecitation needed|date=July 2014,[empty],?,[empty],no,[empty],yes,CloudMe,yes[18],yes,yes,[empty],[empty],SWE,yes|3 GB,no|150 MB (Free Accounts) No limit (Premium Accounts),yes|No Limit,No,[empty],[empty]
Comodo Backup,yes,no,no,[empty],[empty],yes[19],no,?,yes,no,yes (5),[empty],Comodo Backup,no,no,[empty],no,[empty],USA,no,[empty],[empty],[empty],[empty],[empty]
CrashPlan,yes,yes,yes,yes,yes,yes[20],yes  except for web restore[21],yes,no,yes,no,yes[22],CrashPlan,no,no,yes[23],no,yes,USA  AUS[24],no,yes|No Limit,yes[25],no,[empty],[empty]
Dropbox,yes,partial|Does not work on filesystems other than ext4,yes,yes,yes,yes,no[26],?,[empty],[empty],yes,[empty],Dropbox,no,yes,yes,yes,[empty],[empty],yes|2 GB,yes|No Limit[27],[empty],[empty],[empty],no
Dropmysite,yes,yes,yes,[empty],[empty],yes,no,?,yes,no,no,yes,Dropmysite,[empty],yes,yes,yes,[empty],Global,yes|2 GB,yes|No limit,[empty],dunno,[empty],[empty]
Egnyte,yes,yes,yes,[empty],[empty],optional[28],optional[28],?,[empty],[empty],[empty],[empty],Egnyte,yes[29],yes,yes,yes,[empty],USA,no,yes|No limit,[empty],?,[empty],[empty]
ElephantDrive,yes,yes[30],yes,yes[31],[empty],yes,optional (off by default) [32],?,yes,no,[empty],[empty],ElephantDrive,yes[33],yes[34],yes,yes[35],[empty],USA,yes|2 GB,[empty],yes,?,no  Amazon AWS[36][37],[empty]
Google Drive,yes,no  no providersanctioned Linux support[38][39][40],yes,yes,yes,yes,no,?,[empty],yes (Enterprise Only) [41],yes,yes,Google Drive,no,yes,yes,yes,[empty],USA  Worldwide,yes|15 GB,no|5 TB[42],[empty],[empty],partial 34%[43],no
IASO Backup,yes,yes,yes,[empty],yes[44],yes[44],yes,?,yes,no,yes,[empty],IASO Backup,no,no,no,yes,[empty],USA  Worldwide,no,yes|No limit,yes,yes,[empty],[empty]
iCloud,yes,yes  via Storage Made Easy client,yes,yes  via Storage Made Easy client,yes,yes,no,?,no,no,yes,[empty],iCloud,dunno,yes,dunno,dunno,[empty],unknown,yes|1 GB (everyone) [45] 5 GB (Apple users only) [46],[empty],[empty],[empty],yes  94%[36],no
iDrive,yes,yes  but you have to manually run perl scripts[47],yes,yes,yes,yes[48],no,[empty],no,no,yes[49],[empty],iDrive,[empty],yes,yes,yes,yes,unknown,yes|5 GB,[empty],yes,[empty],[empty],[empty]
Infrascale,yes,yes,yes,yes,yes,yes,optional,optional,yes,yes,no,yes,Infrascale,no,yes,yes,yes,yes,USA  CAN  UK  ZAF  AUS  NZ  JAM,no,yes|No limit,yes,optional,[empty],[empty]
Iperius Online Storage,yes,no,no,[empty],[empty],yes[50],Optional[50],?,yes|50  100  200  500 GB,no,no,yes,Iperius Online Storage,[empty],yes,yes,no,Iperius Online Storage,[empty],[empty],yes|No limit,[empty],[empty],[empty],[empty]
Intronis,yes,no,yes,yes,yes,yes,yes,configurable,yes,no[51],yes,yes,Intronis,yes,yes[52],yes,no,yes[53],USA  CAN,no,yes|No limit,yes,optional,yes,[empty]
Jumpshare,yes,no,yes,no,yes,yes[54],[empty],[empty],yes,no,no,yes[55],Jumpshare,[empty],yes,yes,yes,no,USA  EUR,yes|2 GB,yes|250 MB on free  Unlimited on Jumpshare Plus,[empty],[empty],yes,[empty]
Jungle Disk,yes,yes,yes,yes,yes,yes[56],yes[56],yes,[empty],[empty],yes,yes,Jungle Disk,yes[57],yes,yes,yes,[empty],USA  EUR,no,yes|No limit in Backup Vault,yes,[empty],partial  Amazon AWS[36][58] or Rackspace Cloud Files,[empty]
KeepVault,yes,no,no,[empty],[empty],yes[59],yes[60],?,yes,no,yes,[empty],KeepVault,[empty],[empty],yes,[empty],[empty],USA,[empty],no|20 GB,[empty],[empty],[empty],[empty]
Livedrive,yes,no,yes,yes,yes,no,no,?,yes,yes|Online Backup only,no,yes,Livedrive,yes (paidonly)[61],yes,yes,yes,yes,UK,no,good|No limit,yes,[empty],[empty],[empty]
MediaFire,yes,no | Upload only [1],yes,yes,yes,no,no,?,yes,no,yes,yes,MediaFire,no,yes,yes,yes,[empty],USA,yes|10 GB,yes|No Limit,no,no,[empty],[empty]
Mega,yes,yes,yes,yes,yes,yes,yes,yes[62],yes,no,yes,yes,Mega Ltd,no,yes,yes  using MEGAsync client,yes,no,EUR  NZ,yes|15 GB  35 GB first 30 days,yes|No limit,no,no,[empty],[empty]
MiMedia,Yes,No,No,[empty],[empty],Yes[63],no,?,Yes,No,Yes,Yes,MiMedia,No[64],No,Yes,No,No,USA,yes|7 GB,no|3 GB,Yes,[empty],[empty],[empty]
OneDrive,yes,no  see note[65],yes,yes[66],yes,yes[67],no,?,yes,no,[empty],[empty],OneDrive,no,yes,[empty],[empty],[empty],[empty],yes|5 GB for new users  25 GB for older users,no|10 GB,[empty],[empty],partial  29%[36],no
SpiderOak,yes,yes,yes,partial|Download Only,partial|Download Only,yes[68],yes[69],?,yes,yes|Business only (min 10 users),yes,yes,SpiderOak,no[70],yes,yes,yes,[empty],[empty],No|(2 GB free for 60 days only),yes|No limit,yes,yes[71],[empty],no
SugarSync,yes,no,yes,yes,yes,yes[72],no[73],?,yes,no,no,[empty],SugarSync,[empty],yes,yes,yes (SugarSync account needed for folders),[empty],[empty],no,no|100 MB (web) No limit (client app)[74],[empty],[empty],[empty],[empty]
Syncplicity,Yes,No,Yes,Yes,Yes,yes[75],no[75],?,[empty],[empty],Yes,[empty],Syncplicity,[empty],Yes,Yes,Yes,[empty],USA,yes|10 GB,[empty],[empty],[empty],[empty],[empty]
Tarsnap,yes | Yes via Cygwin,yes,yes,no,no,Yes,yes[76],?,no,no,yes,[empty],Tarsnap,no,[empty],[empty],[empty],[empty],[empty],no,[empty],[empty],[empty],no  Amazon AWS[36][77],no
Trend Micro SafeSync,yes,partial,yes,yes  via Storage Made Easy client,yes  via Storage Made Easy client,[empty],no,?,[empty],[empty],yes,[empty],Trend Micro SafeSync,yescitation needed|date=June 2014,yes,[empty],yes,[empty],UK,[empty],[empty],[empty],[empty],[empty],[empty]
Tresorit,yes,yes[78],yes,yes,yes,yes,yes,yes[79],yes,no,yes,yes,Tresorit,yes[80],yes,yes,yes,no,IRL  NLD[81],yes|3 GB[82],no|05 GB (free)  10 GB (paid)[83],yes,no,[empty],[empty]
Unitrends Vault2Cloud,yes,yes,yes,[empty],[empty],yes[84],no,?,no,yes,yes,[empty],Unitrends Vault2Cloud,yescitation needed|date=June 2014,yes,[empty],no,yes,USA,no,[empty],[empty],[empty],[empty],[empty]
UpdateStar Online Backup,yes,no,no,[empty],[empty],yes[85],no[86],?,yes[87],yes,[empty],[empty],UpdateStar Online Backup,[empty],[empty],[empty],[empty],[empty],EUR,[empty],[empty],[empty],[empty],[empty],[empty]
YandexDisk,yes,yes[88],yes,yes,yes,no[89],no,?,yes,[empty],[empty],[empty],YandexDisk,yes[90],yes,yes,yes,[empty],RUS,yes|10 GB,no|50 GB,[empty],[empty],[empty],[empty]
Zettanet,yes[91],yes,yes,[empty],[empty],yes,no,?,yes,no,yes[92],yes,Zettanet,yes[93],yes,yes,no,yes,USA[94],no,yes|No limit,yes,yes,[empty],[empty]
