Driver family,Driver,Chipsets,Chipset PHY Modes,Integration in mainline,Nonfree firmware required[3],License,Development
adm8211,adm8211,ADMtek ADM8211 (IEEE 80211b MAC/BBP,dunno,Yes,No|Yes,GPLv2,With support from Infineon/ADMtek
at76c50x€‘usb at76c50x€‘usb,at76c50xUSB,Atmel AT76C503/AT76C505 based USB WLAN adapters,dunno,Yes,Depends on the model,GPLv2,dunno
acx100,Texas Instruments ACX100  ACX111  TNETW1450,dunno,No,No|Yes,Dual BSD/MPL,Reverseengineered,[added]
airo,airo,Cisco Systems Aironet 4500/4800 and 340/350,b,Yes,Yes|No,Dual GPLv2 and BSD,dunno
ath,ar5523,Qualcomm Atheros AR5523 based USB dongles,dunno,Yes,No|Yes,ISC,Reverseengineered
ath5k,Qualcomm Atheros AR2413  AR2414  AR2417  AR2425  AR5210  AR5211  AR5212  AR5213  AR5413  AR5414  AR5423  AR5424,dunno,Yes (since 2625),n/a[4],Dual GPL/BSD,Reverseengineered,[added]
ath6kl,Qualcomm Atheros AR6003  AR6004 (SDIO)  AR6004 (USB),dunno,Yes,No|Yes,ISC,Written by Qualcomm Atheros,[added]
ath9k,Qualcomm Atheros chips with IEEE 80211n support,a/b/g/n,Yes (since 2627),n/a[4],ISC,Written by Qualcomm Atheros,[added]
ath9k_htc,Qualcomm Atheros AR9271  AR7010 (USBPCIe bridge with AR928x chips),b/g/n,Yes (since 2635)[5][6],Yes|No[7],ISC,Written by Qualcomm Atheros,[added]
ath10k,Qualcomm Atheros chips with IEEE 80211ac support,ac,Yes (since 311)[8],No|Yes[9],ISC,Written by Qualcomm Atheros,[added]
carl9170,Qualcomm Atheros AR9170 (80211n USB),a/b/g/n,Yes (since 30),Yes|No[10],GPL,Qualcomm Atherossupported,[added]
wil6210,Wilocity wil6210  80211ad 60GHz,dunno,Yes,No|Yes,ISC,Written by Qualcomm Atheros,[added]
atmel,atmel,Atmel at76c502 at76c504 and at76c506 wireless cards,dunno,Yes,Yes|No,GPLv2,Reverseengineered
b43,b43,Some Broadcom 43xx,dunno,Yes (since 2624),Experimental OSS firmware[11],GPL,Reverseengineered
b43legacy,b43legacy,Broadcom 4301  4303  and 4306 revisions 1 and 2,dunno,Yes (since 2624),Experimental OSS firmware[11],GPL,Reverseengineered
brcm80211,brcmfmac,PCIe devices Broadcom 4356  43567  43570  4358  4359  43602  4365  4366 SDIO devices Broadcom 4329  4330  4334  43340  43341  43241  4335  4339  43362  43430  43455  4354  43143 USB devices Broadcom 43235  43236  43238  43143  43242  43566  43569,a/b/g/n,Yes (since 32),no|Yes,ISC,Written by Broadcom
brcmsmac,Broadcom 4313  43224  43225,a/b/g/n,Yes (since 32),no|Yes,ISC,Written by Broadcom,[added]
cw1200,cw1200,STEricsson CW1100 & CW1200 WLAN chipsets,dunno,yes (since 311)[12],no|Yes[13],GPLv2,?
hostap,HostAP,Intersil PRISMII  PRISM25  PRISM 3,dunno,Yes,Depends on the model[14],GPLv2,[empty]
ipw2x00,ipw2x00,Intel PRO/Wireless 2100 and 2200 Network Connection 80211b,dunno,Yes,No|Yes[15],GPL,Written by Intel
iwlegacy,iwlegacy,Intel Wireless WiFi 3945ABG  4965AGN,dunno,Yes,No|Yes,GPL,[empty]
iwlwifi,iwlwifi,Intel Wireless WiFi Next Gen AGN  WirelessN/AdvancedN/UltimateN 6250AGN  6200AGN  6300AGN 1000BGN  5150AGN  5100AGN  5300AGN  5350AGN  6005  6030  6150BGN  100BGN and 130BGN  2000,a/b/g/n/ac/ax,Yes,No|Yes,Dual GPL/BSD,Written by Intel
libertas,libertas,Marvell 88W8686 SDIO Libertas 8388 (USB) 80211b/g  8385 (CompactFlash) 80211b/g  8385/8686/8688 (SDIO) 80211b/g  8686 (SPI) 80211b/g 88W8388,dunno,Yes,No|Yes[16],GPL,Marvellsupported
libertas_tf,libertastf,Marvell 8388 (USB) WLAN Thinfirm Driver (OLPC),dunno,Yes,[empty],GPL,cozybit  Marvellsupported
mt76,mt76,MediaTek MT76x0U  MT76x2U,a/b/g/n/ac,Yes (since 419[17]),No|Yes,ISC,With support from MediaTek
mt7601u,mt7601u,MediaTek MT7601U,b/g/n,Yes (since 42),No|Yes,GPLv2,[empty]
mwifiex,mwifiex,WiFiEx Driver for Marvell SD8786/SD8787/SD8797 (SDIO)  8766/8897 (PCIe) and 88W8797 (USB),dunno,Yes,No|Yes[18],GPLv2,Written by Marvell
mwl8k,mwl8k,Marvell TOPDOG 80211 Wireless cards 88W8366  88W8863  88W8687  88W8764,dunno,Yes,No|Yes,GPLv2,Written by Marvell
orinoco,orinoco,Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISMII  PRISM25; Symbol Spectrum24 80211B,dunno,Yes,Required for WPA support[19],[empty],[empty]
prism54p54,p54,Prism54 Intersil/Conexant ISL3877  ISL3880  ISL3886  ISL3887  ISL3890,dunno,Yes (~Aug 2007),Experimental OSS firmware[20],[empty],[empty]
prism54,dunno,Yes (before 2612),[empty],Reverseengineered; obsoleted by p54,[added],[added],[added]
rt2x00,rt2400pci,MediaTek (Ralink) RT2460,b,Yes (since 2624),Yes|No[21],GPLv2,rt2x00serialmonkeycom; From partial documentation and GPL drivers by Ralink
rt2500pci,RT2560,b/g,Yes,Yes|No,GPLv2,rt2x00serialmonkeycom,[added]
rt61pci,RT2561  RT2561S  RT2661,dunno,Yes,No|Yes,GPLv2,rt2x00serialmonkeycom,[added]
rt2800pci,RT2760  RT2790  RT2860  RT2880  RT2890  RT3052  RT3090  RT3091  RT3092 RT3390  RT3060  RT3062  RT3562  RT3592  RT5390  RT3290,dunno,Yes,No|Yes,GPLv2,rt2x00serialmonkeycom,[added]
rt2500usb,RT2571 & RT2572,b/g,Yes,Yes|No,GPLv2,rt2x00serialmonkeycom,[added]
rt73usb,RT2571W  RT2573 & RT2671,dunno,Yes,No|Yes,GPLv2,rt2x00serialmonkeycom,[added]
rt2800usb,RT2770  RT2870 & RT3070  RT3071 & RT3072 RT3370  RT3572  RT5370  RT5572,dunno,Yes,No|Yes,GPLv2,rt2x00serialmonkeycom,[added]
rtl818x,rtl8180,RTL8180  RTL8185  RTL8187SE,b/g,Yes,Yes|No,GPL,[empty]
rtl8187,RTL8187  RTL8187B,a/b/g,Yes,Yes|No,GPL,[empty],[added]
rtlwifi rtl€‘wifi,rtl8188ee,Realtek,dunno,Yes (since 2638)[22],No|Yes,GPL,Written by Realtek et al Forked from rtl8180sa2400 project
rtl8192c,[empty],dunno,Yes,[empty],GPL,Written by Realtek et al,[added]
rtl8192ce,[empty],dunno,Yes,No|Yes,GPL,Written by Realtek et al,[added]
rtl8192cu,[empty],dunno,Yes,No|Yes,GPL,Written by Realtek et al,[added]
rtl8192de,[empty],dunno,Yes,No|Yes,GPL,Written by Realtek et al,[added]
rtl8192se,[empty],dunno,Yes,No|Yes,GPL,Written by Realtek et al,[added]
rtl8723ae,[empty],dunno,Yes,No|Yes,GPL,Written by Realtek et al,[added]
rtl8188eu,RTL8188EU eg in the TPLink TLWN725N,dunno,Yes (since 312[23][24]),No|Yes,GPL,Written by Realtek et al,[added]
rtl8821ae,RTL8812AE  RTL8821AE,ac,Yes (since 316),No|Yes,GPL,dunno,[added]
rsi9113,RSI9113,Redpine Signals SDIO  USB adapters,[empty],Yes,[empty],GPL,Written by Redpine Signals Inc
ti,wl1251,Texas Instruments TI wl1251 (SDIO/SPI),dunno,Yes,No|Yes[25],GPL,Written by Nokia
wl12xx,Texas Instruments TI wl1271  wl1273  wl1281 and wl1283,dunno,Yes (Only up to 32[26]),No|Yes[25],GPL,Written by Nokia and Texas Instruments,[added]
wl18xx,Texas Instruments TI WiLink 8,dunno,Yes,No|Yes[25],GPL,Written by Texas Instruments,[added]
zd1211rw,zd1211rw,ZyDAS ZD1211/ZD1211B (USB),dunno,Yes,No|Yes[27],GPL,various
