Name,Computer architectures supported,File systems supported,Kernel type,Source lines of code,GUI default is on[13],Package management,Update management,Native APIs[14],Nonnative APIs supported through subsystems
AIX,POWER  PowerPCAS  PowerPC  Power ISA,JFS  JFS2  ISO 9660  UDF  NFS  SMBFS  GPFS,Monolithic with modules,[empty],No,installp  RPM,Service Update Management Assistant (SUMA),SysV/POSIX,[empty]
AmigaOS Classic,68k  PowerPC,Proprietary (OFS  FFS  SFS  PFS)  FAT  ISO 9660  UDF  many others via 3rd party drivers  such as SMBFS  etc,Microkernel,[empty],Yes,Installer[15] (almost not needed)[16],[empty],Proprietary,BSD subset (available through 3rd party ixemullibrary)
AmigaOS 4,PowerPC,Proprietary (OFS  FFS  SFS  PFS)  JXFS  FAT  ISO 9660  UDF  many others via 3rd party drivers  such as SMBFS  etc,Microkernel,[empty],Yes,Installer[15] (almost not needed)[16],AmiUpdate (almost not needed)[17],Proprietary,BSD subset (available through 3rd party ixemullibrary)
Chrome OS,ARM  IA32  x8664,eCryptfs  NTFS  FAT  FAT16  FAT32  exFAT  ext2  ext3  ext4  HFS  MTP (read and write)  ISO9660 (readonly)  UDF (readonly),Monolithic with modules,‰ˆ17 million[18],Yes,Portage,[empty],Linux/POSIX,[empty]
DragonFly BSD,x8664,UFS1  MFS  ext2  FAT (16/32)  HAMMER  ISO 9660,Hybrid,[empty],No,dports  pkg,git  cvsup  rsync  pkg,BSD/POSIX,Mono  Java  Win16 [19] Win32 [19] Linux
eComStation,IA32,HPFS (default)  FAT  JFS  UDF  FAT32  NTFS (read only),Hybrid,[empty],Yes,WarpIN  Feature Install  others,Maintenance Tool,Proprietary  DOS API  Win16,POSIX  Java  others
FreeBSD,IA32  x8664  ARM  MIPS  PowerPC  others,UFS2  ZFS  ext2  ext3  FAT  ISO 9660  UDF  NFS  others,Monolithic with modules,nowrap|625 million[20],No,Ports collection  packages,by source  network binary update (freebsdupdate),BSD/POSIX,Mono  Java  Win16 [19] Win32 [19] Linux
Genode,ARM  RISCV  IA32  x8664,ext2  ext3  FAT32  ISO9660,Microkernel or Monolithic kernel,‰ˆ300000 citation needed|date=May 2018,No,Custom,None,Genode,POSIX  Qt  SDL  MirageOS[21]
GhostBSD,IA32  x8664,UFS2  ext2  ext3  FAT  ISO 9660  UDF  NFS  ReiserFS (read only)  XFS (experimental)  ZFS  others,Monolithic with modules,[empty],Yes,Ports collection  packages,by source  network binary update (freebsdupdate),BSD/POSIX,Mono  Java  Win16 [19] Win32 [19] Linux
Linux,IA32  x8664  ARM  PowerPC  SPARC  others,ext2  ext3  ext4  btrfs  ReiserFS  FAT  ISO 9660  UDF  NFS  and others,Monolithic with modules,‰ˆ15 million (kernel)[22] lines of code for userland libraries and applications vary depending on the distribution,Yes,Depends on the distribution,[empty],Linux/POSIX,Mono  Java  Win16 [19] Win32[19]
Haiku,IA32  PowerPC  x8664,BFS (default)  FAT  ISO 9660  ext3  NTFS,Hybrid,‰ˆ52 millioncitation needed|date=January 2015,Yes,Ports collection (haikuport),pkgman  HaikuDepot,POSIX  BeOS API,Java  Qt
HPUX,PARISC  IA64,VxFS  HFS  CDFS  EVFS  NFS  CIFS,Monolithic with modules,[empty],No,SD  swinstall,swa (HPUX Software Assistant),SysV/POSIX,[empty]
Inferno,IA32  PowerPC  SPARC  Alpha  MIPS  others,Styx/9P2000  kfs  FAT  ISO 9660,Monolithic with modules  user space file systems,[empty],Yes,dunno,dunno,Proprietary,[empty]
iOS,ARM,HFS (prior to version 103)  APFS (since version 103)  FTPcitation needed|date=August 2018,Hybrid,‰ˆ80 millioncitation needed|date=January 2015,Yes,?,Software Update,Cocoa  BSDPOSIX,?
Classic Mac OS,68k  PowerPC,HFS  HFS  MFS (Mac OS 80 and before)  AFP  ISO 9660  FAT(System 7 and later)  UDF,Monolithic with modules,[empty],Yes,None,Software Update (only in Mac OS 9),Toolbox  Carbon (from version 81),[empty]
macOS,PowerPC  IA32  x8664  (see also iOS for ARM),HFS (default on hard drives  and on flash drives up to Sierra)  APFS (default on flash drives in High Sierra)  HFS  UFS  AFP  ISO 9660  FAT  UDF  NFS  SMBFS  NTFS (read only)  FTP  WebDAV  ZFS (experimental),Hybrid with modules,‰ˆ86 million[23],Yes,macOS Installer,Software Update,Carbon  Cocoa  Java  BSDPOSIX,Toolbox (only in versions up to Mac OS X 104  not supported on x86 architecture)  Win16 [19] Win32[19]
MINIX 3,IA32,[empty],Microkernel,‰ˆ12000 (C)  ‰ˆ1400 (Assembly)[24],No,[empty],[empty],POSIX,[empty]
NetBSD,IA32  x8664  ARM  MIPS  PowerPC  sparc64  others,UFS  UFS2  ext2  FAT  ISO 9660  NFS  LFS  and others,Monolithic with modules,[empty],No[25],pkgsrc,by source or binary (using sysinst),BSDPOSIX,Linux  others
NetWare,16bit x86  IA32,NSS  NWFS  FAT  NFS  AFP  UDF  CIFS  ISO 9660,Hybrid,[empty],Yes,NWCONFIGNLM  RPM  X11based GUI installer,binary updates  ZENWorks for Servers  Red Carpet,Proprietary,[empty]
OpenBSD,IA32  x8664  SPARC  68k  Alpha  VAX  others,ffs  ext2  FAT  ISO 9660  NFS  some others,Monolithic,[empty],No[25],Ports collection  packages,by source or binary (packages via pkg_add),BSDPOSIX,[empty]
OpenVMS,VAX  Alpha  IA64,Files11 (ODS)  ISO 9660  NFS  CIFS,Monolithic with modules,[empty],No,PCSI  VMSINSTAL,dunno,Proprietary,POSIX
OS/2,16bit x86 (1x only)  IA32,HPFS  JFS  FAT  ISO 9660  UDF  NFS,Monolithic with modules,[empty],Yes,Feature Install and others,dunno,Proprietary  DOS API  Win16,Win32
Plan 9,IA32  Alpha  MIPS  PowerPC  SPARC  others,fossil/venti  9P2000  kfs  ext2  FAT  ISO 9660,Hybrid  user space file systems,‰ˆ25 Million /sys/src (complete source of all supported architectures  kernels  commands and libraries),Yes,None,replica,Proprietary (Unixlike),POSIX compatibility layer
QNX,x86  SH4  PowerPC  ARM  MIPS,QNX4FS  QNX6  ext2  FAT  ISO 9660  Joliet  NFS  CIFS  ETFS  UDF  HFS  HFS  NTFS  others,Microkernel,[empty],[empty],[empty],[empty],POSIX  Java,[empty]
ReactOS,IA32  PowerPC  ARM,FAT  NTFS (read only),Hybrid,nearly 8 million[26],Yes,None,None,Win32  NT API,[empty]
RISC OS,ARM (both 26 and 32bit addressing modes),Acorn ADFS  Econet ANFS  FAT  ISO 9660  many others as loadable filesystems,Monolithic with modules Cooperative multitasking with limited memory protection[27],[empty],Yes,Applications selfcontained; hardware drivers often in ROM,!IyoUpWtch,Huge number of SWI calls; extensive C libraries,[empty]
Solaris,IA32  x8664  SPARC,UFS  ZFS  ext2  FAT  ISO 9660  UDF  NFS  QFS  some others,Monolithic with modules,[empty],Yes,SysV packages (pkgadd) Image Packaging System (pkg) (Solaris 11 and later),Image Packaging System (Solaris 11 and later),SysV/POSIX  GTK  Java,Win16 [19] Win32 [19] Mono  Linux[28]
OpenSolaris,IA32  x8664  SPARC(AI),UFS  ZFS  ext2  FAT  ISO 9660  UDF  NFS  QFS  some others,Monolithic with modules,grep total | awk ' sum = $1  END print sum ' on [1] results in 18793105,Yes,Image Packaging System (pkg)  SysV packages (pkgadd),Image Packaging System,SysV/POSIX  GTK  Java,Win16 [19] Win32 [19] Mono  Linux[28]
STOP 6  XTS400,x86,Proprietary,Monolithic,[empty],No,RPM for some untrusted applications,Binary updates via postal mail and proprietary tools,Some SysV  POSIX  Linux  proprietary,[empty]
Symbian,ARM,FAT,Microkernel,[empty],Yes,SIS files,FOTA,Proprietary,POSIX compatibility layer
TrueOS,IA32  x8664[29],UFS2  ext2  ext3  FAT  ISO 9660  UDF  NFS  ReiserFS (read only)  XFS (experimental) and others,Monolithic with modules,[empty],Yes,Ports collection  packages  PBI Graphical Installers,by PBI updates  source  network binary update (freebsdupdate),BSDPOSIX,Win16 [19] Win32[19]
Windows Server (NT family),IA32  x8664  IA64,NTFS  FAT  ISO 9660  UDF; 3rdparty drivers support ext2  ext3  ReiserFS [30] and HFS,Hybrid with modules,‰ˆ45 million[31],Yes,MSI  custom installers,Windows Update,Win32  NT API,DOS API  Win16 (only in 32bit versions)  POSIX  NET
