Vehicle,Origin,Manufacturer,Payload mass to ... (kg),Launches,Date of flight
LEO,GTO,Other,First,Latest,[added]
Alpha,[empty],Firefly Aerospace,<ref></ref>,[empty],to SSO
Angara 1.2,[empty],Khrunichev,<ref name="khru_angara"></ref>,[empty],to SSO
[added],[added],[added],[added],[added],[added]
Angara 3,[empty],Khrunichev,<ref name="khru_angara"/>,to GTO,to GSO
Angara A5,[empty],Khrunichev,<ref name="khru_angara" />,with KVTK with Briz-M <ref name="khru_angara" />,[empty]
Antares 230,[empty],NG Innovation,<ref name=gunter-antares></ref>,[empty],to SSO
Ariane 5 ECA,[empty],EADS Astrium,<ref name="ariane5-manual"></ref>,<ref name=sfn-20170602></ref></ref>}},[empty]
Ariane 6 A62,[empty],ArianeGroup,<ref name="ariane6-manual"></ref>,<ref name=ariane6-manual />,to SSO to HEO to TLI <ref name=ariane6-manual />
Ariane 6 A64,[empty],ArianeGroup,<ref name=ariane6-manual />,+ <ref name=ariane6-manual />,to SSO}} to GEO to HEO to TLI <ref name=ariane6-manual />
Atlas V 401,[empty],ULA,<ref name="GSP-AtlasV"></ref>,[empty],to SSO
Atlas V 411,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO
Atlas V 421,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO
Atlas V 431,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO
Atlas V 501,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 1.500 to GEO
Atlas V 511,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 1.750 to GEO
Atlas V 521,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 2.760 to GEO
Atlas V 531,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 3.250 to GEO
Atlas V 541,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 3.730 to GEO
Atlas V 551,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 3.960 to GEO
