Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s),Thrust (N),Mass (kg),Thrust:weight ratio,Chamber pressure (bar),Oxidiser:fuel ratio
Aeon 1,[empty],Relativity Space,Terran 1,1st,[[Liquid methane|CH4]]?/?LOX,[empty],(SL)<ref></ref>,[empty],[empty],[empty],[empty]
Aeon 1 Vacuum,[empty],Relativity Space,Terran 1,2nd,[[Liquid methane|CH4]]?/?LOX,[empty],(SL)<ref></ref>,[empty],[empty],[empty],[empty]
AJ-60A,[empty],Aerojet,Atlas V,Booster,Solid,[empty],<ref name=aerojet-aj60a></ref>,[empty],[empty],[empty],[empty]
AR1,[empty],Aerojet Rocketdyne,Beta (potential)<ref>http://www.globenewswire.com/news-release/2019/10/18/1932085/0/en/Aerojet-Rocketdyne-and-Firefly-Aerospace-to-Provide-Flexible-Access-to-Space.html</ref>,1st,RP-1?/?LOX,[empty],(SL)<ref></ref>,[empty],[empty],[empty],2.72
BE-3,[empty],Blue Origin,New Shepard,1st,[[Liquid hydrogen|LH2]]?/?LOX,[empty],<ref>https://www.blueorigin.com/engines/be-3</ref>,[empty],[empty],[empty],[empty]
BE-3U,[empty],Blue Origin,New Glenn,2nd,[[Liquid hydrogen|LH2]]?/?LOX,[empty],<ref>https://www.blueorigin.com/engines/be-3</ref>,[empty],[empty],[empty],[empty]
BE-4,[empty],Blue Origin,New Glenn Vulcan,1st,[[Liquid methane|CH4]]?/?LOX,[empty],<ref name="sn20140917"></ref><ref name="BE-4"></ref>,[empty],[empty],<ref name=ars20160309></ref>,[empty]
Boeing 601HP,[empty],Boeing,Boeing 601HP satellites,Vacuum,Xenon,@0.5 kW,@0.5 kW,[empty],[empty],[empty],[empty]
CE-20,[empty],LPSC,GSLV Mk III,Upper,[[Liquid hydrogen|LH2]]?/?LOX,[empty],[empty],[empty],[empty],[empty],5.05
CE-7.5,[empty],LPSC,GSLV Mk II,Upper,[[Liquid hydrogen|LH2]]?/?LOX,<ref name="CE7.5"></ref>,to,[empty],[empty],[empty],[empty]
Engine-2,[empty],Launcher Space,Rocket-1,1st,RP-1 / LOX,327<ref name=":3"></ref> 290 (SL),100.000<ref name=":3" />,[empty],[empty],[empty],2.62
Engine-2 Vacuum,[empty],Launcher Space,Rocket-1,2nd,RP-1 / LOX,365<ref name=":3" />,100.000<ref name=":3" />,[empty],[empty],[empty],2.62
GEM 63,[empty],Northrop Grumman,Atlas V,Booster,Solid,[empty],<ref name=aerojet-gem63></ref>,[empty],[empty],[empty],[empty]
GEM 63XL,[empty],Northrop Grumman,Atlas V,Booster,Solid,[empty],<ref name=aerojet-gem63xl></ref>,[empty],[empty],[empty],[empty]
Hadley,[empty],Ursa Major Technologies,GOLauncher 1<ref></ref>,1st,RP-1?/?LOX,[empty],(SL)<ref></ref>,[empty],[empty],[empty],[empty]
HM-7B,[empty],Snecma,Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA,Upper,[[Liquid hydrogen|LH2]]?/?LOX,<ref name="HM7B_Astrium"></ref> (SL)<ref name="HM7B_Astronautix"></ref>,<ref name="HM7B_Astrium" /> (SL)<ref name="HM7B_Astronautix" />,<ref name="HM7B_Astrium" />,[empty],<ref name="HM7B_Astrium" />,5
LE-5B,[empty],Mitsubishi JAXA,H-IIA<br />H-IIB,Upper,[[Liquid hydrogen|LH2]]?/?LOX,<ref name="LE-5B"></ref>,[empty],[empty],[empty],[empty],5
LE-7A,[empty],Mitsubishi JAXA,H-IIA<br />H-IIB,1st,[[Liquid hydrogen|LH2]]?/?LOX,<ref name="LE-7A"></ref> (SL)<ref name="LE-7A" />,(SL),[empty],[empty],[empty],5.9
last=Aerospace|first=Firefly|website=www.fireflyspace.com|language=en|access-date=2018-09-24|archive-url=https://web.archive.org/web/20141006064518/http://www.fireflyspace.com/vehicles/firefly-a|archive-date=2014-10-06|url-status=dead}}</ref>,[empty],Firefly Aerospace,Alpha,2nd,RP-1?/?LOX,[empty],[empty],[empty],[empty],[empty],[empty]
Merlin 1D FT,[empty],SpaceX,Falcon 9 FT Falcon Heavy,1st,RP-1?/?LOX,[empty],<ref name="Merlin 1D Full Thrust"></ref> (SL)<ref name="Merlin 1D Full Thrust" />,[empty],<ref name="Merlin 1D Full Thrust" />,[empty],[empty]
Merlin Vacuum 1D,[empty],SpaceX,Falcon 9 Falcon Heavy,2nd,RP-1?/?LOX,<ref name="Merlin Vacuum 1D"></ref>,<ref name="Merlin Vacuum 1D" />,[empty],[empty],[empty],2.36
Mira (LM10),[empty],Avio,Vega E<ref name="LM10Mira"></ref>,3rd<ref name="LM10Mira"></ref>,[[Liquid methane|CH4]]?/?LOX<ref name="LM10Mira"></ref>,<ref name="LM10Mira"></ref>,<ref name="LM10Mira"></ref>,<ref name="LM10Mira"></ref>,<ref name="LM10Mira"></ref>,[empty],<ref name="LM10Mira"></ref>
NewtonThree,[empty],Virgin Galactic,LauncherOne,Booster,RP-1?/?LOX,[empty],<ref name="virgingalactic1"></ref>,[empty],[empty],[empty],[empty]
NewtonFour,[empty],Virgin Galactic,LauncherOne,2nd,RP-1?/?LOX,[empty],<ref name="virgingalactic1"/>,[empty],[empty],[empty],[empty]
NEXT,[empty],NASA,[empty],Vacuum,Xenon,@6.9 kW,@6.9 kW,[empty],[empty],[empty],[empty]
NK-33A (AJ26-62) 11Д111?/?14Д15,[empty],JSC Kuznetsov,Antares 100 Soyuz-2-1v,1st,RP-1?/?LOX,<ref name="NK33"></ref> (SL),(SL),[empty],[empty],[empty],[empty]
NSTAR<ref name="NSTAR"></ref><ref name="NSTAR_boeing"></ref>,[empty],Hughes Electron Dynamics Boeing,Dawn,Vacuum,Xenon,@2.3 kW,@2.3 kW,[empty],[empty],[empty],[empty]
P80<ref name="AvioVegaLeaflet"></ref><ref name="ESAflightVV01"></ref><ref name="ELV"></ref>,[empty],[empty],Vega,1st,HTPB,[empty],[empty],with fuel,[empty],[empty],[empty]
P120C<ref name="P120Ctestfire">Press release: Successful first test firing for the P120C solid rocket motor for Ariane 6 and Vega-C</ref>,[empty],[empty],Ariane 6 Vega-C,Booster  1st,HTPB<ref>Powerful new European solid-fueled rocket motor aces first test-firing</ref>,<ref name="P120Ctestfire" />,<ref name="P120Ctestfire" />,with fuel<ref name="P120Ctestfire" />,[empty],[empty],[empty]
P230,[empty],SNPE and Avio Spa (Italy),Ariane 5,Booster,HTPB,<ref name="P230"></ref> (SL),(SL),with fuel<ref name="P230" />,[empty],[empty],[empty]
PPS-1350 (СПД-100),[empty],OKB Fakel,SMART-1,Vacuum,Xenon,@1.5 kW,@1.5 kW,[empty],[empty],[empty],[empty]
S139,[empty],SDSC,PSLV,1st,HTPB,<ref name="PSLV-1"></ref>,[empty],with fuel,[empty],[empty],[empty]
Raptor<ref name="SpaceX Raptor"/>,[empty],SpaceX,BFR,1st  2nd,[[Liquid methane|CH4]]?/?LOX,<ref name=youtube-makinglifemulti></ref> (SL),(SL),(goal)<ref name="tweet15Oct19">Elon Musk on Twitter: Max thrust version of Raptor should achieve true T/W > 170. Target is 1.5 ton engine with >260 t-F. Max Isp version should achieve ~380 sec  but T/W probably <120 due to big nozzle. These are just guesses for now.</ref>,(goal)<ref name="tweet15Oct19"/>,<ref name=":0"></ref>,3.6<ref name="DRAFT_EA-201908"></ref>
Raptor Vacuum<ref name="SpaceX Raptor"></ref>,[empty],SpaceX,BFR,2nd  1st on Mars,[[Liquid methane|CH4]]?/?LOX,+<ref name="nsf20180809"> </ref>,<ref name="youtube-makinglifemulti" />,(goal)<ref name="tweet15Oct19"/>,(goal)<ref name="tweet15Oct19"/>,<ref name=":0" />,3.6<ref name="DRAFT_EA-201908"/>
RD-0124 14Д23,[empty],KBKhA,Soyuz-2.1b Soyuz-2-1v Angara,2nd  3rd,RP-1?/?LOX,<ref name="RD-0124"></ref>,[empty],[empty],[empty],[empty],[empty]
RD-0146D,[empty],KBKhA,Angara,Upper,[[Liquid hydrogen|LH2]]?/?LOX,website=www.khrunichev.ru|access-date=2019-07-27}}</ref>,68.600,[empty],[empty],59,[empty]
RD-107A 14Д22,[empty],NPO Energomash,Soyuz-FG Soyuz-2,1st,RP-1?/?LOX,<ref name="RD-107A and RD-108A"></ref> (SL),(SL),[empty],[empty],[empty],[empty]
RD-108A 14Д21,[empty],NPO Energomash,Soyuz-FG Soyuz-2,2nd,RP-1?/?LOX,<ref name="RD-107A and RD-108A" /> (SL),(SL),[empty],[empty],[empty],[empty]
RD-171M11Д520,[empty],NPO Energomash,Zenit-2M Zenit-3SL Zenit-3SLB Zenit-3SLBF Soyuz-5,1st,RP-1?/?LOX,<ref name="RD-171M"></ref> (SL),(SL),[empty],[empty],[empty],[empty]
RD-180,[empty],NPO Energomash,Atlas V Atlas III,1st,RP-1?/?LOX,<ref name="RD-180"></ref> (SL),(SL),[empty],[empty],[empty],2.72
RD-181,[empty],NPO Energomash,Antares 200,1st,RP-1?/?LOX,<ref>http://spaceflight101.com/spacerockets/antares-200-series/</ref> (SL),(SL),[empty],[empty],[empty],[empty]
RD-191,[empty],NPO Energomash,Angara,1st,RP-1?/?LOX,<ref name="RD-191"></ref> (SL),(SL),[empty],[empty],[empty],[empty]
RD-193,[empty],NPO Energomash,Soyuz-2-1v,1st,RP-1?/?LOX,<ref name="RD-193 Engine"></ref>,(SL),[empty],[empty],[empty],[empty]
RD-276 14Д14М,[empty],NPO Energomash,Proton-M,1st,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,<ref name="RD-276"></ref> (SL),(SL),[empty],[empty],[empty],[empty]
