Name,Lexer algorithm,Output languages,Grammar  code,Development platform,License
Alex,DFA,Haskell,[empty],[empty],, BSD
AnnoFlex,DFA,Java,[empty],[empty],, BSD
AustenX,DFA,Java,[empty],[empty],, BSD
Booze-tools,DFA,state machine is runtime-generated or saved as JSON,[empty],[empty],, public domain
C# Flex,DFA,C#,[empty],[empty],, GNU GPL
C# Lex,DFA,C#,[empty],[empty],?
CookCC,DFA,Java,[empty],[empty],, Apache 2.0
DFAlex,DFA,no code generation required,Java,[empty],, Apache 2.0
Dolphin,DFA,C++,[empty],[empty],[added]
Flex,DFA table driven,C  C++,[empty],[empty],, BSD
gelex,DFA,Eiffel,[empty],[empty],, MIT
golex,DFA,Go,[empty],[empty],, BSD-style
gplex,DFA,C#,[empty],[empty],, BSD-like
JFlex,DFA,Java,[empty],[empty],, BSD
JLex,DFA,Java,[empty],[empty],, BSD-like
lex,DFA,C,[empty],[empty],, proprietary  CDDL
lexertl,DFA,C++,?,[empty],, GNU LGPL
LRSTAR,DFA,C++,[empty],[empty],, BSD
Quex,DFA direct code,C  C++,[empty],[empty],, GNU LGPL
Ragel,DFA,C  C++  assembly,[empty],[empty],, GNU GPL  MIT<ref>http://www.colm.net/open-source/ragel/</ref>[[Comparison of parser generators#cite%20note-1|[1]]]
RE/flex,DFA direct code  DFA table driven  and NFA regex libraries,C++,[empty],[empty],, BSD
re2c,DFA direct code,C,[empty],[empty],, public domain
