Name,Lexer algorithm,Output languages,Grammar  code,Development platform,License
Alex,DFA,Haskell,[empty],[empty],, BSD
AnnoFlex,DFA,Java,[empty],[empty],, BSD
AustenX,DFA,Java,[empty],[empty],, BSD
Booze-tools,DFA,state machine is runtime-generated or saved as JSON,[empty],[empty],, public domain
C# Flex,DFA,C#,[empty],[empty],, GNU GPL
C# Lex,DFA,C#,[empty],[empty],?
CookCC,DFA,Java,[empty],[empty],, Apache 2.0
DFAlex,DFA,no code generation required,Java,[empty],, Apache 2.0
Dolphin,DFA,C++,[empty],[empty],[added]
Flex,DFA table driven,C  C++,[empty],[empty],, BSD
gelex,DFA,Eiffel,[empty],[empty],, MIT
golex,DFA,Go,[empty],[empty],, BSD-style
gplex,DFA,C#,[empty],[empty],, BSD-like
JFlex,DFA,Java,[empty],[empty],, BSD
JLex,DFA,Java,[empty],[empty],, BSD-like
lex,DFA,C,[empty],[empty],, proprietary  CDDL
lexertl,DFA,C++,?,[empty],, GNU LGPL
LRSTAR,DFA,C++,[empty],[empty],, BSD
Quex,DFA direct code,C  C++,[empty],[empty],, GNU LGPL
Ragel,DFA,C  C++  assembly,[empty],[empty],, GNU GPL  MIT<ref>http://www.colm.net/open-source/ragel/</ref>[[Comparison of parser generators#cite%20note-1|[1]]]
RE/flex,DFA direct code  DFA table driven  and NFA regex libraries,C++,[empty],[empty],, BSD
re2c,DFA direct code,C,[empty],[empty],, public domain
Name,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
ANTLR4,ALL(*)<ref></ref>,EBNF,C#  Java  Python  JavaScript  C++  Swift  Go,[empty],generated,[empty],[empty],, BSD
ANTLR3,LL(*),EBNF,ActionScript  Ada95  C  C++  C#  Java  JavaScript  Objective-C  Perl  Python  Ruby,[empty],generated,[empty],[empty],, BSD
APG,Recursive descent  backtracking,ABNF,C  C++  JavaScript  Java,[empty],none,[empty],[empty],, GNU GPL
AXE,Recursive descent,AXE/C++,C++17  C++11,[empty],none,[empty],[empty],, Boost
Beaver,LALR(1),EBNF,Java,[empty],external,[empty],[empty],, BSD
Belr,Recursive descent,ABNF,C++17  C++11,[empty],included,[empty],[empty],, GNU GPL  proprietary
Bison,LALR(1)  LR(1)  IELR(1)  GLR,Yacc,C  C++  Java,[empty],external,[empty],[empty],, GNU GPL with exception
Bison++<ref group="note">Bison 1.19 fork</ref>,LALR(1),?,C++,[empty],external,[empty],[empty],, GNU GPL
Bisonc++,LALR(1),?,C++,[empty],external,[empty],[empty],, GNU GPL
Booze-tools,LALR(1) or LR(1) canonical or minimal,BNF with macros in place of EBNF,State machine can be runtime-generated or saved as JSON,, separable,included,[empty],[empty],, public domain
BtYacc,Backtracking Bottom-up,?,C++,[empty],external,[empty],[empty],, public domain
byacc,LALR(1),Yacc,C,[empty],external,[empty],[empty],, public domain
BYACC/J,LALR(1),Yacc,C  Java,[empty],external,[empty],[empty],, public domain
CL-Yacc,LALR(1),Lisp,Common Lisp,[empty],external,[empty],[empty],, MIT
Coco/R,LL(1),EBNF,C  C++  C#  F#  Java  Ada  Object Pascal  Delphi  Modula-2  Oberon  Ruby  Swift  Unicon  Visual Basic .NET,[empty],generated,[empty],[empty],, GNU GPL
CookCC,LALR(1),Java annotations,Java,[empty],generated,[empty],[empty],, Apache 2.0
CppCC,LL(k),?,C++,[empty],generated,[empty],[empty],, GNU GPL
CSP,LR(1),?,C++,[empty],generated,[empty],[empty],, Apache 2.0
CUP,LALR(1),?,Java,[empty],external,[empty],[empty],, BSD-like
Dragon,LR(1)  LALR(1),?,C++  Java,[empty],generated,[empty],[empty],, GNU GPL
